--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',11.3081246892
1,l_16,3,'1 ',16.0372509384
1,l_18,8,'1 ',3.8400142685
1,l_17,6,'1 ',4.7508158907
1,l_14,1,'1 ',0.6578063921
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,12,1.0835758191,-3.5350537739
0,3,1.0637698524,-9.3127717543
0,6,1.1000000000,-2.3748568997
0,5,1.0653188045,-7.2713102546
0,7,1.0939540810,-8.0288586544
0,4,1.0628791642,-8.2274581706
0,1,1.0805974818,-6.5588620375
0,11,1.0672913230,-4.9862968028
0,9,1.0473908003,-8.3593902650
0,14,1.0387743601,-7.6167325298
0,8,1.1000000000,-7.8635797784
0,2,1.0751459281,-7.3642953853
0,10,1.0465452493,-7.4649571016
0,13,1.0715317597,-4.1137955460
1,12,1.0507909893,-1.3512189499
1,3,1.0637698524,-5.8130851301
1,6,1.1000000000,1.1683646655
1,5,1.0652078512,-3.7704276875
1,7,1.0938553232,-4.5339917515
1,4,1.0626680028,-4.7333540082
1,1,1.0805974818,-3.0599710492
1,11,1.0662129248,-1.5202375261
1,9,1.0452128714,-5.0146545424
1,14,1.0341805022,-4.4371496123
1,8,1.1000000000,-4.3681110689
1,2,1.0751459281,-3.8659508168
1,10,1.0446406585,-4.0823412102
1,13,1.0636691002,-1.1068483418
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0023322593
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_11,9,10,'BL',-17.3384946333,7.7332048615,17.4430056542,-7.4555820616
0,i_7,6,11,'BL',29.1721790632,4.7717635070,-28.4862933531,-3.3354330401
0,i_9,6,13,'BL',31.7007641822,8.3578956878,-31.1131811383,-7.2007612489
0,i_0,1,2,'BL',27.9291343977,-2.0804054515,-27.7995061095,-3.6582026149
0,i_6,4,5,'BL',-42.4386119318,7.6708010250,42.6583967527,-6.9775322005
0,i_13,10,11,'BL',-25.1559641276,-0.0136401037,25.6300364734,1.1233911758
0,i_5,3,4,'BL',-10.6269224163,4.1120158083,10.7076470578,-5.3532256373
0,i_4,2,5,'BL',0.8321529822,3.8049123764,-0.8152115164,-7.7163448671
0,i_8,6,12,'BL',10.4591000515,2.1327063182,-10.3433602653,-1.8918195334
0,i_17,4,9,'BL',0.4756428007,9.7611654988,-0.4756428007,-9.3196678161
0,i_16,4,7,'BL',-1.9706216315,-3.7205035212,1.9706216315,3.7518871133
0,i_18,5,6,'BL',-42.5845036818,21.3443654994,42.5845036818,-16.9676702497
0,i_1,1,5,'BL',7.7648808050,2.6886938239,-7.7226723695,-8.1788380269
0,i_15,13,14,'BL',19.9711649727,0.8745142304,-19.3762609037,0.3367331464
0,i_2,2,3,'BL',20.0585001022,-0.7803635288,-19.8936971488,-3.5350413538
0,i_10,7,8,'BL',-1.9706216315,-3.7518871133,1.9706216315,3.7783227472
0,i_12,9,14,'BL',-2.9734497976,4.7694829182,3.0100516584,-4.6916258564
0,i_14,12,13,'BL',5.9041688915,0.0332166388,-5.8385773687,0.0261280724
0,i_3,2,4,'BL',11.0523723565,1.9458055484,-10.9832750776,-5.6217539480
1,i_11,9,10,'BL',-18.1254702046,7.7021821273,18.2384042781,-7.4021843526
1,i_7,6,11,'BL',30.0419674117,4.9889125221,-29.3139896303,-3.4644359929
1,i_9,6,13,'BL',41.0176101966,10.5574749861,-40.0368929169,-8.6261365125
1,i_0,1,2,'BL',27.9461219327,-2.0857060794,-27.8163378688,-3.6524263808
1,i_6,4,5,'BL',-42.7861940723,7.5345490059,43.0093232742,-6.8307309765
1,i_13,10,11,'BL',-25.9513627515,-0.0670378127,26.4577327506,1.2523941286
1,i_5,3,4,'BL',-10.5247582211,4.2020852549,10.6047239197,-5.4449448844
1,i_4,2,5,'BL',0.8262116599,3.8755115429,-0.8088687918,-7.7853095177
1,i_17,4,9,'BL',1.0118342605,10.1476338720,-1.0118342605,-9.6666906091
1,i_16,4,7,'BL',-1.9776184094,-3.7806106221,1.9776184094,3.8128542189
1,i_18,5,6,'BL',-42.9473444177,21.3197536406,42.9473444177,-16.8842979061
1,i_1,1,5,'BL',7.7595545665,2.7435124716,-7.7171008797,-8.2320627416
1,i_15,13,14,'BL',18.5707679719,0.4254879716,-18.0494618161,0.6359112465
1,i_2,2,3,'BL',20.0455938300,-0.7777600482,-19.8809975742,-3.5385156564
1,i_10,7,8,'BL',-1.9776184094,-3.8128542189,1.9776184094,3.8400142685
1,i_12,9,14,'BL',-1.6502827665,5.0609351477,1.6832525709,-4.9908039565
1,i_14,12,13,'BL',-4.4391913737,-1.8586028947,4.4855314107,1.9005295948
1,i_3,2,4,'BL',11.1323646369,2.0489118198,-11.0619644810,-5.7201439541
--end of line flow
