--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',2.7111968552
1,l_14,1,'1 ',0.2277450835
1,l_15,2,'1 ',16.8854995260
1,l_16,3,'1 ',19.7799662594
1,l_18,8,'1 ',3.9591768567
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,10,1.0512544402,-3.4844107018
0,3,1.0648965851,-4.0806826118
0,6,1.1000000000,0.9860952267
0,9,1.0509847809,-4.2175614613
0,11,1.0703167872,-1.4139817891
0,8,1.1000000000,0.8281404655
0,14,1.0438850181,-3.7327535580
0,13,1.0742420511,-0.5909337434
0,2,1.0779596218,-1.7726700115
0,4,1.0646387504,-2.8571836011
0,12,1.0847483272,-0.0961656328
0,5,1.0660187232,-2.1112350758
0,7,1.0942206981,-0.8472421956
0,1,1.0820114008,-1.1739258380
1,10,1.0494811553,-1.6381009038
1,3,1.0648965851,-2.1260579100
1,6,1.1000000000,2.9806741749
1,9,1.0489441138,-2.4058804393
1,11,1.0693208220,0.5087704369
1,8,1.1000000000,2.7797905074
1,14,1.0396042310,-2.0745433202
1,13,1.0669484295,0.9046575334
1,2,1.0779596218,0.1808613917
1,4,1.0644415652,-0.9073666096
1,12,1.0542527146,0.6313824493
1,5,1.0659176851,-0.1553443213
1,7,1.0941280129,1.1037439742
1,1,1.0820114008,0.7801114837
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0020736812
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_6,4,5,'BL',-32.8225685282,7.1451542054,32.9554700296,-6.7259420538
0,i_10,7,8,'BL',-19.9776525698,-3.2979228150,19.9776525698,3.9010911522
0,i_0,1,2,'BL',20.8266834901,-2.3952467517,-20.7548024370,-3.5437382158
0,i_13,10,11,'BL',-21.5290981989,-0.8539631295,21.8737633216,1.6607861655
0,i_2,2,3,'BL',23.8097090724,-0.6129332663,-23.5789502602,-3.4431179948
0,i_12,9,14,'BL',-1.7437355312,3.5940081984,1.7620988827,-3.5549468893
0,i_15,13,14,'BL',18.1273428253,0.9514544847,-17.6392784717,0.0422631560
0,i_1,1,5,'BL',9.7818556418,2.5779310622,-9.7239493689,-8.0144651999
0,i_5,3,4,'BL',-12.1646958702,4.3520648398,12.2673756568,-5.5411693024
0,i_14,12,13,'BL',5.1135158200,0.0717094720,-5.0644135394,-0.0272835991
0,i_4,2,5,'BL',5.7198816205,3.5305756949,-5.6888002447,-7.4118975518
0,i_8,6,12,'BL',9.7503925225,1.9567234401,-9.6499324698,-1.7476380436
0,i_11,9,10,'BL',-14.7290469850,5.3163931317,14.7996636128,-5.1288073080
0,i_9,6,13,'BL',28.7655812155,7.4866758012,-28.2825719688,-6.5354798138
0,i_16,4,7,'BL',-19.9776525698,-2.5818594448,19.9776525698,3.2979228150
0,i_17,4,9,'BL',4.9289642640,9.4840408600,-4.9289642640,-8.9576805734
0,i_18,5,6,'BL',-26.9749060633,20.6065917459,26.9749060633,-18.3868925370
0,i_3,2,4,'BL',13.5681014683,1.8134665907,-13.4688597055,-5.4146121740
0,i_7,6,11,'BL',26.7707332669,4.1515799295,-26.1946459898,-2.9451811149
1,i_6,4,5,'BL',-33.1419283015,7.0076787097,33.2771319487,-6.5812048831
1,i_10,7,8,'BL',-19.9838736135,-3.3549819412,19.9838736135,3.9591768567
1,i_0,1,2,'BL',20.8424558093,-2.4002307089,-20.7704671069,-3.5384255895
1,i_13,10,11,'BL',-22.2781459268,-0.9134291708,22.6484997744,1.7803866785
1,i_2,2,3,'BL',23.7991432093,-0.6108708352,-23.5685845928,-3.4460238549
1,i_12,9,14,'BL',-0.5124727551,3.8710900652,0.5300879296,-3.8336202290
1,i_15,13,14,'BL',16.8331804946,0.5462385698,-16.4072675185,0.3209364956
1,i_1,1,5,'BL',9.7764517288,2.6279757925,-9.7183409661,-8.0631358797
1,i_5,3,4,'BL',-12.0729327365,4.4376734875,12.1748163366,-5.6285413747
1,i_14,12,13,'BL',-4.5364166498,-1.6759285716,4.5829040419,1.7179885931
1,i_4,2,5,'BL',5.7134531000,3.5951578860,-5.6820549454,-7.4751398988
1,i_11,9,10,'BL',-15.4714656488,5.2745365186,15.5487113407,-5.0693412667
1,i_9,6,13,'BL',37.4516933626,9.4824281464,-36.6357272195,-7.8755360911
1,i_16,4,7,'BL',-19.9838736135,-2.6376998479,19.9838736135,3.3549819412
1,i_17,4,9,'BL',5.4178083762,9.8574855357,-5.4178083762,-9.2743256860
1,i_18,5,6,'BL',-27.3089216845,20.5737676019,27.3089216845,-18.3213172582
1,i_3,2,4,'BL',13.6401604653,1.9110484637,-13.5395636804,-5.5073688784
1,i_7,6,11,'BL',27.5813531692,4.3463248739,-26.9693824427,-3.0647816279
--end of line flow
