--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',1.7933963656
1,l_14,1,'1 ',-4.4308727179
1,l_15,2,'1 ',26.6952415165
1,l_16,3,'1 ',27.8870260350
1,l_17,6,'1 ',-3.5511673038
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,13,1.0768977722,-3.5044520313
0,12,1.0848474665,-3.1418607571
0,3,1.0638387181,-6.6480952144
0,2,1.0940636288,-0.5257595569
0,14,1.0538665819,-6.1560706913
0,6,1.1000000000,-2.1632767978
0,10,1.0585774547,-6.3793815082
0,4,1.0706829811,-3.3268000918
0,5,1.0724474275,-2.2944391827
0,11,1.0747163716,-4.3858473936
0,7,1.0973974770,-2.1017183585
0,1,1.1000000000,0.9653980253
0,9,1.0616011296,-6.8996396927
0,8,1.1000000000,-1.0747154593
1,13,1.0696544016,2.0408508868
1,12,1.0551934146,1.7380765439
1,3,1.0638387181,-0.6876764382
1,2,1.0940636288,5.4337132873
1,14,1.0495914299,-0.4629232205
1,6,1.1000000000,3.8316145220
1,10,1.0567925112,-0.5203511926
1,4,1.0704848333,2.6294392871
1,5,1.0723467426,3.6669835233
1,11,1.0737244690,1.5432126050
1,7,1.0973045823,3.8554470237
1,1,1.1000000000,6.9253199113
1,9,1.0595380089,-1.0715897807
1,8,1.1000000000,4.8830359408
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0019892117
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_6,4,5,'BL',-45.8069717901,10.4783992020,46.0641140008,-9.6672936971
0,i_10,7,8,'BL',-12.2828676348,-1.5112540341,12.2828676348,1.7352702321
0,i_7,6,11,'BL',24.3812785073,2.7873252515,-23.9085638907,-1.7974017178
0,i_12,9,14,'BL',-3.2151780142,4.5831902506,3.2505286774,-4.5079946538
0,i_14,12,13,'BL',3.8173483242,0.1072211341,-3.7899727178,-0.0824527283
0,i_11,9,10,'BL',-9.3063321007,7.3569336902,9.3460544273,-7.2514154067
0,i_8,6,12,'BL',9.0427952261,2.2389011891,-8.9546404924,-2.0554265945
0,i_0,1,2,'BL',51.2683533530,-8.2615802892,-50.8432554489,3.2050523523
0,i_5,3,4,'BL',-34.5152099109,9.6601863266,35.2844167580,-9.1549288752
0,i_4,2,5,'BL',22.9274768420,4.3424463917,-22.6578039700,-7.5795953130
0,i_13,10,11,'BL',-20.5088582840,0.2248082954,20.8168708617,0.4962151757
0,i_3,2,4,'BL',33.8337434693,2.1159205138,-33.2696467345,-4.3879859513
0,i_16,4,7,'BL',-12.2828676348,-1.2453087186,12.2828676348,1.5112540341
0,i_9,6,13,'BL',24.8963231820,7.1144935925,-24.5297959106,-6.3926869767
0,i_2,2,3,'BL',63.8652956224,2.2763784850,-62.2546618959,-0.5906542715
0,i_17,4,9,'BL',13.1429397899,9.0190445508,-13.1429397899,-7.8615694632
0,i_1,1,5,'BL',31.7143240281,3.7851515498,-31.2447901037,-7.6528323128
0,i_15,13,14,'BL',15.1126770880,0.0532404612,-14.7760434348,0.6321584975
0,i_18,5,6,'BL',-1.1497517206,23.1479247479,1.1497517206,-22.1255525355
1,i_6,4,5,'BL',-46.0884608611,10.3250378722,46.3483401247,-9.5052988619
1,i_10,7,8,'BL',-12.2888352697,-1.5688681058,12.2888352697,1.7933963656
1,i_7,6,11,'BL',25.1427027769,2.9987272578,-24.6394281926,-1.9448073292
1,i_12,9,14,'BL',-2.0687618562,4.8935320872,2.1007215503,-4.8255495361
1,i_14,12,13,'BL',-5.1372921682,-1.9482054604,5.1971877525,2.0023967034
1,i_11,9,10,'BL',-10.0108108114,7.2724488061,10.0541938050,-7.1572063362
1,i_0,1,2,'BL',51.2828671921,-8.2659191462,-50.8575238503,3.2101405667
1,i_5,3,4,'BL',-34.4261449192,9.7455229163,35.1927698840,-9.2465836861
1,i_4,2,5,'BL',22.9235039809,4.4063606507,-22.6535257910,-7.6422037837
1,i_13,10,11,'BL',-21.2169976618,0.1305992248,21.5477351636,0.6436207871
1,i_3,2,4,'BL',33.8991486177,2.2190013974,-33.3324806018,-4.4825436819
1,i_16,4,7,'BL',-12.2888352697,-1.3023148860,12.2888352697,1.5688681058
1,i_9,6,13,'BL',32.9615309603,9.3273589736,-32.3200059892,-8.0639960411
1,i_2,2,3,'BL',63.8559267580,2.2775671514,-62.2457582138,-0.5938027621
1,i_17,4,9,'BL',13.5848772372,9.4156245895,-13.5848772372,-8.1705735712
1,i_1,1,5,'BL',31.7097562473,3.8350464284,-31.2400492770,-7.7014816116
1,i_15,13,14,'BL',13.9157266963,-0.3602999061,-13.6262363076,0.9497133798
1,i_18,5,6,'BL',-1.4429968502,23.0971876820,1.4429968502,-22.0776427865
--end of line flow
