--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',1.6942006649
1,l_17,6,'1 ',-0.9775531456
1,l_14,1,'1 ',2.8318268109
1,l_15,2,'1 ',19.7740253672
1,l_16,3,'1 ',26.4695202121
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,3,1.0690605006,0.3751727831
0,5,1.0758569039,3.9868903462
0,10,1.0507956853,2.1486763923
0,9,1.0517718030,1.0226215603
0,4,1.0729159150,2.8922120016
0,13,1.0698256482,6.2453607039
0,14,1.0384981068,2.3375012253
0,7,1.0979781735,5.0812902654
0,1,1.1000000000,5.6583436698
0,2,1.0902436802,4.1277421685
0,12,1.0806174637,6.7670168112
0,6,1.1000000000,8.1715192798
0,11,1.0692161552,5.0990199629
0,8,1.1000000000,6.9201618774
1,3,1.0690605006,-2.0663626930
1,5,1.0757147389,1.5438570441
1,10,1.0484879867,-0.4446548204
1,9,1.0491470069,-1.6171631166
1,4,1.0726502354,0.4416370781
1,13,1.0603884706,3.1955215129
1,14,1.0330057549,-0.5017621483
1,7,1.0978530424,2.6326162781
1,1,1.1000000000,3.2141232910
1,2,1.0902436802,1.6830591458
1,12,1.0412792225,2.6959937425
1,6,1.1000000000,5.7736403517
1,11,1.0678946700,2.6075723466
1,8,1.1000000000,4.4726285865
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0037115202
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_12,9,14,'BL',-5.5630532384,7.8850902396,5.6700547574,-7.6574836728
0,i_17,4,9,'BL',6.8311660295,11.1541159926,-6.8311660295,-10.3779965066
0,i_1,1,5,'BL',17.3948818524,4.9423768270,-17.2317683595,-10.0930032397
0,i_2,2,3,'BL',39.3818942275,0.9773380976,-38.7636978069,-3.4788940941
0,i_16,4,7,'BL',-22.0017872332,-0.0660205472,22.0017872332,0.9071478620
0,i_5,3,4,'BL',-26.1318023929,7.7441862985,26.5743028451,-8.0829748101
0,i_13,10,11,'BL',-28.8221208140,3.0101609221,29.4461506234,-1.5493759678
0,i_14,12,13,'BL',5.2848875471,0.0171934399,-5.2320470166,0.0306146591
0,i_3,2,4,'BL',16.1343901249,3.5304563824,-15.9920602635,-7.0762183884
0,i_0,1,2,'BL',54.4719316240,-2.1749839482,-53.9965241203,-2.7059133689
0,i_8,6,12,'BL',12.5612776327,2.4388578612,-12.3949593522,-2.0927031191
0,i_6,4,5,'BL',-49.6005951202,8.7316949556,49.8947514317,-7.8038356088
0,i_11,9,10,'BL',-22.0291729591,9.7604378625,22.1961130734,-9.3169785838
0,i_4,2,5,'BL',4.1665166067,5.6017108172,-4.1301006695,-9.5492774039
0,i_10,7,8,'BL',-22.0017872332,-0.9071478620,22.0017872332,1.6156624781
0,i_18,5,6,'BL',-36.7658344614,26.2390171259,36.7658344614,-22.3803862438
0,i_7,6,11,'BL',32.7599183301,2.2310421863,-31.9135838917,-0.4587120138
0,i_15,13,14,'BL',21.6327464526,-0.2524787198,-20.9337503480,1.6756614513
0,i_9,6,13,'BL',34.6309487543,8.4043454834,-33.9366822896,-7.0371180857
1,i_12,9,14,'BL',-3.9496461876,8.1959833449,4.0452334826,-7.9926563617
1,i_17,4,9,'BL',7.5015920001,11.6425544993,-7.5015920001,-10.7718972101
1,i_1,1,5,'BL',17.3985351140,5.0112551776,-17.2348756298,-10.1588752357
1,i_2,2,3,'BL',39.3508666826,0.9825868974,-38.7336211343,-3.4881489423
1,i_16,4,7,'BL',-22.0129217939,-0.1421705851,22.0129217939,0.9845941589
1,i_5,3,4,'BL',-25.9790866938,7.8456233483,26.4179353227,-8.1933676079
1,i_13,10,11,'BL',-29.7780792265,2.9539203817,30.4464195859,-1.3894093172
1,i_14,12,13,'BL',-7.1100718051,-2.0755096792,7.2218515856,2.1766437664
1,i_3,2,4,'BL',16.2419664614,3.6607165994,-16.0972185522,-7.1981725987
1,i_0,1,2,'BL',54.4868359636,-2.1794283667,-54.0111698062,-2.7006792427
1,i_6,4,5,'BL',-49.9983607190,8.5517534948,50.2968986240,-7.6100732568
1,i_11,9,10,'BL',-22.9721540393,9.7386702733,23.1520714859,-9.2607380434
1,i_4,2,5,'BL',4.1751323856,5.6879799728,-4.1380453808,-9.6329684836
1,i_10,7,8,'BL',-22.0129217939,-0.9845941589,22.0129217939,1.6942006649
1,i_18,5,6,'BL',-37.1569296720,26.1948178495,37.1569296720,-22.2848580939
1,i_7,6,11,'BL',33.8164338674,2.5087961999,-32.9138528542,-0.6186786644
1,i_15,13,14,'BL',19.9126188522,-0.7816987228,-19.3089290732,2.0108341401
1,i_9,6,13,'BL',45.8884370482,11.0525174242,-44.6704532915,-8.6539271900
--end of line flow
