--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',13.1749146156
1,l_14,1,'1 ',-1.2768644431
1,l_16,3,'1 ',24.1147067233
1,l_18,8,'1 ',4.4901918140
1,l_17,6,'1 ',2.8384995115
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,12,1.0839879442,-0.5705844777
0,7,1.0929450053,-0.9423605054
0,1,1.0773809661,0.5569326949
0,2,1.0759120765,0.3307323904
0,3,1.0619598402,-2.2594251873
0,4,1.0607925198,-1.4737713857
0,8,1.1000000000,-0.5009786286
0,9,1.0550282271,-4.5676443626
0,10,1.0528883967,-3.9092668386
0,11,1.0706553543,-1.7131683687
0,13,1.0733773085,-1.0215864505
0,6,1.1000000000,0.6769200987
0,14,1.0439111475,-4.1757533404
0,5,1.0620317247,-0.7498044853
1,12,1.0509745378,-6.7257720703
1,7,1.0928421042,-5.6399824448
1,1,1.0773809661,-4.1364442331
1,2,1.0759120765,-4.3631032437
1,3,1.0619598402,-6.9512527749
1,4,1.0605726940,-6.1723793860
1,8,1.1000000000,-5.1978732062
1,9,1.0528549684,-9.4270492339
1,10,1.0509900460,-8.7298472586
1,11,1.0695809687,-6.4465463267
1,13,1.0656200057,-6.2499560743
1,6,1.1000000000,-3.9744124848
1,14,1.0393564315,-9.2126839009
1,5,1.0619204718,-5.4418045508
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0027227559
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_4,2,5,'BL',13.7668908421,2.1939387232,-13.6649845856,-5.8367099282
0,i_5,3,4,'BL',-7.5623863872,3.0279321840,7.6047221919,-4.3618235337
0,i_13,10,11,'BL',-22.3822234875,0.2530050014,22.7530543328,0.6150691055
0,i_10,7,8,'BL',-5.2577013848,-4.3571092481,5.2577013848,4.4258685066
0,i_2,2,3,'BL',26.5272536676,-0.6593066362,-26.2401738680,-3.1361259065
0,i_7,6,11,'BL',26.6187105633,4.0327835166,-26.0497575250,-2.8413246902
0,i_11,9,10,'BL',-12.3209275616,7.3966916795,12.3799462909,-7.2399144830
0,i_15,13,14,'BL',18.0617092085,0.7048135708,-17.5769880395,0.2820972185
0,i_17,4,9,'BL',11.2078976351,8.1170045526,-11.2078976351,-7.2282599028
0,i_14,12,13,'BL',4.9342876967,0.3187005879,-4.8883210250,-0.2771116945
0,i_3,2,4,'BL',21.2241577998,0.5842515879,-20.9947580572,-3.7690713381
0,i_12,9,14,'BL',-0.6079173841,4.6332268423,0.6328536659,-4.5801840301
0,i_9,6,13,'BL',30.5935389943,7.3432883548,-30.0523726714,-6.2775629295
0,i_16,4,7,'BL',-5.2577013848,-4.2754803174,5.2577013848,4.3571092481
0,i_18,5,6,'BL',-12.3837417128,18.0228819637,12.3837417128,-17.0948039800
0,i_8,6,12,'BL',10.9756116663,1.7222786555,-10.8502330086,-1.4613306901
0,i_0,1,2,'BL',7.7805180598,-2.9228839659,-7.7704074858,-3.1666554321
0,i_6,4,5,'BL',-31.5544671985,7.0955027649,31.6785651867,-6.7040595977
0,i_1,1,5,'BL',12.7776684539,1.5970199270,-12.6924431217,-6.8753095747
1,i_4,2,5,'BL',13.7669518913,2.2623494479,-13.6647600251,-5.9038398364
1,i_5,3,4,'BL',-7.4472142219,3.1182249378,7.4889300548,-4.4534001932
1,i_13,10,11,'BL',-23.2259913088,0.2137482202,23.6267349861,0.7243485269
1,i_10,7,8,'BL',-5.2658696525,-4.4204725091,5.2658696525,4.4901918140
1,i_2,2,3,'BL',26.5079194691,-0.6556312292,-26.2212503051,-3.1415313309
1,i_7,6,11,'BL',27.5324852872,4.2260249368,-26.9234381783,-2.9506041117
1,i_11,9,10,'BL',-13.1584237918,7.3740947364,13.2237141122,-7.2006577019
1,i_15,13,14,'BL',16.6025820755,0.3127964132,-16.1875143539,0.5322973006
1,i_17,4,9,'BL',11.7630669469,8.5299273388,-11.7630669469,-7.5496910829
1,i_14,12,13,'BL',-5.9159453119,-1.1426301021,5.9885567893,1.2083262008
1,i_3,2,4,'BL',21.3093093367,0.6919598884,-21.0778096756,-3.8696152077
1,i_12,9,14,'BL',0.7847481579,4.8902164306,-0.7566200198,-4.8303841122
1,i_9,6,13,'BL',40.4093058088,9.2205271070,-39.4701233528,-7.3709836671
1,i_16,4,7,'BL',-5.2658696525,-4.3377038402,5.2658696525,4.4204725091
1,i_18,5,6,'BL',-12.7353186320,17.9759400443,12.7353186320,-17.0338042477
1,i_0,1,2,'BL',7.7947007537,-2.9274672535,-7.7845535113,-3.1619601904
1,i_6,4,5,'BL',-31.9026244873,6.9369240306,32.0291319597,-6.5378806102
1,i_1,1,5,'BL',12.7770995395,1.6506028104,-12.6916575360,-6.9274167345
--end of line flow
