--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',-2.9288572053
1,l_16,3,'1 ',28.2665404672
1,l_17,6,'1 ',3.9846653580
1,l_18,8,'1 ',6.7868787221
1,l_15,2,'1 ',10.8668770894
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,5,1.0588837782,-151.3417772952
0,3,1.0395606011,-156.6120219267
0,6,1.1000000000,-147.2019267280
0,12,1.0846092685,-148.3443919562
0,9,1.0447761184,-153.8766227355
0,2,1.0712240006,-150.2091315209
0,14,1.0424894076,-152.3422623553
0,13,1.0747018619,-148.9008572230
0,10,1.0436115410,-153.0021067846
0,8,1.1000000000,-148.6269884533
0,1,1.0739018889,-149.6890481010
0,7,1.0897668904,-150.4320461877
0,4,1.0553116498,-152.6167281631
0,11,1.0648592198,-150.2338075892
1,5,1.0587803196,-1.8806177528
1,3,1.0395606011,-7.1522627328
1,6,1.1000000000,2.3005670029
1,12,1.0534516371,-0.1938985877
1,9,1.0427740813,-4.5704078955
1,2,1.0712240006,-0.7504002555
1,14,1.0382591259,-3.1944446237
1,13,1.0673492071,0.0747900557
1,10,1.0418480058,-3.6588496717
1,8,1.1000000000,0.8294110396
1,1,1.0739018889,-0.2297689220
1,7,1.0896728782,-0.9763569522
1,4,1.0551118009,-3.1623128576
1,11,1.0638450165,-0.8077495352
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0021939531
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_7,6,11,'BL',33.2422419269,4.3845935658,-32.3597354067,-2.5365145296
0,i_13,10,11,'BL',-27.5585431280,0.9029700749,28.1313119222,0.4378184969
0,i_17,4,9,'BL',4.4982273054,8.7233474358,-4.4982273054,-8.2716300548
0,i_1,1,5,'BL',15.5924954530,0.8288598379,-15.4722959625,-5.9279373883
0,i_16,4,7,'BL',-21.4358282369,-5.1207541564,21.4358282369,5.9931126412
0,i_18,5,6,'BL',-35.7992678447,17.5869286893,35.7992678447,-14.4808693441
0,i_15,13,14,'BL',19.7346713235,0.8351978132,-19.1572680351,0.3404173065
0,i_14,12,13,'BL',5.2376787903,-0.3854516863,-5.1858809280,0.4323164189
0,i_2,2,3,'BL',64.0231927029,2.9324099945,-62.3325570340,-0.6894948207
0,i_3,2,4,'BL',27.3368867821,-0.7267993120,-26.9576956567,-1.9666877754
0,i_10,7,8,'BL',-21.4358282369,-5.9931126412,21.4358282369,6.7279345000
0,i_4,2,5,'BL',13.9322181429,1.1815554235,-13.8309084842,-4.7971836981
0,i_8,6,12,'BL',10.1746015788,1.8222013640,-10.0660721147,-1.5963212712
0,i_12,9,14,'BL',-8.4381153989,4.9949382293,8.5500818598,-4.7567705659
0,i_9,6,13,'BL',30.1739925271,6.4385679613,-29.6535806462,-5.4137145112
0,i_0,1,2,'BL',17.3992585666,-3.8031029326,-17.3482890440,-2.1153549668
0,i_5,3,4,'BL',-41.4669931861,7.5402290374,42.5752270556,-6.1160736072
0,i_11,9,10,'BL',-16.7251580646,7.8863886762,16.8248016555,-7.6216957044
0,i_6,4,5,'BL',-56.0416506640,9.4716140717,56.4288843728,-8.2501600283
1,i_7,6,11,'BL',34.0904614670,4.5816949613,-33.1617364366,-2.6368285835
1,i_13,10,11,'BL',-28.3262015423,0.8830482960,28.9333129521,0.5381325508
1,i_17,4,9,'BL',5.0166659274,9.0854674104,-5.0166659274,-8.5801867309
1,i_1,1,5,'BL',15.5866249592,0.8795925798,-15.4663357525,-5.9777608120
1,i_16,4,7,'BL',-21.4424100963,-5.1762633026,21.4424100963,6.0504863060
1,i_18,5,6,'BL',-36.1525401223,17.5611241184,36.1525401223,-14.4065917701
1,i_15,13,14,'BL',18.3653353279,0.4197711806,-17.8590098483,0.6111268094
1,i_14,12,13,'BL',-4.8283933244,-1.9817729575,4.8826215989,2.0308366344
1,i_2,2,3,'BL',64.0134458108,2.9335981647,-62.3233158711,-0.6928136400
1,i_3,2,4,'BL',27.4124705153,-0.6283691372,-27.0310569172,-2.0576574206
1,i_10,7,8,'BL',-21.4424100963,-6.0504863060,21.4424100963,6.7868787221
1,i_4,2,5,'BL',13.9248067786,1.2471622981,-13.8233912276,-4.8620882354
1,i_12,9,14,'BL',-7.1600099248,5.2227802123,7.2518236730,-5.0274800688
1,i_9,6,13,'BL',39.2321179723,8.3285637016,-38.3527471775,-6.5968080941
1,i_0,1,2,'BL',17.4160988261,-3.8084497851,-17.3650294112,-2.1097031283
1,i_5,3,4,'BL',-41.3681821570,7.6185275046,42.4721438674,-6.2050060001
1,i_11,9,10,'BL',-17.4848249168,7.8876956618,17.5924600699,-7.6017739255
1,i_6,4,5,'BL',-56.3770629778,9.3449052814,56.7686791837,-8.1096274963
--end of line flow
