--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',23.7330489404
1,l_16,3,'1 ',20.6369808240
1,l_18,8,'1 ',1.0788965686
1,l_14,1,'1 ',2.9089468043
1,l_17,6,'1 ',3.1668275007
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,10,1.0411385382,-10.1895614553
0,5,1.0754568741,-8.1355186192
0,6,1.1000000000,-4.3670555989
0,4,1.0724006366,-9.2099556614
0,13,1.0711853421,-5.9700411126
0,14,1.0340233522,-9.7685348427
0,9,1.0409652079,-11.1978725701
0,8,1.1000000000,-8.5891933560
0,1,1.1000000000,-6.5620247070
0,3,1.0745022422,-10.8993907420
0,7,1.0983948139,-8.8725254688
0,12,1.0824603923,-5.5287605773
0,2,1.0934778365,-7.5621809072
0,11,1.0637290717,-7.4279161721
1,10,1.0390505643,0.6525359701
1,5,1.0753336147,2.8299077383
1,6,1.1000000000,6.6394979768
1,4,1.0721675836,1.7489695979
1,13,1.0627852025,4.4999131392
1,14,1.0290950647,0.8706200858
1,9,1.0385775499,-0.3951214675
1,8,1.1000000000,2.3712617053
1,1,1.1000000000,4.4015522056
1,3,1.0745022422,0.0651904530
1,7,1.0982857854,2.0872649082
1,12,1.0479241348,4.1346747302
1,2,1.0934778365,3.4008794725
1,11,1.0625445636,3.5002613399
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0025398832
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_0,1,2,'BL',35.7237591898,-2.4603023567,-35.5192720209,-3.2663996994
0,i_1,1,5,'BL',16.5724717807,5.3131279937,-16.4191487454,-10.5020531042
0,i_7,6,11,'BL',33.7061290393,4.8030323974,-32.7962267186,-2.8975831282
0,i_9,6,13,'BL',30.0809233161,9.4102338892,-29.5378293835,-8.3407123987
0,i_16,4,7,'BL',-3.3918755455,-0.9708882507,3.3918755455,0.9925373246
0,i_17,4,9,'BL',7.1852617105,13.2065379475,-7.1852617105,-12.1800938411
0,i_8,6,12,'BL',10.6484516930,2.5215187354,-10.5268138824,-2.2683565164
0,i_14,12,13,'BL',5.0574368870,0.5334678098,-5.0086753476,-0.4893502265
0,i_18,5,6,'BL',-33.1026850289,25.7790403312,33.1026850289,-22.4472394638
0,i_3,2,4,'BL',21.2180347138,4.3208578609,-20.9796194557,-7.5852001990
0,i_5,3,4,'BL',-16.6718097414,7.4063502990,16.8716372001,-8.3712723960
0,i_10,7,8,'BL',-3.3918755455,-0.9925373246,3.3918755455,1.0107731910
0,i_4,2,5,'BL',9.4741461754,6.1951221988,-9.3988692252,-10.0347674629
0,i_2,2,3,'BL',35.2874166624,0.4931543852,-34.7942550489,-3.5624976237
0,i_11,9,10,'BL',-19.7737090592,7.4288845409,19.9046902772,-7.0809463792
0,i_6,4,5,'BL',-48.7699241217,8.1597086476,49.0537561100,-7.2644153871
0,i_13,10,11,'BL',-27.6760460513,0.2470677092,28.2558808006,1.1102614840
0,i_12,9,14,'BL',-7.0560912373,6.1136717814,7.1583384431,-5.8961782758
0,i_15,13,14,'BL',21.7894599178,1.4355171112,-21.0791254497,0.0107509610
1,i_0,1,2,'BL',35.7404021689,-2.4654334739,-35.5357257056,-3.2606906384
1,i_1,1,5,'BL',16.5685282173,5.3743802782,-16.4148084019,-10.5610152911
1,i_7,6,11,'BL',34.6025302590,5.0725960298,-33.6424737290,-3.0621175731
1,i_9,6,13,'BL',39.5744921923,11.9542308986,-38.6401676867,-10.1142542798
1,i_16,4,7,'BL',-3.3994951950,-1.0383935940,3.3994951950,1.0603781296
1,i_17,4,9,'BL',7.7300390231,13.6508404335,-7.7300390231,-12.5328261966
1,i_14,12,13,'BL',-5.4693769953,-1.7348887067,5.5356119028,1.7948155276
1,i_18,5,6,'BL',-33.4595870987,25.7394262529,33.4595870987,-22.3657515434
1,i_3,2,4,'BL',21.3009142320,4.4393967343,-21.0600474823,-7.6954509884
1,i_5,3,4,'BL',-16.5614023188,7.5074880626,16.7600623811,-8.4750698412
1,i_10,7,8,'BL',-3.3994951950,-1.0603781296,3.3994951950,1.0788965686
1,i_4,2,5,'BL',9.4710719678,6.2733603869,-9.3952039628,-10.1107424078
1,i_2,2,3,'BL',35.2723228166,0.4958202195,-34.7795732255,-3.5668993182
1,i_11,9,10,'BL',-20.5732127887,7.3768909838,20.7140829041,-7.0026839813
1,i_6,4,5,'BL',-49.1150789392,7.9969597395,49.4026525740,-7.0898641770
1,i_13,10,11,'BL',-28.4854386781,0.1688053112,29.1021278111,1.2747959290
1,i_12,9,14,'BL',-5.7118101953,6.4240581949,5.7988878886,-6.2388322746
1,i_15,13,14,'BL',20.3475109707,0.9248932382,-19.7196748952,0.3534049598
--end of line flow
