--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',31.9737260656
1,l_17,6,'1 ',1.2249749762
1,l_14,1,'1 ',-0.7414085557
1,l_18,8,'1 ',2.4373510306
1,l_15,2,'1 ',20.4644990040
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,8,1.0999999529,-7.0661082943
0,10,1.0514175750,-10.4816707665
0,2,1.0939320923,-4.0427878560
0,1,1.0934402595,-4.0162296323
0,7,1.0962044124,-7.1922482923
0,12,1.0834969802,-6.9652825009
0,14,1.0436054648,-10.2505275981
0,13,1.0764090112,-7.2028675298
0,3,1.0586966577,-10.9418226924
0,11,1.0703997754,-8.3093113955
0,6,1.1000000000,-5.8365309688
0,4,1.0676878918,-7.3431357348
0,5,1.0700457714,-6.3238440784
0,9,1.0530011206,-11.1292051187
1,8,1.0999999529,-2.1358618281
1,10,1.0494429117,-5.6672949619
1,2,1.0939320923,0.8901548257
1,1,1.0934402595,0.9171095531
1,7,1.0960995523,-2.2626778611
1,12,1.0505268153,-3.3134135344
1,14,1.0389007985,-5.6303863392
1,13,1.0684513744,-2.7527748662
1,3,1.0586966577,-6.0070634040
1,11,1.0692937851,-3.4142165588
1,6,1.1000000000,-0.8661201202
1,4,1.0674636643,-2.4144058354
1,5,1.0699300259,-1.3893321804
1,9,1.0507274510,-6.3509189797
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0026440031
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_17,4,9,'BL',13.7747536223,10.1317306476,-13.7747536223,-8.7922223088
0,i_7,6,11,'BL',27.3780137831,3.8476626172,-26.7780226497,-2.5912061376
0,i_10,7,8,'BL',-1.5070629783,-2.3603553596,1.5070629783,2.3718515765
0,i_1,1,5,'BL',22.6729880879,3.4608278535,-22.4221593615,-8.1832870614
0,i_14,12,13,'BL',3.0031049466,0.5279970272,-2.9856088131,-0.5121671921
0,i_8,6,12,'BL',10.2620759476,2.2561569056,-10.1499328155,-2.0227557613
0,i_15,13,14,'BL',18.0213864198,1.7513006444,-17.5377464677,-0.7665912538
0,i_18,5,6,'BL',-4.2621069731,21.9389581216,4.2621069731,-20.9840024438
0,i_0,1,2,'BL',0.5774767607,-4.2542280985,-0.5772273539,-2.0606798478
0,i_16,4,7,'BL',-1.5070629783,-2.3467073955,1.5070629783,2.3603553596
0,i_5,3,4,'BL',-37.4109984266,9.6779136992,38.3123523375,-8.8242925116
0,i_12,9,14,'BL',-3.6773373399,5.4357285062,3.7267111297,-5.3307038404
0,i_11,9,10,'BL',-12.2911814375,6.6840295835,12.3473387642,-6.5348534092
0,i_9,6,13,'BL',25.3762528013,7.2928157751,-24.9951307394,-6.5422674606
0,i_13,10,11,'BL',-22.3849697773,-0.4074146377,22.7570057918,1.2783099127
0,i_3,2,4,'BL',39.5663057135,2.3068988741,-38.7969657309,-3.9448288304
0,i_6,4,5,'BL',-45.4538149277,8.8610486148,45.7049644436,-8.0688459096
0,i_2,2,3,'BL',71.8501962856,4.0309947600,-69.8056969696,-0.4928519938
0,i_4,2,5,'BL',28.8012990721,4.0576419129,-28.3886648722,-6.8489009892
1,i_17,4,9,'BL',14.2873400379,10.5699267965,-14.2873400379,-9.1223567822
1,i_7,6,11,'BL',28.2397914515,4.0812795428,-27.6007230987,-2.7429904779
1,i_10,7,8,'BL',-1.5149949877,-2.4253613445,1.5149949877,2.4373510306
1,i_1,1,5,'BL',22.6735718385,3.5169517763,-22.4224049827,-8.2374058362
1,i_14,12,13,'BL',-7.1468278689,-1.4947587342,7.2535467499,1.5913139122
1,i_15,13,14,'BL',16.6493169374,1.2971521653,-16.2317464364,-0.4469626971
1,i_18,5,6,'BL',-4.5755806792,21.8827826984,4.5755806792,-20.9270301097
1,i_0,1,2,'BL',0.5901130257,-4.2583603320,-0.5898597540,-2.0565358141
1,i_16,4,7,'BL',-1.5149949877,-2.4111275485,1.5149949877,2.4253613445
1,i_5,3,4,'BL',-37.2977125018,9.7676929725,38.1951272423,-8.9238193456
1,i_12,9,14,'BL',-2.3762107295,5.7449906436,2.4207110983,-5.6503323971
1,i_11,9,10,'BL',-13.0797216323,6.6140214295,13.1416182779,-6.4495993434
1,i_9,6,13,'BL',34.5655324959,9.5766482052,-33.8622168200,-8.1916000859
1,i_13,10,11,'BL',-23.1792492910,-0.4926687035,23.5797062408,1.4300942531
1,i_3,2,4,'BL',39.6450549910,2.4226360282,-38.8721915036,-4.0490609148
1,i_6,4,5,'BL',-45.7660184660,8.6910315373,46.0202604689,-7.8890741785
1,i_2,2,3,'BL',71.8322639221,4.0330234564,-69.7887657400,-0.4990984919
1,i_4,2,5,'BL',28.8033506178,4.1289977608,-28.3902415703,-6.9183785223
--end of line flow
