--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',27.8620973971
1,l_15,2,'1 ',28.2827023894
1,l_14,1,'1 ',-2.4868286388
1,l_17,6,'1 ',2.1100537794
1,l_18,8,'1 ',2.5272829885
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,2,1.0953461602,21.4025339099
0,7,1.0964956127,20.5028407248
0,3,1.0681106240,16.0472561871
0,5,1.0721856199,19.6705551255
0,10,1.0465671790,15.2868703514
0,9,1.0453914522,14.4522720009
0,13,1.0706556909,18.6944524566
0,6,1.1000000000,20.4163501808
0,14,1.0359240472,15.1980824994
0,1,1.1000000000,22.5507177025
0,11,1.0670983495,17.7544645587
0,12,1.0813905021,19.1036162227
0,8,1.1000000000,22.0853122618
0,4,1.0693728142,18.6127842431
1,2,1.0953461602,1.4218806252
1,7,1.0963715822,0.5187790144
1,3,1.0681106240,-3.9307616678
1,5,1.0720476155,-0.3086187736
1,10,1.0442824993,-4.8340172140
1,9,1.0427664021,-5.7115050585
1,13,1.0616091580,-1.8538206314
1,6,1.1000000000,0.4773001087
1,14,1.0305597054,-5.1539516485
1,1,1.1000000000,2.5704865194
1,11,1.0658105180,-2.2717660986
1,12,1.0439115114,-2.3894776356
1,8,1.1000000000,2.1022655528
1,4,1.0691090219,-1.3729567083
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0033283580
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_5,3,4,'BL',-25.9559584742,9.3205923039,26.4110063388,-9.6211989323
0,i_7,6,11,'BL',29.6416338771,4.6781007087,-28.9347698864,-3.1978390984
0,i_2,2,3,'BL',56.1802060914,1.6862389857,-54.9367732446,-1.5736358001
0,i_10,7,8,'BL',-18.9092800627,-1.9202576665,18.9092800627,2.4495244236
0,i_14,12,13,'BL',4.7586824772,0.5629196368,-4.7153035845,-0.5236720672
0,i_11,9,10,'BL',-16.9528383989,5.0647012582,17.0439595902,-4.8226471663
0,i_16,4,7,'BL',-18.9092800627,-1.2919280368,18.9092800627,1.9202576665
0,i_3,2,4,'BL',34.1962116691,3.6129203960,-33.6143614186,-5.8311243766
0,i_15,13,14,'BL',20.1210987921,1.3956321009,-19.5144931914,-0.1605599593
0,i_17,4,9,'BL',15.0491295086,12.0933033033,-15.0491295086,-10.3911748471
0,i_4,2,5,'BL',22.8430448831,5.3411164548,-22.5692497010,-8.5695655753
0,i_6,4,5,'BL',-47.5977152710,8.4106950150,47.8704549369,-7.5503903462
0,i_13,10,11,'BL',-25.0172471547,0.0390303033,25.4860869406,1.0584719231
0,i_0,1,2,'BL',39.5308427002,-7.0813876228,-39.2781345161,1.4911153263
0,i_1,1,5,'BL',28.3888898982,4.5319669359,-28.0038445910,-8.7470419900
0,i_12,9,14,'BL',-2.8473710818,5.0329841867,2.8862637727,-4.9502542224
0,i_8,6,12,'BL',11.8263609598,2.4419954414,-11.6782329206,-2.1336996663
0,i_9,6,13,'BL',31.7644699158,9.0568390934,-31.1680222175,-7.8822473829
0,i_18,5,6,'BL',-6.5357637775,23.0552654029,6.5357637775,-21.9617206663
1,i_5,3,4,'BL',-25.8170878334,9.4267375354,26.2691725581,-9.7345459690
1,i_7,6,11,'BL',30.6373408449,4.9564149121,-29.8812586754,-3.3730842790
1,i_2,2,3,'BL',56.1540152433,1.6899192268,-54.9117222524,-1.5821182811
1,i_10,7,8,'BL',-18.9192651367,-1.9969029775,18.9192651367,2.5272829885
1,i_14,12,13,'BL',-6.9195504434,-1.5707800295,7.0216175528,1.6631264618
1,i_11,9,10,'BL',-17.8529721839,5.0009454594,17.9535303271,-4.7338230735
1,i_16,4,7,'BL',-18.9192651367,-1.3672517264,18.9192651367,1.9969029775
1,i_3,2,4,'BL',34.2916641378,3.7480155189,-33.7058990589,-5.9533819542
1,i_15,13,14,'BL',18.5338456412,0.8898233167,-18.0116659550,0.1733544428
1,i_17,4,9,'BL',15.6486393666,12.6033132264,-15.6486393666,-10.7587103789
1,i_4,2,5,'BL',22.8504785818,5.4250502319,-22.5759278466,-8.6506805637
1,i_6,4,5,'BL',-47.9538686338,8.2116133958,48.2303311708,-7.3395656479
1,i_13,10,11,'BL',-25.9268178916,-0.0497937895,26.4325757295,1.2337171037
1,i_0,1,2,'BL',39.5444770868,-7.0855526445,-39.2915910328,1.4958234110
1,i_1,1,5,'BL',28.3918973018,4.5987240057,-28.0063261090,-8.8109002158
1,i_12,9,14,'BL',-1.3477274388,5.3601266589,1.3834365362,-5.2841686244
1,i_9,6,13,'BL',42.3733812109,11.6422222750,-41.3176902039,-9.5632371278
1,i_18,5,6,'BL',-6.8864803479,22.9894139188,6.8864803479,-21.8923966012
--end of line flow
