--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',-0.5940472658
1,l_15,2,'1 ',20.7596921844
1,l_14,1,'1 ',1.6794477384
1,l_16,3,'1 ',23.3744947853
1,l_18,8,'1 ',0.9459761191
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,7,1.0987987887,18.0579168656
0,13,1.0712838008,19.8806824114
0,1,1.1000000000,19.2430764808
0,8,1.1000000000,19.1340446673
0,2,1.0942264658,18.2711302532
0,6,1.1000000000,21.6550959148
0,11,1.0653167611,18.6825617732
0,3,1.0699029539,13.8071282512
0,10,1.0431156948,15.8607228459
0,5,1.0767998747,17.8692966242
0,9,1.0421686817,14.8174644193
0,14,1.0354906087,16.2556085816
0,12,1.0814834090,20.2453175209
0,4,1.0737237553,16.7778685966
1,7,1.0986792983,38.3529342529
1,13,1.0622540673,39.5716505264
1,1,1.1000000000,39.5428803076
1,8,1.1000000000,39.4300873846
1,2,1.0942264658,38.5704900846
1,6,1.1000000000,42.0004327601
1,11,1.0640561518,38.9353095454
1,3,1.0699029539,34.1095148477
1,10,1.0409164230,36.0125936471
1,5,1.0766648752,38.1702265274
1,9,1.0396677851,34.9233557422
1,14,1.0302549361,36.1616807597
1,12,1.0433270582,38.8854095576
1,4,1.0734691630,37.0713623734
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0036247619
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_15,13,14,'BL',20.8488840351,1.4157853176,-20.1984954210,-0.0915692905
0,i_13,10,11,'BL',-28.1896802225,0.6866256425,28.7892662534,0.7169391225
0,i_14,12,13,'BL',4.4118407655,0.6541576968,-4.3742674546,-0.6201627964
0,i_18,5,6,'BL',-33.2962755863,26.4818928226,33.2962755863,-23.0647805716
0,i_7,6,11,'BL',32.6461990954,4.3845727798,-31.7945198768,-2.6010499690
0,i_2,2,3,'BL',46.9963529914,1.4609331415,-46.1230092618,-2.9105473241
0,i_3,2,4,'BL',19.5130294419,4.4836981182,-19.3076100666,-7.8557695687
0,i_8,6,12,'BL',12.4585726678,2.1170061169,-12.2963540712,-1.7793839609
0,i_11,9,10,'BL',-20.8312152234,6.8871801349,20.9721990065,-6.5126711858
0,i_4,2,5,'BL',7.5407557383,6.4420475895,-7.4792356121,-10.3315291438
0,i_9,6,13,'BL',32.2321885386,8.3144925062,-31.6264268764,-7.1215586933
0,i_10,7,8,'BL',-12.8867645748,-0.6282755474,12.8867645748,0.8711406673
0,i_12,9,14,'BL',-7.1645169421,6.0679144585,7.2676802958,-5.8484721836
0,i_1,1,5,'BL',14.6793400953,5.0620253903,-14.5542662163,-10.3746757933
0,i_17,4,9,'BL',7.1028015402,13.2518116944,-7.1028015402,-12.2278066318
0,i_6,4,5,'BL',-49.6381627470,8.3912503350,49.9316332770,-7.4655541538
0,i_0,1,2,'BL',34.4245952869,-3.4435444584,-34.2347810267,-2.3322799070
0,i_5,3,4,'BL',-30.6832864409,9.8016851918,31.2993794061,-9.6996756722
0,i_16,4,7,'BL',-12.8867645748,-0.3399533569,12.8867645748,0.6282755474
1,i_15,13,14,'BL',19.1542369369,0.9161828230,-18.5972004031,0.2179648077
1,i_13,10,11,'BL',-29.1250236676,0.6514778072,29.7677064708,0.8529717481
1,i_14,12,13,'BL',-7.8845133057,-1.1252262641,8.0132494021,1.2417017799
1,i_18,5,6,'BL',-33.6820347832,26.4381302477,33.6820347832,-22.9757416636
1,i_7,6,11,'BL',33.6802646678,4.6370918565,-32.7729600943,-2.7370825947
1,i_2,2,3,'BL',46.9663228315,1.4656304193,-46.0940714378,-2.9198466396
1,i_3,2,4,'BL',19.6183007284,4.6087286825,-19.4100833200,-7.9713808938
1,i_11,9,10,'BL',-21.7543214900,6.8845391084,21.9075424516,-6.4775233505
1,i_4,2,5,'BL',7.5485402580,6.5243210416,-7.4862947362,-10.4110848750
1,i_9,6,13,'BL',43.4113959606,10.6345052672,-42.3192966349,-8.4838207751
1,i_10,7,8,'BL',-12.8976388605,-0.7025048515,12.8976388605,0.9459761191
1,i_12,9,14,'BL',-5.5825227384,6.3363931389,5.6663852778,-6.1580062817
1,i_1,1,5,'BL',14.6831505084,5.1274128198,-14.5575553475,-10.4371961685
1,i_17,4,9,'BL',7.7616894773,13.7184840220,-7.7616894773,-12.5925669798
1,i_6,4,5,'BL',-50.0299385797,8.2190749120,50.3277407292,-7.2797154726
1,i_0,1,2,'BL',34.4389086833,-3.4479650814,-34.2489361970,-2.3273761963
1,i_5,3,4,'BL',-30.5337047416,9.8967349768,31.1456148407,-9.8050515480
1,i_16,4,7,'BL',-12.8976388605,-0.4134630605,12.8976388605,0.7025048515
--end of line flow
