--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',3.7280480884
1,l_17,6,'1 ',8.7402037423
1,l_14,1,'1 ',1.9667855254
1,l_16,3,'1 ',22.7613174928
1,l_15,2,'1 ',8.5885783988
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,2,1.0654506349,0.4151674802
0,11,1.0755996832,-6.0232547284
0,9,1.0628896137,-8.1055587294
0,6,1.1000000000,-4.0148132227
0,1,1.0811451510,2.9930172695
0,8,1.0837708020,0.9425199863
0,5,1.0507764197,-1.6085035228
0,12,1.0850283443,-4.9245894073
0,10,1.0610748837,-7.6985971306
0,13,1.0759402690,-5.2533419016
0,4,1.0489463332,-2.3947674421
0,14,1.0509163612,-7.5868148982
0,7,1.0781833479,-0.5746631898
0,3,1.0432801047,-3.7991088853
1,2,1.0654506349,0.5289203712
1,11,1.0746118320,-5.9395883820
1,9,1.0608007289,-8.1165236669
1,6,1.1000000000,-3.8690303318
1,1,1.0811451510,3.1072061088
1,8,1.0837708020,1.0551816055
1,5,1.0506759602,-1.4928928722
1,12,1.0562144707,-5.7966167535
1,10,1.0592799954,-7.6805348488
1,13,1.0687984036,-5.5257368790
1,4,1.0487468361,-2.2837512259
1,14,1.0466374636,-7.7223642475
1,7,1.0780896834,-0.4625920484
1,3,1.0432801047,-3.6844457274
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0017692113
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_1,1,5,'BL',42.3413702436,3.2300699277,-41.4954403502,-5.3296007636
0,i_2,2,3,'BL',42.0829303824,0.9752189228,-41.3448922788,-2.7355710111
0,i_9,6,13,'BL',23.8991393703,8.3925118225,-23.5483786568,-7.7017544808
0,i_10,7,8,'BL',-17.5635398460,-3.1874294679,17.5635398460,3.6702597298
0,i_11,9,10,'BL',-7.5394811696,5.1545744551,7.5629679366,-5.0921842692
0,i_16,4,7,'BL',-17.5635398460,-2.6142278535,17.5635398460,3.1874294679
0,i_3,2,4,'BL',31.2200667295,-1.4838737996,-30.7210208628,-0.8022034679
0,i_0,1,2,'BL',88.1419254303,-1.3081763693,-86.8532977866,-0.8401713831
0,i_4,2,5,'BL',23.3121189829,-0.2059696211,-23.0379280603,-2.8308863238
0,i_18,5,6,'BL',20.6610930901,12.7106721294,-20.6610930901,-11.5439973113
0,i_5,3,4,'BL',-14.7033530678,1.8000146936,14.8402881891,-2.8512963566
0,i_6,4,5,'BL',-33.8798255129,6.4285804744,34.0241095842,-5.9734642017
0,i_14,12,13,'BL',3.9676357213,0.5577024335,-3.9375116586,-0.5304473291
0,i_8,6,12,'BL',8.5547522285,2.3863932772,-8.4746284603,-2.2196333623
0,i_7,6,11,'BL',22.3659071959,3.1795139989,-21.9653089388,-2.3406111422
0,i_12,9,14,'BL',-1.2445399949,5.3088103255,1.2779928033,-5.2376517201
0,i_13,10,11,'BL',-17.4982944139,-0.2950417242,17.7214981228,0.8175369877
0,i_15,13,14,'BL',13.8255036080,1.2154233257,-13.5410919369,-0.6363503147
0,i_17,4,9,'BL',20.5852724767,4.8443165201,-20.5852724767,-2.7216663643
1,i_1,1,5,'BL',42.3366553455,3.2787372510,-41.4906342074,-5.3773720889
1,i_2,2,3,'BL',42.0743613597,0.9765974042,-41.3366178173,-2.7381904856
1,i_9,6,13,'BL',31.5316114322,10.7123953061,-30.9253286763,-9.5184352969
1,i_10,7,8,'BL',-17.5688474798,-3.2442969948,17.5688474798,3.7280480884
1,i_11,9,10,'BL',-8.2207917008,5.0423214042,8.2470828146,-4.9724817591
1,i_16,4,7,'BL',-17.5688474798,-2.6700021965,17.5688474798,3.2442969948
1,i_3,2,4,'BL',31.2782424610,-1.3811568443,-30.7772830921,-0.8984029655
1,i_0,1,2,'BL',88.1554863847,-1.3119517255,-86.8664645748,-0.8351925792
1,i_4,2,5,'BL',23.3092940763,-0.1442629665,-23.0350584766,-2.8920913483
1,i_18,5,6,'BL',20.4002266709,12.6504296971,-20.4002266709,-11.5078027309
1,i_5,3,4,'BL',-14.6244938746,1.8897771539,14.7602860259,-2.9437081960
1,i_6,4,5,'BL',-34.1311383103,6.2652851510,34.2773002769,-5.8042454195
1,i_14,12,13,'BL',-4.5069927390,-1.6619309288,4.5526881385,1.7032743855
1,i_7,6,11,'BL',23.0958778798,3.3998510055,-22.6680922272,-2.5040143421
1,i_12,9,14,'BL',-0.1703446401,5.6465713076,0.2063922773,-5.5698931536
1,i_13,10,11,'BL',-18.1824092918,-0.4147442343,18.4242814112,0.9809401876
1,i_15,13,14,'BL',12.7122538303,0.7983824271,-12.4694914109,-0.3041088811
1,i_17,4,9,'BL',20.9781573002,5.2519975236,-20.9781573002,-3.0314610381
--end of line flow
