--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',-3.6986565841
1,l_14,1,'1 ',0.9809401252
1,l_16,3,'1 ',24.2319314920
1,l_15,2,'1 ',19.5233026083
1,l_18,8,'1 ',1.6854609526
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,10,1.0616751516,-5.2356375447
0,6,1.1000000000,-1.1447734875
0,9,1.0636305488,-5.9101016623
0,2,1.0868652042,-2.6503772268
0,13,1.0783057687,-2.5260018325
0,5,1.0726894852,-3.1521338583
0,8,1.0999999596,-3.3905565935
0,12,1.0854605843,-2.2170940469
0,4,1.0703167098,-4.1790613987
0,1,1.0999999789,-0.3659957903
0,3,1.0647155219,-6.7763662040
0,7,1.0974107787,-3.7500700656
0,14,1.0532151529,-5.3400308627
0,11,1.0760497834,-3.3451530638
1,10,1.0600073430,-3.0527798793
1,6,1.1000000000,1.1829382298
1,9,1.0617107587,-3.7605701547
1,2,1.0868652042,-0.3613445275
1,13,1.0713177543,-0.6911107423
1,5,1.0725941293,-0.8611663408
1,8,1.0999999596,-1.1041199698
1,12,1.0559258708,-1.1586511486
1,4,1.0701282657,-1.8939797903
1,1,1.0999999789,1.9235122554
1,3,1.0647155219,-4.4860235917
1,7,1.0973225955,-1.4642167504
1,14,1.0491350165,-3.3401883918
1,11,1.0751141188,-1.0882007653
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0022101832
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_0,1,2,'BL',80.4325422655,-3.5146081317,-79.3963537496,0.3652761440
0,i_16,4,7,'BL',-4.3000047010,-1.5630141374,4.3000047010,1.5995636190
0,i_3,2,4,'BL',18.9785693308,2.1726141610,-18.7927862022,-5.5645540703
0,i_11,9,10,'BL',-12.9361775779,7.4237357650,12.9987275684,-7.2575781354
0,i_17,4,9,'BL',6.3809072044,8.2244779763,-6.3809072044,-7.7305093684
0,i_1,1,5,'BL',27.5150325934,4.4525463499,-27.1523308950,-8.7625160179
0,i_5,3,4,'BL',-27.1279198639,7.1008521710,27.5991431083,-7.3568325139
0,i_13,10,11,'BL',-19.3470310142,0.6429200367,19.6198051946,-0.0043857670
0,i_12,9,14,'BL',-1.7906571710,4.9595701261,1.8218965287,-4.8931198268
0,i_4,2,5,'BL',7.9314315653,4.2451264560,-7.8820370514,-8.1285688567
0,i_9,6,13,'BL',24.9506034565,5.9134586631,-24.5911511263,-5.2055848149
0,i_18,5,6,'BL',-17.5966359635,23.5787284022,17.5966359635,-21.9319504498
0,i_8,6,12,'BL',9.5691826021,1.7360428532,-9.4731064941,-1.5360816687
0,i_14,12,13,'BL',3.3583745292,0.1820895750,-3.3371645608,-0.1628996036
0,i_6,4,5,'BL',-46.0132022399,8.9944169878,46.2693596523,-8.1864178390
0,i_15,13,14,'BL',16.1391595210,0.2408378344,-15.7561646459,0.5389543405
0,i_7,6,11,'BL',23.9270203482,2.2584702762,-23.4736258612,-1.3090055103
0,i_2,2,3,'BL',42.8868820242,0.9086627712,-42.1503717853,-2.8753477229
0,i_10,7,8,'BL',-4.3000047010,-1.5995636190,4.3000047010,1.6303506847
1,i_0,1,2,'BL',80.4478669345,-3.5189591966,-79.4112830914,0.3708342008
1,i_16,4,7,'BL',-4.3066352506,-1.6173608637,4.3066352506,1.6543247866
1,i_3,2,4,'BL',19.0516725829,2.2658551426,-18.8641340327,-5.6517829701
1,i_11,9,10,'BL',-13.6710539741,7.3883639216,13.7392003146,-7.2073401625
1,i_17,4,9,'BL',6.8667695315,8.5810946005,-6.8667695315,-8.0302691571
1,i_1,1,5,'BL',27.5107588405,4.4998993218,-27.1478469788,-8.8084981889
1,i_5,3,4,'BL',-27.0314705830,7.1774856980,27.5003185847,-7.4392702399
1,i_13,10,11,'BL',-20.0875037604,0.5926820637,20.3824145678,0.0976716082
1,i_12,9,14,'BL',-0.5699184477,5.2171777834,0.6009776549,-5.1511106884
1,i_4,2,5,'BL',7.9280854184,4.3056259579,-7.8783478753,-8.1876671225
1,i_9,6,13,'BL',33.4915328038,7.6964209228,-32.8459319378,-6.4250312809
1,i_18,5,6,'BL',-17.9170094242,23.5412980611,17.9170094242,-21.8759338218
1,i_14,12,13,'BL',-6.1147319650,-1.3539920937,6.1924481827,1.4243067668
1,i_6,4,5,'BL',-46.3222616632,8.8618137158,46.5815600208,-8.0439070611
1,i_15,13,14,'BL',14.8643275891,-0.1269220701,-14.5352457721,0.7969452021
1,i_7,6,11,'BL',24.7205447420,2.4252675713,-24.2362352344,-1.4110628854
1,i_2,2,3,'BL',42.8740477420,0.9107477353,-42.1379695427,-2.8792528800
1,i_10,7,8,'BL',-4.3066352506,-1.6543247866,4.3066352506,1.6854609526
--end of line flow
