--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',14.2261650563
1,l_14,1,'1 ',2.9422851326
1,l_18,8,'1 ',4.5617001079
1,l_17,6,'1 ',-0.9113467432
1,l_16,3,'1 ',25.4849146995
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,14,1.0485022664,-1.9208424950
0,1,1.0954903085,8.1192884775
0,6,1.1000000000,2.6687545428
0,5,1.0627580493,3.8817961243
0,10,1.0647825822,-1.5114247915
0,9,1.0672845072,-2.1162514697
0,7,1.0928086500,3.0803147551
0,8,1.1000000000,3.2524948239
0,2,1.0819263600,5.9230495739
0,4,1.0604300387,2.8729449055
0,12,1.0837883321,1.4174397347
0,3,1.0562838167,1.1170224722
0,11,1.0775259403,0.4614438180
0,13,1.0756042869,1.0945695978
1,14,1.0438130387,-3.2827378004
1,1,1.0954903085,7.1040751320
1,6,1.1000000000,1.6919416834
1,5,1.0626407805,2.8673853509
1,10,1.0628269569,-2.6573043602
1,9,1.0650334456,-3.3005869510
1,7,1.0927000379,2.0606510422
1,8,1.1000000000,2.2336106468
1,2,1.0819263600,4.9074286665
1,4,1.0601978287,1.8522967107
1,12,1.0502751844,-1.0672455175
1,3,1.0562838167,0.1038821943
1,11,1.0764276732,-0.5979361528
1,13,1.0677000901,-0.4603094029
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0030266360
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_1,1,5,'BL',40.4373220137,4.7558930974,-39.6743947451,-7.3371726620
0,i_9,6,13,'BL',28.2902345167,6.5769769285,-27.8290465602,-5.6687538734
0,i_15,13,14,'BL',17.2257619298,0.3645038949,-16.7871660554,0.5284940354
0,i_3,2,4,'BL',35.4261387582,0.4468592063,-34.8001693219,-2.4491444018
0,i_10,7,8,'BL',-2.0507548749,-4.4583261704,2.0507548749,4.4938477100
0,i_17,4,9,'BL',18.2634182367,6.1221463131,-18.2634182367,-4.3990420430
0,i_6,4,5,'BL',-44.3867694271,8.6241696417,44.6294960554,-7.8585353109
0,i_12,9,14,'BL',1.6994360651,6.6174826481,-1.6473475069,-6.5066833061
0,i_4,2,5,'BL',24.9241653248,2.1582806756,-24.6134196461,-5.1885439739
0,i_13,10,11,'BL',-19.8151159207,1.7543018710,20.1014946460,-1.0839208622
0,i_0,1,2,'BL',77.1900271596,-1.8662781379,-76.2275673097,-1.4537419796
0,i_14,12,13,'BL',3.6916395485,0.3665756074,-3.6657546805,-0.3431559649
0,i_16,4,7,'BL',-2.0507548749,-4.4161560633,2.0507548749,4.4583261704
0,i_8,6,12,'BL',11.0330286362,1.7811812607,-10.9061567415,-1.5171254525
0,i_18,5,6,'BL',10.5365098975,18.3450647743,-10.5365098975,-17.4776061880
0,i_2,2,3,'BL',49.3906630204,1.7566998089,-48.4039066305,-2.6064687372
0,i_7,6,11,'BL',23.6950658159,1.5562377384,-23.2524448710,-0.6293341172
0,i_11,9,10,'BL',-11.3678101398,7.5144185251,11.4196662789,-7.3766680142
0,i_5,3,4,'BL',-18.1627030061,4.1489438493,18.3750313367,-5.0407753723
1,i_1,1,5,'BL',40.4394348640,4.8122817374,-39.6760378600,-7.3910090609
1,i_9,6,13,'BL',38.1847949259,8.5201321522,-37.3479858275,-6.8721938114
1,i_15,13,14,'BL',15.7575359880,-0.0224749951,-15.3852323905,0.7804993207
1,i_3,2,4,'BL',35.5139181901,0.5632551297,-34.8845691290,-2.5544485817
1,i_10,7,8,'BL',-2.0598347831,-4.5252297394,2.0598347831,4.5617001079
1,i_17,4,9,'BL',18.8171181050,6.5677209455,-18.8171181050,-4.7221999220
1,i_6,4,5,'BL',-44.7188345702,8.4463481301,44.9648212841,-7.6704304878
1,i_12,9,14,'BL',3.1134203098,6.8951211313,-3.0492811717,-6.7586885914
1,i_4,2,5,'BL',24.9306364919,2.2285852653,-24.6194452703,-5.2570570401
1,i_13,10,11,'BL',-20.6811204622,1.6934266355,20.9938750746,-0.9613025842
1,i_0,1,2,'BL',77.2030474896,-1.8699966047,-76.2402645727,-1.4490371415
1,i_14,12,13,'BL',-7.2145171929,-1.1505498450,7.3214105287,1.2472628631
1,i_16,4,7,'BL',-2.0598347831,-4.4819332111,2.0598347831,4.5252297394
1,i_18,5,6,'BL',10.2088534079,18.2793094163,-10.2088534079,-17.4295055735
1,i_2,2,3,'BL',49.3666157692,1.7603142049,-48.3808001703,-2.6140467082
1,i_7,6,11,'BL',24.6231596999,1.7536444589,-24.1448252997,-0.7519523952
1,i_11,9,10,'BL',-12.2280945162,7.4687383212,12.2856708204,-7.3157927788
1,i_5,3,4,'BL',-18.0367476413,4.2403166314,18.2468763267,-5.1374471654
--end of line flow
