--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',-0.6072233005
1,l_16,3,'1 ',22.4045200828
1,l_15,2,'1 ',25.0197767130
1,l_18,8,'1 ',1.8758161227
1,l_17,6,'1 ',-6.9623525440
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,6,1.1000000000,-159.7861420702
0,7,1.0970979817,-161.8494986050
0,2,1.0891736000,-160.1176933341
0,13,1.0776912198,-161.3961790623
0,4,1.0696432780,-162.2616209850
0,8,1.1000000000,-161.5043393003
0,9,1.0680123366,-165.5937072636
0,14,1.0566653824,-164.4090708710
0,3,1.0626939974,-165.2142781964
0,10,1.0648193718,-164.9380255940
0,5,1.0721036157,-161.1619868641
0,1,1.1000000000,-158.1051713104
0,11,1.0767430886,-162.5207709403
0,12,1.0867592813,-160.8544439888
1,6,1.1000000000,1.9702555293
1,7,1.0970160965,-0.1367129462
1,2,1.0891736000,1.5981813786
1,13,1.0713596212,-0.1300327205
1,4,1.0694682701,-0.5494873339
1,8,1.1000000000,0.2089358601
1,9,1.0662999387,-4.0153241845
1,14,1.0530215930,-2.9768329606
1,3,1.0626939974,-3.4977556727
1,10,1.0633151665,-3.3270301209
1,5,1.0720182877,0.5561814556
1,1,1.1000000000,3.6112381237
1,11,1.0758785799,-0.8353726889
1,12,1.0593453561,-0.3806384307
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0018481763
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_2,2,3,'BL',52.9613170574,1.7110072230,-51.8429246864,-2.0703959513
0,i_13,10,11,'BL',-23.4874899619,3.9543392302,23.8980141056,-2.9933474903
0,i_3,2,4,'BL',26.0206324295,1.9345356281,-25.6813254063,-4.8667358390
0,i_12,9,14,'BL',-5.3072151446,7.0663129948,5.3942462276,-6.8811862210
0,i_17,4,9,'BL',12.3204015828,7.4737215201,-12.3204015828,-6.5259264774
0,i_11,9,10,'BL',-12.1298916455,8.6900714157,12.1919838351,-8.5251298871
0,i_7,6,11,'BL',28.4002629984,-0.0217089304,-27.7671346310,1.3475589227
0,i_1,1,5,'BL',29.9533171748,4.2778098167,-29.5291916447,-8.3311261298
0,i_8,6,12,'BL',9.3328550815,1.2906332042,-9.2426859508,-1.1029660874
0,i_10,7,8,'BL',-4.1271454934,-1.7950034283,4.1271454934,1.8246470959
0,i_15,13,14,'BL',16.6112893237,-1.1954049008,-16.2030831401,2.0265282613
0,i_14,12,13,'BL',4.9596419668,-0.5251602559,-4.9131143096,0.5672567077
0,i_5,3,4,'BL',-30.8461265582,7.9272241617,31.4551022439,-7.8279434685
0,i_0,1,2,'BL',70.5415307707,-4.9231442782,-69.7440524002,1.0317337295
0,i_9,6,13,'BL',28.0764968562,4.9397903527,-27.6322032760,-4.0648375985
0,i_4,2,5,'BL',14.2494311069,4.0847372659,-14.1338750497,-7.7726911427
0,i_6,4,5,'BL',-49.1452840618,9.8323595848,49.4383812142,-8.9078411513
0,i_16,4,7,'BL',-4.1271454934,-1.7598113546,4.1271454934,1.7950034283
0,i_18,5,6,'BL',-12.0554548328,23.1155580032,12.0554548328,-21.8211030345
1,i_2,2,3,'BL',52.9549519577,1.7119308355,-51.8368234753,-2.0724313324
1,i_13,10,11,'BL',-24.2068514789,3.9487856522,24.6434043171,-2.9268636093
1,i_3,2,4,'BL',26.0884622676,2.0218271223,-25.7470822343,-4.9471008974
1,i_12,9,14,'BL',-4.1217709988,7.2425156726,4.1994045780,-7.0773786486
1,i_17,4,9,'BL',12.7917140169,7.8051778943,-12.7917140169,-6.7799090638
1,i_11,9,10,'BL',-12.8440233572,8.6984102788,12.9113453521,-8.5195763091
1,i_7,6,11,'BL',29.1809500740,0.1186909989,-28.5125248426,1.2810750418
1,i_1,1,5,'BL',29.9453060508,4.3209078298,-29.5211147454,-8.3735025517
1,i_10,7,8,'BL',-4.1326900224,-1.8458301330,4.1326900224,1.8758161227
1,i_15,13,14,'BL',15.3630761555,-1.5002637759,-15.0082414904,2.2227206889
1,i_14,12,13,'BL',-4.2830439840,-1.6281263433,4.3243754854,1.6655215113
1,i_5,3,4,'BL',-30.7612050850,7.9999283473,31.3678258651,-7.9064185014
1,i_0,1,2,'BL',70.5587827763,-4.9281311303,-69.7609117558,1.0379194002
1,i_9,6,13,'BL',36.3663615692,6.3251480571,-35.6214799028,-4.8582435269
1,i_4,2,5,'BL',14.2399410743,4.1407961674,-14.1241829827,-7.8278166823
1,i_6,4,5,'BL',-49.4580187601,9.7101636122,49.7545323738,-8.7748686104
1,i_16,4,7,'BL',-4.1326900224,-1.8102316649,4.1326900224,1.8458301330
1,i_18,5,6,'BL',-12.3893749586,23.0800874238,12.3893749586,-21.7729990265
--end of line flow
