--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',17.9785298417
1,l_15,2,'1 ',15.4254915992
1,l_17,6,'1 ',-5.0463570087
1,l_14,1,'1 ',2.2212056115
1,l_18,8,'1 ',1.8018121296
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,11,1.0792575158,-10.6276397856
0,6,1.1000000000,-8.4109778574
0,10,1.0674995733,-12.5841779767
0,2,1.0877020015,-8.2454324152
0,3,1.0712299730,-11.1415306666
0,13,1.0758814443,-9.9600541126
0,7,1.0975495308,-8.1230994850
0,1,1.0973649202,-6.7454698390
0,8,1.1000000000,-6.6858526199
0,5,1.0722880301,-9.0910310113
0,12,1.0857463659,-9.4995978120
0,9,1.0692619930,-13.1600354812
0,4,1.0714390949,-9.8363762268
0,14,1.0515687105,-12.8994453875
1,11,1.0783226185,-4.7159743799
1,6,1.1000000000,-2.4273919864
1,10,1.0658372662,-6.7474867539
1,2,1.0877020015,-2.3013735731
1,3,1.0712299730,-5.1963830794
1,13,1.0690326041,-4.4773006844
1,7,1.0974602147,-2.1817191425
1,1,1.0973649202,-0.8009207729
1,8,1.1000000000,-0.7438365386
1,5,1.0721941894,-3.1448697009
1,12,1.0566324537,-4.8127666865
1,9,1.0673478979,-7.3565694044
1,4,1.0712489076,-3.8960581837
1,14,1.0475346978,-7.2489971215
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0020676263
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_6,4,5,'BL',-32.8053079747,8.4709963023,32.9388038202,-8.0499094066
0,i_5,3,4,'BL',-13.2366543775,4.4948562236,13.3549355967,-5.6620962512
0,i_12,9,14,'BL',1.1466590959,6.4623365830,-1.0987681859,-6.3604662010
0,i_13,10,11,'BL',-19.5532557637,2.1677052796,19.8319233144,-1.5153752801
0,i_17,4,9,'BL',12.3243135560,7.6048755003,-12.3243135560,-6.6508199429
0,i_2,2,3,'BL',30.3535931207,0.0062178104,-29.9849774161,-3.5573091477
0,i_9,6,13,'BL',27.8801331208,6.5404298311,-27.4318006510,-5.6575232424
0,i_15,13,14,'BL',16.5737935366,-0.1963894411,-16.1681035569,1.0223897145
0,i_16,4,7,'BL',-17.1908502281,-0.7951914697,17.1908502281,1.3112052177
0,i_8,6,12,'BL',9.6319552562,1.5855243513,-9.5351626667,-1.3840719688
0,i_3,2,4,'BL',19.6109693948,1.8127548089,-19.4148881999,-5.1806278888
0,i_7,6,11,'BL',23.4337255118,0.7278715432,-23.0022578341,0.1756757415
0,i_1,1,5,'BL',23.3189453052,4.1687165904,-23.0521511672,-8.8582378601
0,i_14,12,13,'BL',4.7893946393,0.0839472714,-4.7463941975,-0.0450421098
0,i_18,5,6,'BL',-5.9602332124,23.1004616722,5.9602332124,-22.0168466637
0,i_0,1,2,'BL',53.1936848638,-1.9896421538,-52.7380794447,-2.9218135535
0,i_4,2,5,'BL',11.8138208376,3.7991468742,-11.7301881543,-7.5797114497
0,i_11,9,10,'BL',-11.1332873748,6.4895119541,11.1794904114,-6.3667783297
0,i_10,7,8,'BL',-17.1908502281,-1.3112052177,17.1908502281,1.7458638908
1,i_6,4,5,'BL',-33.1189736694,8.3292929407,33.2546455147,-7.9013422737
1,i_5,3,4,'BL',-13.1452708156,4.5768571422,13.2626489365,-5.7461413452
1,i_12,9,14,'BL',2.3758517724,6.7052307615,-2.3193893694,-6.5851276655
1,i_13,10,11,'BL',-20.3056928909,2.1220566051,20.6067506332,-1.4173136367
1,i_17,4,9,'BL',12.8059205917,7.9743207605,-12.8059205917,-6.9386567364
1,i_2,2,3,'BL',30.3428921924,0.0081928099,-29.9745303825,-3.5603538114
1,i_9,6,13,'BL',36.4596109710,8.2126701798,-35.6960151792,-6.7089116947
1,i_15,13,14,'BL',15.2979354992,-0.5335152472,-14.9474823734,1.2470511791
1,i_16,4,7,'BL',-17.1970531070,-0.8498285480,17.1970531070,1.3665539785
1,i_3,2,4,'BL',19.6821564421,1.9077724662,-19.4843400017,-5.2696876150
1,i_7,6,11,'BL',24.2388879820,0.8894587877,-23.7770851529,0.0776140981
1,i_1,1,5,'BL',23.3135676655,4.2155432984,-23.0465854114,-8.9037929607
1,i_14,12,13,'BL',-4.7457680274,-1.3001246975,4.7936783681,1.3434721486
1,i_18,5,6,'BL',-6.2876686675,23.0564780158,6.2876686675,-21.9689024692
1,i_0,1,2,'BL',53.2094006350,-1.9943376869,-52.7535278928,-2.9163018436
1,i_4,2,5,'BL',11.8080680665,3.8593637401,-11.7241601494,-7.6387398256
1,i_11,9,10,'BL',-11.8808730156,6.4567507552,11.9319275386,-6.3211296552
1,i_10,7,8,'BL',-17.1970531070,-1.3665539785,17.1970531070,1.8018121296
--end of line flow
