--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',0.4556931238
1,l_16,3,'1 ',30.5126752173
1,l_17,6,'1 ',-1.3180889885
1,l_18,8,'1 ',2.4735449898
1,l_15,2,'1 ',25.6716768255
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,11,1.0702213880,-0.2337920764
0,1,1.1000000000,2.3330888528
0,6,1.1000000000,2.8577020220
0,8,1.1000000000,3.4575313455
0,5,1.0740364442,0.0311130479
0,14,1.0433538707,-2.4689992442
0,13,1.0733729786,1.2060004127
0,2,1.0916676114,0.8373455072
0,3,1.0660846906,-3.9780149212
0,7,1.0968718304,1.3703440503
0,10,1.0530389941,-2.9923796722
0,9,1.0554172773,-3.8154016171
0,12,1.0835054655,1.6437270687
0,4,1.0709665917,-1.1189175179
1,11,1.0691141764,-1.4278028024
1,1,1.1000000000,1.1772955742
1,6,1.1000000000,1.7451067534
1,8,1.1000000000,2.2990444918
1,5,1.0739216143,-1.1230679420
1,14,1.0387445591,-3.9590506943
1,13,1.0654334883,-0.4665827019
1,2,1.0916676114,-0.3189627942
1,3,1.0660846906,-5.1326833527
1,7,1.0967671831,0.2109946481
1,10,1.0511085811,-4.2739372304
1,9,1.0532203689,-5.1357891919
1,12,1.0500567565,-0.9108542743
1,4,1.0707444916,-2.2798126985
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0026412572
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_5,3,4,'BL',-29.6182655153,8.6650598251,30.1874988384,-8.6736462568
0,i_0,1,2,'BL',52.6286996754,-4.2501003311,-52.1848987467,-0.7354986793
0,i_6,4,5,'BL',-51.9073010923,9.1987985079,52.2307574884,-8.1785176959
0,i_16,4,7,'BL',-24.9464441419,-0.4078894955,24.9464441419,1.4934519480
0,i_7,6,11,'BL',32.7319703314,1.6998003453,-31.8887118267,0.0660884373
0,i_4,2,5,'BL',11.8629637736,5.1889793304,-11.7705897259,-8.9642984166
0,i_10,7,8,'BL',-24.9464441419,-1.4934519480,24.9464441419,2.4078638933
0,i_17,4,9,'BL',9.8667898601,10.1306335880,-9.8667898601,-9.2200815807
0,i_11,9,10,'BL',-15.5231582660,8.9498899223,15.6148464998,-8.7063295401
0,i_2,2,3,'BL',50.3530339882,1.6205076021,-49.3462632245,-2.4778798458
0,i_13,10,11,'BL',-27.0388626266,2.8102378096,27.5856678619,-1.5302270658
0,i_14,12,13,'BL',4.7419311006,0.2684964149,-4.6994815174,-0.2300896491
0,i_15,13,14,'BL',20.5428331517,-0.1693229820,-19.9166993384,1.4441553093
0,i_1,1,5,'BL',23.1244618808,4.6539446846,-22.8596854415,-9.3752706586
0,i_8,6,12,'BL',10.8291585280,1.9942084278,-10.7059970784,-1.7378750912
0,i_12,9,14,'BL',-5.9811198264,7.6331662487,6.0884296348,-7.4049039092
0,i_18,5,6,'BL',-24.8041663047,24.5724793746,24.8041663047,-22.2590751674
0,i_9,6,13,'BL',29.9978172143,7.6278005879,-29.4740555195,-6.5963503085
0,i_3,2,4,'BL',24.3426298818,3.1547008962,-24.0406046732,-6.2140852408
1,i_5,3,4,'BL',-29.5037382557,8.7548434800,30.0699785161,-8.7707646910
1,i_0,1,2,'BL',52.6453100842,-4.2550644910,-52.2012274007,-0.7296742802
1,i_6,4,5,'BL',-52.2586601504,9.0453168225,52.5861864294,-8.0121983500
1,i_16,4,7,'BL',-24.9543679134,-0.4712907522,24.9543679134,1.5580906748
1,i_7,6,11,'BL',33.6438291972,1.9217135553,-32.7524299436,-0.0550120229
1,i_4,2,5,'BL',11.8606602587,5.2614683673,-11.7678074786,-9.0348990811
1,i_10,7,8,'BL',-24.9543679134,-1.5580906748,24.9543679134,2.4735449898
1,i_17,4,9,'BL',10.4260088779,10.5471986682,-10.4260088779,-9.5453423659
1,i_11,9,10,'BL',-16.3434643881,8.9328705124,16.4429443781,-8.6686121297
1,i_2,2,3,'BL',50.3368446973,1.6229380977,-49.3307085672,-2.4829840681
1,i_13,10,11,'BL',-27.8669605049,2.7725203992,28.4493859788,-1.4091266055
1,i_14,12,13,'BL',-5.9640659778,-1.4693786763,6.0396598488,1.5377731310
1,i_15,13,14,'BL',19.0737923958,-0.6069143703,-18.5254154422,1.7234307652
1,i_1,1,5,'BL',23.1210577580,4.7107576149,-22.8559630197,-9.4301628672
1,i_12,9,14,'BL',-4.6015946865,7.8874292546,4.6971457386,-7.6841793651
1,i_18,5,6,'BL',-25.1660999148,24.5316529018,25.1660999148,-22.1872300922
1,i_9,6,13,'BL',39.6555319826,9.7214052581,-38.7441561298,-7.9266217004
1,i_3,2,4,'BL',24.4276352283,3.2659303665,-24.1230205390,-6.3166489448
--end of line flow
