--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',1.9639727371
1,l_14,1,'1 ',1.4845953695
1,l_17,6,'1 ',-6.2747427968
1,l_15,2,'1 ',17.8612552175
1,l_16,3,'1 ',30.7604436551
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,11,1.0782635721,-2.8777936062
0,14,1.0523370074,-5.0336079266
0,10,1.0674064291,-5.1783810841
0,3,1.0661552225,-6.3932449763
0,5,1.0760224439,-2.1617340907
0,6,1.1000000000,-0.2561382428
0,1,1.0999999462,-0.2825532127
0,8,1.0999999704,2.7918565621
0,4,1.0747950543,-3.0151399640
0,9,1.0695378831,-5.9486501779
0,12,1.0848163968,-1.4529728684
0,2,1.0924054858,-1.5254420222
0,13,1.0754473510,-1.9257512123
0,7,1.0981291270,0.1383882967
1,11,1.0772635459,0.3549064469
1,14,1.0480763146,-2.0868323164
1,10,1.0656533469,-2.0284779564
1,3,1.0661552225,-3.1222953882
1,5,1.0759202507,1.1097260259
1,6,1.1000000000,3.0556890801
1,1,1.0999999462,2.9873779278
1,8,1.0999999704,6.0593443885
1,4,1.0745916865,0.2498755316
1,9,1.0675336768,-2.8356218809
1,12,1.0534298447,0.4188593357
1,2,1.0924054858,1.7439944625
1,13,1.0681132643,0.8348194288
1,7,1.0980330043,3.4050196176
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0024867759
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_3,2,4,'BL',18.9258483079,2.8696454114,-18.7397455758,-6.2974721145
0,i_7,6,11,'BL',27.1285262336,-0.3092972778,-26.5507553532,1.5192217684
0,i_14,12,13,'BL',4.7075526413,-0.0983155940,-4.6659326191,0.1359718046
0,i_11,9,10,'BL',-14.9783152182,8.4585053820,15.0605983419,-8.2399287098
0,i_2,2,3,'BL',50.9910852253,1.8902959868,-49.9592721307,-2.6460229852
0,i_6,4,5,'BL',-37.9841586309,9.2139102183,38.1607078764,-8.6570196768
0,i_13,10,11,'BL',-22.3474391896,3.9958195616,22.7185827902,-3.1270133292
0,i_15,13,14,'BL',17.2192264218,-0.8374128779,-16.7799952036,1.7317043924
0,i_0,1,2,'BL',44.1002815706,-3.0423185238,-43.7887829786,-2.3514733199
0,i_9,6,13,'BL',29.5600483956,6.1074471131,-29.0619567288,-5.1265491323
0,i_1,1,5,'BL',19.2085609223,4.4809963733,-19.0189716337,-9.5232046787
0,i_12,9,14,'BL',-2.8043144212,8.1755618812,2.8873245674,-7.9989881787
0,i_17,4,9,'BL',10.9158585738,8.1851835555,-10.9158585738,-7.3436293427
0,i_18,5,6,'BL',-16.7568039914,25.2596975852,16.7568039914,-23.5224353644
0,i_4,2,5,'BL',9.8367900958,5.0480861197,-9.7664699507,-8.9009154287
0,i_8,6,12,'BL',10.5043651162,1.5837431994,-10.3897338360,-1.3451635249
0,i_10,7,8,'BL',-31.7467628010,-0.4310387915,31.7467628010,1.9035369670
0,i_16,4,7,'BL',-31.7467628010,1.3170669049,31.7467628010,0.4310387915
0,i_5,3,4,'BL',-35.6595760916,9.0223721757,36.4652527342,-8.4328368224
1,i_3,2,4,'BL',19.0070582076,2.9701741383,-18.8189709256,-6.3912361323
1,i_7,6,11,'BL',28.0068912321,-0.1380604621,-27.3911657022,1.4274667360
1,i_14,12,13,'BL',-5.6821811947,-1.4434791189,5.7506060094,1.5053872846
1,i_11,9,10,'BL',-15.7837490453,8.4508947720,15.8732213518,-8.2132207730
1,i_2,2,3,'BL',50.9761342754,1.8925265626,-49.9449135656,-2.6507492924
1,i_6,4,5,'BL',-38.3270863285,9.0695664911,38.5064227166,-8.5038844457
1,i_13,10,11,'BL',-23.1600621996,3.9691116248,23.5589931392,-3.0352582968
1,i_15,13,14,'BL',15.8078712990,-1.1963525698,-15.4313315575,1.9630018462
1,i_0,1,2,'BL',44.1162246798,-3.0471600040,-43.8045010562,-2.3459447848
1,i_9,6,13,'BL',38.9292034046,7.8346964121,-38.0671402344,-6.1370249203
1,i_1,1,5,'BL',19.2050516928,4.5317553735,-19.0151833886,-9.5722708925
1,i_12,9,14,'BL',-1.4575380366,8.4028448772,1.5386609214,-8.2302856326
1,i_17,4,9,'BL',11.4572011314,8.5705282618,-11.4572011314,-7.6446812434
1,i_18,5,6,'BL',-17.1100116678,25.2190015275,17.1100116678,-23.4626730929
1,i_4,2,5,'BL',9.8334979665,5.1130988605,-9.7627653596,-8.9642883884
1,i_10,7,8,'BL',-31.7542231288,-0.4904446314,31.7542231288,1.9639727371
1,i_16,4,7,'BL',-31.7542231288,1.2588837675,31.7542231288,0.4904446314
1,i_5,3,4,'BL',-35.5514609417,9.1024816385,36.3535235517,-8.5218906463
--end of line flow
