--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',8.6542534489
1,l_18,8,'1 ',7.2407137868
1,l_17,6,'1 ',4.0371616286
1,l_14,1,'1 ',-1.3844906276
1,l_16,3,'1 ',26.2950518712
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,7,1.0894560974,2.9081755263
0,6,1.1000000000,0.8314815547
0,11,1.0751067532,-1.4159873641
0,1,1.0792220929,3.8388093165
0,13,1.0770132122,-0.5691300234
0,14,1.0514405784,-3.5403620787
0,5,1.0576884926,0.9462944696
0,2,1.0731822392,2.8228372753
0,9,1.0638918529,-4.0365662060
0,3,1.0453359923,-2.5028283197
0,4,1.0557155959,0.0080520932
0,12,1.0845884364,-0.1944315680
0,8,1.1000000000,5.3051321853
0,10,1.0612985954,-3.4144341904
1,7,1.0893587237,0.5665005552
1,6,1.1000000000,-1.4720418796
1,11,1.0740883259,-3.7888066022
1,1,1.0792220929,1.4996979304
1,13,1.0696259908,-3.3444588304
1,14,1.0470650999,-6.1626278279
1,5,1.0575835512,-1.3914378721
1,2,1.0731822392,0.4832920526
1,9,1.0617820165,-6.5155256476
1,3,1.0453359923,-4.8410440263
1,4,1.0555091496,-2.3351164295
1,12,1.0541533371,-3.6782357278
1,8,1.1000000000,2.9642220596
1,10,1.0594720727,-5.8606278341
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0021766399
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_16,4,7,'BL',-28.4531683177,-4.4377024214,28.4531683177,5.9259613494
0,i_4,2,5,'BL',22.2378350052,0.6368719181,-21.9898866540,-3.8076702441
0,i_15,13,14,'BL',16.8930304259,0.0543442774,-16.4725015198,0.8018686162
0,i_1,1,5,'BL',26.9276597598,1.6832173996,-26.5816979481,-5.8722865762
0,i_11,9,10,'BL',-11.6053290523,7.7126176371,11.6598981356,-7.5676604684
0,i_12,9,14,'BL',-1.0420850713,5.4047463766,1.0761092460,-5.3323723985
0,i_18,5,6,'BL',0.9925842162,15.6981337219,-0.9925842162,-15.2139834802
0,i_17,4,9,'BL',14.6993939220,5.5333707788,-14.6993939220,-4.3774681531
0,i_5,3,4,'BL',-26.4504785919,3.9394984503,26.8927118749,-4.2234321181
0,i_6,4,5,'BL',-40.7772546929,8.3368686433,40.9847496077,-7.6823659571
0,i_9,6,13,'BL',25.6177078606,6.6733024386,-25.2345845976,-5.9188131346
0,i_8,6,12,'BL',9.4003027943,2.1852365206,-9.3056916015,-1.9883242334
0,i_13,10,11,'BL',-20.1450231648,1.3372239021,20.4419492627,-0.6421526575
0,i_0,1,2,'BL',34.6942515853,-3.1142782753,-34.4939669077,-2.3896258202
0,i_3,2,4,'BL',31.8542136491,-1.0497208252,-31.3418355123,-1.2482325864
0,i_14,12,13,'BL',3.7715058842,-0.0455430440,-3.7447882501,0.0697161415
0,i_2,2,3,'BL',53.7327193438,2.2652315542,-52.5453928025,-2.1783362103
0,i_7,6,11,'BL',24.5183666432,2.5162051165,-24.0415186967,-1.5176258729
0,i_10,7,8,'BL',-28.4531683177,-5.9259613494,28.4531683177,7.1795803729
1,i_16,4,7,'BL',-28.4596982374,-4.4948455898,28.4596982374,5.9852703759
1,i_4,2,5,'BL',22.2362255240,0.7014578604,-21.9881425615,-3.8714611663
1,i_15,13,14,'BL',15.6450916843,-0.3608834543,-15.2792091811,1.1058341870
1,i_1,1,5,'BL',26.9250819461,1.7339336902,-26.5789693203,-5.9218342248
1,i_11,9,10,'BL',-12.3418935188,7.6356178229,12.4013231242,-7.4777491760
1,i_12,9,14,'BL',0.1540311067,5.7147186321,-0.1171830926,-5.6363379692
1,i_18,5,6,'BL',0.6967713941,15.6453734524,-0.6967713941,-15.1653418290
1,i_17,4,9,'BL',15.1589456335,5.9380885946,-15.1589456335,-4.6956522520
1,i_5,3,4,'BL',-26.3553990906,4.0258643117,26.7950494091,-4.3161115473
1,i_6,4,5,'BL',-41.0659944088,8.1789722186,41.2760897094,-7.5162671167
1,i_9,6,13,'BL',34.0099983547,8.8600767725,-33.3347320757,-7.5302666718
1,i_13,10,11,'BL',-20.8864481534,1.2473126097,21.2064664617,-0.4981850475
1,i_0,1,2,'BL',34.7077125986,-3.1184243178,-34.5072724170,-2.3850050010
1,i_3,2,4,'BL',31.9231532212,-0.9449417450,-31.4084551224,-1.3452313798
1,i_14,12,13,'BL',-5.5341857173,-2.0338672774,5.6032979696,2.0963974105
1,i_2,2,3,'BL',53.7200509203,2.2670182041,-52.5332727888,-2.1824333239
1,i_7,6,11,'BL',25.3149109174,2.7272414276,-24.8060358958,-1.6615934828
1,i_10,7,8,'BL',-28.4596982374,-5.9852703759,28.4596982374,7.2407137868
--end of line flow
