--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',0.4099662730
1,l_18,8,'1 ',3.1826668433
1,l_15,2,'1 ',15.4104890579
1,l_16,3,'1 ',17.3082740121
1,l_17,6,'1 ',3.7647802691
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,11,1.0687256935,-1.0753331103
0,12,1.0833612902,0.2648467758
0,8,1.1000000000,3.1442052272
0,6,1.1000000000,1.4512893673
0,5,1.0677474515,1.6466752847
0,13,1.0738226330,-0.0937959961
0,1,1.0922251750,4.1631655175
0,14,1.0350615523,-3.6045813380
0,10,1.0474681145,-3.4296819188
0,4,1.0660139088,0.8161922932
0,3,1.0629298987,-1.2599718114
0,7,1.0952008170,2.0851019076
0,2,1.0873094227,3.3442179019
0,9,1.0470966291,-4.1167572984
1,11,1.0675764428,-47.6895594118
1,12,1.0498454674,-47.6718314025
1,8,1.1000000000,-43.4325218361
1,6,1.1000000000,-45.0840526783
1,5,1.0676273982,-44.9261043768
1,13,1.0657936902,-47.1775568482
1,1,1.0922251750,-42.4109272244
1,14,1.0302683817,-50.5126101697
1,10,1.0454231244,-50.1291971161
1,4,1.0657792259,-45.7625255856
1,3,1.0629298987,-47.8326245235
1,7,1.0950907468,-44.4924036043
1,2,1.0873094227,-43.2303087797
1,9,1.0447452641,-50.8544413321
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0026730095
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_0,1,2,'BL',28.6522856342,-3.2548538404,-28.5189169599,-2.6084736150
0,i_15,13,14,'BL',20.7258686169,2.3796653371,-20.0807100655,-1.0660979174
0,i_5,3,4,'BL',-21.3107129589,6.1447410794,21.6080436794,-6.8362338075
0,i_6,4,5,'BL',-36.7821307358,7.5564009137,36.9477771854,-7.0339011390
0,i_18,5,6,'BL',1.7052187256,20.7556391608,-1.7052187256,-19.9228721729
0,i_1,1,5,'BL',24.5434363158,3.6108092037,-24.2512089830,-8.1437517886
0,i_10,7,8,'BL',-12.6413879210,-2.8670155514,12.6413879210,3.1137715084
0,i_3,2,4,'BL',30.2489338940,1.7930588435,-29.7920822493,-4.3485254822
0,i_8,6,12,'BL',10.6686258867,2.1286340837,-10.5484070453,-1.8784251356
0,i_11,9,10,'BL',-13.7538006789,4.8106067110,13.8153975269,-4.6469810065
0,i_12,9,14,'BL',-1.1339267082,5.2098990832,1.1668850465,-5.1397922818
0,i_2,2,3,'BL',47.7947305099,1.3402140727,-46.8806495779,-2.5525843579
0,i_4,2,5,'BL',21.5678899711,3.4162561922,-21.3294414758,-6.7058488314
0,i_13,10,11,'BL',-24.2580830984,-0.7382315667,24.6985486499,1.7693128400
0,i_7,6,11,'BL',28.1664439309,4.4203672919,-27.5283602751,-3.0841403059
0,i_14,12,13,'BL',4.2176407977,0.5198070843,-4.1836489534,-0.4890525585
0,i_16,4,7,'BL',-12.6413879210,-2.5740742756,12.6413879210,2.8670155514
0,i_9,6,13,'BL',28.4934449209,7.9651147138,-28.0149128376,-7.0227356588
0,i_17,4,9,'BL',17.8097515716,11.2546269096,-17.8097515716,-9.2148757057
1,i_0,1,2,'BL',28.6660767388,-3.2591535303,-28.5325794973,-2.6037813904
1,i_15,13,14,'BL',19.3041672535,1.9325574541,-18.7377909662,-0.7793937292
1,i_5,3,4,'BL',-21.1967402883,6.2433065592,21.4920063498,-6.9397487390
1,i_6,4,5,'BL',-37.1068898724,7.3741828458,37.2751097798,-6.8435655948
1,i_18,5,6,'BL',1.3783301404,20.6937481015,-1.3783301404,-19.8676565905
1,i_1,1,5,'BL',24.5430102589,3.6691198033,-24.2504451340,-8.2000373136
1,i_10,7,8,'BL',-12.6494069496,-2.9349841294,12.6494069496,3.1826668433
1,i_3,2,4,'BL',30.3301120426,1.9130078416,-29.8703877442,-4.4589076418
1,i_11,9,10,'BL',-14.5719404585,4.7510524347,14.6404027845,-4.5691892926
1,i_12,9,14,'BL',0.2113340611,5.5015843172,-0.1760340527,-5.4264964700
1,i_2,2,3,'BL',47.7763687994,1.3430399901,-46.8629765288,-2.5583116221
1,i_4,2,5,'BL',21.5695232517,3.4901575543,-21.3306493341,-6.7780077913
1,i_13,10,11,'BL',-25.0830883560,-0.8160232807,25.5559300927,1.9228936325
1,i_7,6,11,'BL',29.0659602208,4.6621837244,-28.3857417180,-3.2377210984
1,i_14,12,13,'BL',-6.3307662476,-1.3586180513,6.4147995815,1.4346482106
1,i_16,4,7,'BL',-12.6494069496,-2.6409426355,12.6494069496,2.9349841294
1,i_9,6,13,'BL',38.0392450521,10.1684880845,-37.1916600091,-8.4993285449
1,i_17,4,9,'BL',18.3368725613,11.7176104285,-18.3368725613,-9.5404616557
--end of line flow
