--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',-1.8645811301
1,l_15,2,'1 ',10.2789391888
1,l_17,6,'1 ',4.1698557862
1,l_16,3,'1 ',19.9910979876
1,l_18,8,'1 ',7.7455930379
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,11,1.0775706437,-3.4480328690
0,12,1.0841587124,-2.4047350502
0,14,1.0569407328,-5.1539321570
0,6,1.1000000000,-1.2962920125
0,4,1.0577817624,-2.7488355554
0,10,1.0650583483,-5.3535530493
0,9,1.0670729342,-5.8956499965
0,8,1.1000000000,4.4333113807
0,7,1.0894521550,1.1800704482
0,3,1.0561660675,-3.4848607733
0,2,1.0633760027,-2.2201198223
0,13,1.0762909631,-2.7272685672
0,1,1.0688034584,-1.3628487615
0,5,1.0569665939,-2.3846855367
1,11,1.0765426828,-0.1582530864
1,12,1.0523791191,-0.3394243372
1,14,1.0524594107,-2.1283560780
1,6,1.1000000000,2.0673819463
1,4,1.0575727575,0.5729452822
1,10,1.0632178539,-2.1412866560
1,9,1.0649467319,-2.7177485247
1,8,1.1000000000,7.7579068801
1,7,1.0893530109,4.5037436202
1,3,1.0561660675,-0.1571403229
1,2,1.0633760027,1.1056549370
1,13,1.0686415890,0.1257565883
1,1,1.0688034584,1.9633438415
1,5,1.0568600906,0.9428384049
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0024731844
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_2,2,3,'BL',12.7551223363,-1.4929772888,-12.6871120037,-3.1397926189
0,i_10,7,8,'BL',-38.6080983561,-5.4272507586,38.6080983561,7.6831589852
0,i_13,10,11,'BL',-19.1896293458,1.5897388246,19.4578148920,-0.9619460416
0,i_3,2,4,'BL',6.3210422602,-0.6045242393,-6.2996167487,-3.1549058269
0,i_12,9,14,'BL',-2.8693082876,5.3826013690,2.9108416070,-5.2942544340
0,i_18,5,6,'BL',-9.4024324904,15.4271785204,9.4024324904,-14.7875921294
0,i_9,6,13,'BL',26.2395837337,6.9791040463,-25.8365478298,-6.1854005361
0,i_11,9,10,'BL',-10.2868651584,6.4767215024,10.3281465600,-6.3670616963
0,i_1,1,5,'BL',9.8482414238,0.5569193259,-9.7970062454,-5.9038338291
0,i_17,4,9,'BL',11.4969111819,5.1340851361,-11.4969111819,-4.3941330638
0,i_16,4,7,'BL',-38.6080983561,-2.7491041315,38.6080983561,5.4272507586
0,i_4,2,5,'BL',2.8369377390,1.0369908129,-2.8283720434,-4.8997861352
0,i_14,12,13,'BL',3.6069430227,0.2901334109,-3.5823320496,-0.2678663400
0,i_0,1,2,'BL',28.9176597196,-2.4684487471,-28.7757409258,-3.0992609306
0,i_5,3,4,'BL',-7.5949189544,1.3179496289,7.6320504762,-2.6531876089
0,i_15,13,14,'BL',13.6341195654,-0.4189942336,-13.3595685456,0.9779905825
0,i_7,6,11,'BL',23.2073635809,1.7424420989,-22.7822159656,-0.8521298155
0,i_8,6,12,'BL',10.0200917805,2.0847052227,-9.9136900813,-1.8632536023
0,i_6,4,5,'BL',-14.7279333468,6.7704355658,14.7592830326,-6.6715490286
1,i_2,2,3,'BL',12.7367937076,-1.4890517142,-12.6689743221,-3.1445226583
1,i_10,7,8,'BL',-38.6155179091,-5.4874483698,38.6155179091,7.7455930379
1,i_13,10,11,'BL',-19.9745866139,1.5137359809,20.2658438447,-0.8319349290
1,i_3,2,4,'BL',6.3976886850,-0.5033285899,-6.3756198790,-3.2533979599
1,i_12,9,14,'BL',-1.5901856474,5.6878904089,1.6292796586,-5.6047322095
1,i_18,5,6,'BL',-9.7137075340,15.3802364339,9.7137075340,-14.7316933650
1,i_9,6,13,'BL',35.2044912933,9.1205798167,-34.4814656785,-7.6967166747
1,i_11,9,10,'BL',-11.0672140613,6.4129603079,11.1131038281,-6.2910588526
1,i_1,1,5,'BL',9.8478959429,0.6078213605,-9.7965006296,-5.9535209960
1,i_17,4,9,'BL',11.9956849192,5.5368114258,-11.9956849192,-4.7217899066
1,i_16,4,7,'BL',-38.6155179091,-2.8066467064,38.6155179091,5.4874483698
1,i_4,2,5,'BL',2.8381978302,1.1016543493,-2.8294314658,-4.9634475148
1,i_14,12,13,'BL',-6.3067470586,-1.5731201914,6.3910251892,1.6493718333
1,i_0,1,2,'BL',28.9303711224,-2.4724024906,-28.7883283102,-3.0949285410
1,i_5,3,4,'BL',-7.4912523064,1.4055232606,7.5276627255,-2.7423187587
1,i_15,13,14,'BL',12.3056801753,-0.8249162684,-12.0780065971,1.2884683580
1,i_7,6,11,'BL',24.0471086520,1.9388707304,-23.5902449183,-0.9821409281
1,i_6,4,5,'BL',-15.0388966501,6.6128751337,15.0711118829,-6.5112583955
--end of line flow
