--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',-0.0478051362
1,l_16,3,'1 ',18.3692238586
1,l_15,2,'1 ',10.6479811077
1,l_18,8,'1 ',6.3348538997
1,l_14,1,'1 ',-1.6331904239
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,7,1.0915209142,-22.1129973275
0,13,1.0778863282,-23.1338171512
0,10,1.0641068326,-26.8585733228
0,14,1.0561477834,-26.4724996028
0,5,1.0619230895,-25.1061183955
0,12,1.0841909778,-22.8297664350
0,4,1.0616990286,-25.8057688769
0,2,1.0679731924,-25.0952056072
0,6,1.1000000000,-21.6288160320
0,8,1.1000000000,-19.0438594596
0,1,1.0725607558,-24.4057984955
0,11,1.0764396831,-24.3858123344
0,3,1.0560851018,-28.0971691689
0,9,1.0659751223,-27.6974042027
1,7,1.0914220710,17.3717691508
1,13,1.0702400618,15.8432577844
1,10,1.0623061462,12.5060327803
1,14,1.0517569743,12.6881537988
1,5,1.0618153048,14.3833397558
1,12,1.0516753762,15.2630095700
1,4,1.0614906119,13.6770906752
1,2,1.0679731924,14.3925095994
1,6,1.1000000000,17.9006858672
1,8,1.1000000000,20.4418878483
1,1,1.0725607558,15.0823610745
1,11,1.0754095482,15.0634307714
1,3,1.0560851018,11.3927264044
1,9,1.0639205290,11.6294118417
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0027819553
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_12,9,14,'BL',-5.7615742841,6.6781947865,5.8485968362,-6.4930861589
0,i_5,3,4,'BL',-23.7225924264,5.6384539547,24.0849523422,-6.1488138673
0,i_11,9,10,'BL',-16.3883664891,8.6701204148,16.4845967497,-8.4144946048
0,i_9,6,13,'BL',26.6693781118,5.4442773469,-26.2643346177,-4.6466202650
0,i_4,2,5,'BL',1.2113611120,1.3460616041,-1.2051273050,-5.2510964969
0,i_13,10,11,'BL',-24.0269519428,3.9866877829,24.4567857308,-2.9804942952
0,i_10,7,8,'BL',-36.4945616713,-4.2764229241,36.4945616713,6.2725932438
0,i_18,5,6,'BL',-30.1639361101,18.7297752587,30.1639361101,-16.2825087375
0,i_7,6,11,'BL',28.6522781180,0.0366854175,-28.0078628478,1.3128007612
0,i_15,13,14,'BL',18.2317401001,-1.6664684636,-17.7386321620,2.6704550348
0,i_16,4,7,'BL',-36.4945616713,-1.9066293548,36.4945616713,4.2764229241
0,i_8,6,12,'BL',10.6322360289,1.7918832958,-10.5141456360,-1.5461042428
0,i_0,1,2,'BL',23.5374440163,-2.2903538563,-23.4440185259,-3.4725210846
0,i_14,12,13,'BL',3.1020273928,-0.0005502846,-3.0839425504,0.0169127611
0,i_17,4,9,'BL',6.9317872924,5.9632180422,-6.9317872924,-5.5758565379
0,i_3,2,4,'BL',8.3380723999,-0.8372286684,-8.3020329235,-2.9086303802
0,i_6,4,5,'BL',-29.8126257618,9.0861025035,29.9276671547,-8.7232266192
0,i_1,1,5,'BL',7.0748538104,0.6098265717,-7.0457880994,-6.0938864472
0,i_2,2,3,'BL',29.8616374799,-2.3907998502,-29.4942557455,-1.0017947034
1,i_12,9,14,'BL',-4.3928597008,6.9220565100,4.4683356691,-6.7615090132
1,i_5,3,4,'BL',-23.6058220140,5.7180811681,23.9654730931,-6.2350716545
1,i_11,9,10,'BL',-17.2014352582,8.6646544801,17.3056859497,-8.3877232185
1,i_9,6,13,'BL',36.1732117462,7.3434264756,-35.4283806994,-5.8766216309
1,i_4,2,5,'BL',1.2130136841,1.4117183904,-1.2065580929,-5.3156801219
1,i_13,10,11,'BL',-24.8480411428,3.9599163966,25.3083567349,-2.8823683678
1,i_10,7,8,'BL',-36.5029075371,-4.3366539608,36.5029075371,6.3348538997
1,i_18,5,6,'BL',-30.5077656668,18.6967942468,30.5077656668,-16.2109235208
1,i_7,6,11,'BL',29.5446517227,0.2202570941,-28.8594338518,1.2146748339
1,i_15,13,14,'BL',16.7852094417,-2.0698185300,-16.3583709949,2.9388778890
1,i_16,4,7,'BL',-36.5029075371,-1.9644508883,36.5029075371,4.3366539608
1,i_0,1,2,'BL',23.5510558784,-2.2946314523,-23.4575234812,-3.4679170866
1,i_14,12,13,'BL',-7.4121182433,-1.5466545275,7.5266341897,1.6502641933
1,i_17,4,9,'BL',7.4874331067,6.3437508649,-7.4874331067,-5.8973976431
1,i_3,2,4,'BL',8.4235328836,-0.7384872590,-8.3866477774,-3.0040536769
1,i_6,4,5,'BL',-30.1558316072,8.9450722982,30.2730554106,-8.5753124211
1,i_1,1,5,'BL',7.0751517248,0.6614410285,-7.0459160108,-6.1442360083
1,i_2,2,3,'BL',29.8408865295,-2.3870094144,-29.4740148605,-1.0077340567
--end of line flow
