--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',18.3431632035
1,l_15,2,'1 ',24.8096791042
1,l_14,1,'1 ',-2.3747388241
1,l_18,8,'1 ',3.2042618660
1,l_17,6,'1 ',-1.0547325763
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,7,1.0949863462,3.2298637314
0,14,1.0426947682,-0.4700104861
0,3,1.0667674749,1.4492630599
0,9,1.0527397922,-0.9486384835
0,12,1.0827113405,3.2437905554
0,10,1.0524495639,-0.2394765775
0,6,1.1000000000,4.5130468475
0,5,1.0685971131,4.2563360293
0,13,1.0732913274,2.8064333758
0,1,1.1000000000,8.1472741852
0,4,1.0650839854,3.0613142679
0,2,1.0903217074,6.1158071385
0,8,1.1000000000,3.3704252939
0,11,1.0711815131,2.0510707370
1,7,1.0948721426,1.9092180956
1,14,1.0377322620,-2.1414617966
1,3,1.0667674749,0.1350919920
1,9,1.0503340522,-2.4387289011
1,12,1.0475403371,0.4568628897
1,10,1.0503555755,-1.6892535191
1,6,1.1000000000,3.2372093861
1,5,1.0684712815,2.9412027445
1,13,1.0648950125,0.9428635596
1,1,1.1000000000,6.8311329472
1,4,1.0648397945,1.7396791099
1,2,1.0903217074,4.7992273217
1,8,1.1000000000,2.0505724522
1,11,1.0700024602,0.6912707093
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0030951502
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_3,2,4,'BL',36.5743952353,2.4672879105,-35.9106717169,-4.4028369268
0,i_1,1,5,'BL',37.6014688873,4.6168818216,-36.9443875392,-7.6900729074
0,i_0,1,2,'BL',70.5901706564,-7.0484998862,-69.7896923653,3.1596424771
0,i_13,10,11,'BL',-23.3771168760,0.1912084975,23.7819601705,0.7564850014
0,i_4,2,5,'BL',23.7699181410,4.1334793796,-23.4808922465,-7.2831373026
0,i_5,3,4,'BL',-15.7556798198,6.7577729118,15.9348549488,-7.7547971365
0,i_7,6,11,'BL',27.1324920110,3.5281673514,-26.5448561768,-2.2975844136
0,i_8,6,12,'BL',11.3252169029,2.1070019969,-11.1904222217,-1.8264566596
0,i_17,4,9,'BL',14.5488200784,9.6827554116,-14.5488200784,-8.2767135319
0,i_6,4,5,'BL',-53.6106673882,8.6981606112,53.9578040496,-7.6031849700
0,i_9,6,13,'BL',30.7245635699,7.3531355018,-30.1789258916,-6.2786045818
0,i_18,5,6,'BL',-2.2422077410,21.1890249668,2.2422077410,-20.3186690874
0,i_15,13,14,'BL',18.7486070417,0.7532138756,-18.2261850579,0.3104572108
0,i_11,9,10,'BL',-14.0617789285,5.7555649487,14.1280418490,-5.5795443017
0,i_10,7,8,'BL',-1.6774989199,-3.1145369207,1.6774989199,3.1329223294
0,i_2,2,3,'BL',48.6020747429,0.7804950715,-47.6638518500,-1.9234189154
0,i_16,4,7,'BL',-1.6774989199,-3.0927103146,1.6774989199,3.1145369207
0,i_12,9,14,'BL',-1.2661962325,4.5205112472,1.2914726335,-4.4667449559
0,i_14,12,13,'BL',4.5445969395,0.0966013082,-4.5056568819,-0.0613698275
1,i_3,2,4,'BL',36.6652164273,2.5912416141,-35.9976900794,-4.5143677291
1,i_1,1,5,'BL',37.6027782683,4.6778509206,-36.9452378332,-7.7484853391
1,i_0,1,2,'BL',70.6043370266,-7.0525897447,-69.8035333187,3.1647258810
1,i_13,10,11,'BL',-24.2526715837,0.1213129724,24.6901291505,0.9027269404
1,i_4,2,5,'BL',23.7755021762,4.2099635417,-23.4858926813,-7.3573743974
1,i_5,3,4,'BL',-15.6260972565,6.8568228328,15.8037568622,-7.8573822671
1,i_7,6,11,'BL',28.0832143328,3.7635213107,-27.4530251567,-2.4438263527
1,i_17,4,9,'BL',15.1208346410,10.1484714107,-15.1208346410,-8.6210824641
1,i_6,4,5,'BL',-53.9552800511,8.5163611329,54.3065718160,-7.4082790191
1,i_9,6,13,'BL',40.8760781856,9.6069701091,-39.9121755691,-7.7087449563
1,i_18,5,6,'BL',-2.5851247785,21.1267685425,2.5851247785,-20.2580850146
1,i_15,13,14,'BL',17.2354318214,0.3062285026,-16.7875266047,0.6057236037
1,i_11,9,10,'BL',-14.9299383869,5.7053141444,15.0035965567,-5.5096487766
1,i_10,7,8,'BL',-1.6867843707,-3.1851728318,1.6867843707,3.2042618660
1,i_2,2,3,'BL',48.5783183240,0.7841249008,-47.6409982635,-1.9308523995
1,i_16,4,7,'BL',-1.6867843707,-3.1625109025,1.6867843707,3.1851728318
1,i_12,9,14,'BL',0.1739777885,4.8190014558,-0.1471858197,-4.7620113488
1,i_14,12,13,'BL',-6.6458252821,-1.7298553514,6.7407680159,1.8157559201
--end of line flow
