--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',4.7115523613
1,l_14,1,'1 ',-7.3043133498
1,l_18,8,'1 ',2.6736616159
1,l_15,2,'1 ',32.2963652339
1,l_16,3,'1 ',28.9741234530
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,3,1.0607314567,-4.6415710410
0,4,1.0670601504,-1.0144342463
0,7,1.0958694654,-0.4483949079
0,13,1.0723058372,-0.3421987586
0,1,1.1000000000,4.1288795774
0,14,1.0387646457,-3.4751664524
0,6,1.1000000000,1.2820001915
0,9,1.0485778867,-4.0769587658
0,8,1.1000000000,0.0245264427
0,5,1.0706243314,0.3241968919
0,12,1.0824163766,0.0188765701
0,10,1.0483682744,-3.2831994390
0,2,1.0930266013,2.1495676357
0,11,1.0684498334,-1.1141293001
1,3,1.0607314567,-5.6490768979
1,4,1.0668176739,-2.0291640224
1,7,1.0957559485,-1.4620191092
1,13,1.0637725179,-1.8960324441
1,1,1.1000000000,3.1196055359
1,14,1.0337176006,-4.8369687475
1,6,1.1000000000,0.3134515472
1,9,1.0461429445,-5.2586345208
1,8,1.1000000000,-0.9882817470
1,5,1.0704985458,-0.6839701485
1,12,1.0468527342,-2.4497146139
1,10,1.0462508163,-4.4242404873
1,2,1.0930266013,1.1398376474
1,11,1.0672614846,-2.1658656026
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0030533066
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_10,7,8,'BL',-5.6484621167,-2.5463873817,5.6484621167,2.6026959128
0,i_8,6,12,'BL',11.3315385821,2.2296689042,-11.1960580480,-1.9476961157
0,i_16,4,7,'BL',-5.6484621167,-2.4795395815,5.6484621167,2.5463873817
0,i_5,3,4,'BL',-37.1783680274,11.2470686491,38.0868682075,-10.3771104244
0,i_13,10,11,'BL',-22.4751513884,-0.9420670131,22.8529135539,1.8263665759
0,i_0,1,2,'BL',67.5760577611,-11.1513850973,-66.8345185563,7.0669868453
0,i_15,13,14,'BL',18.3714327566,1.7898205615,-17.8649441787,-0.7585904972
0,i_18,5,6,'BL',-8.3813184726,22.2856959774,8.3813184726,-21.2030209788
0,i_11,9,10,'BL',-15.6583673456,6.2795398057,15.7407096943,-6.0608058079
0,i_17,4,9,'BL',11.0917628459,10.7147710413,-11.0917628459,-9.6239382485
0,i_6,4,5,'BL',-59.9784750426,10.7236146195,60.4137461016,-9.3506360209
0,i_4,2,5,'BL',23.6270704908,4.6185055206,-23.3396611687,-7.7908185119
0,i_3,2,4,'BL',38.0179490040,2.5445945239,-37.3047472479,-4.3472170550
0,i_1,1,5,'BL',36.6759602727,3.7902481348,-36.0548759136,-7.0227057675
0,i_14,12,13,'BL',4.3768882047,0.6491094278,-4.3399712733,-0.6157083946
0,i_9,6,13,'BL',29.9903802912,8.5198745204,-29.4589874062,-7.4733960454
0,i_2,2,3,'BL',70.4893954772,2.5920126603,-68.5244242313,0.6059686120
0,i_12,9,14,'BL',-1.9914467231,4.7641673394,2.0222707796,-4.6986004413
0,i_7,6,11,'BL',27.1028809343,5.0228645245,-26.5064730017,-3.7739117156
1,i_10,7,8,'BL',-5.6576220365,-2.6166572149,5.6576220365,2.6736616159
1,i_16,4,7,'BL',-5.6576220365,-2.5489832986,5.6576220365,2.6166572149
1,i_5,3,4,'BL',-37.0487591977,11.3410985111,37.9528753642,-10.4819984831
1,i_13,10,11,'BL',-23.3451308958,-1.0206972424,23.7544188898,1.9787952925
1,i_0,1,2,'BL',67.5908177793,-11.1556609001,-66.8489481329,7.0722715352
1,i_15,13,14,'BL',16.8605388106,1.3218067840,-16.4284981053,-0.4421554281
1,i_18,5,6,'BL',-8.7269420004,22.2274816215,8.7269420004,-21.1382068108
1,i_11,9,10,'BL',-16.5201095116,6.2227912283,16.6106892017,-5.9821755786
1,i_17,4,9,'BL',11.6659683377,11.1772205555,-11.6659683377,-9.9794744991
1,i_6,4,5,'BL',-60.3233624523,10.5463996184,60.7632561273,-9.1588398688
1,i_4,2,5,'BL',23.6314298815,4.6955231995,-23.3434286443,-7.8655630248
1,i_3,2,4,'BL',38.1080064583,2.6681865603,-37.3909125669,-4.4581197922
1,i_1,1,5,'BL',36.6764667875,3.8513475504,-36.0549949359,-7.0815430508
1,i_14,12,13,'BL',-6.8191698433,-1.2985866880,6.9163096842,1.3864751155
1,i_9,6,13,'BL',40.1502692023,10.8703278880,-39.2043744177,-9.0075657778
1,i_2,2,3,'BL',70.4674210343,2.5945406378,-68.5036577107,0.5983516287
1,i_12,9,14,'BL',-0.5554990653,5.0795422119,0.5858247063,-5.0150355104
1,i_7,6,11,'BL',28.0472227084,5.2649981006,-27.4079783376,-3.9263404321
--end of line flow
