--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',-2.5002371833
1,l_14,1,'1 ',0.5336027446
1,l_15,2,'1 ',15.8675967872
1,l_16,3,'1 ',21.1608037244
1,l_18,8,'1 ',2.2390668041
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,2,1.0877761671,8.2608972398
0,11,1.0726438120,7.4899778164
0,3,1.0674530926,4.5759908750
0,14,1.0483938958,5.2116299626
0,6,1.1000000000,10.2389265663
0,4,1.0699532464,6.5166466525
0,10,1.0575704300,5.0735535118
0,8,1.1000000000,9.6563160149
0,5,1.0713521836,7.3978962291
0,7,1.0968580420,8.2251016466
0,1,1.0878311274,8.2136508669
0,12,1.0838630245,9.0569277803
0,13,1.0757909694,8.6109631512
0,9,1.0583938401,4.2461848522
1,2,1.0877761671,0.5156518594
1,11,1.0715756685,-0.2922989148
1,3,1.0674530926,-3.1674247289
1,14,1.0438696395,-2.8580044036
1,6,1.1000000000,2.5354889721
1,4,1.0697381250,-1.2331188427
1,10,1.0556917421,-2.7925725012
1,8,1.1000000000,1.9086398484
1,5,1.0712409930,-0.3454281960
1,7,1.0967569743,0.4766298480
1,1,1.0878311274,0.4688572689
1,12,1.0511271322,-0.0451521476
1,13,1.0680151334,0.3627256901
1,9,1.0562430918,-3.6576057381
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0026437678
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_4,2,5,'BL',12.1784265495,4.3149378164,-12.0875627701,-8.0702329197
0,i_6,4,5,'BL',-38.9745363685,9.1234575972,39.1613817971,-8.5340897323
0,i_0,1,2,'BL',-1.4592342631,-2.5444462735,1.4596380150,-3.7022335880
0,i_10,7,8,'BL',-17.1079255257,-1.7427630808,17.1079255257,2.1757353255
0,i_2,2,3,'BL',38.4669952419,0.6575915658,-37.8751748353,-3.2509796379
0,i_15,13,14,'BL',19.0582435802,-0.3213306520,-18.5216423154,1.4138712955
0,i_3,2,4,'BL',21.4831219671,2.2096433185,-21.2477156634,-5.4530596218
0,i_14,12,13,'BL',4.2302431662,-0.2807338336,-4.1964424905,0.3113153974
0,i_1,1,5,'BL',8.8781374674,3.0284435999,-8.8260424674,-8.5480747037
0,i_17,4,9,'BL',8.3243600904,9.2554516390,-8.3243600904,-8.5485673649
0,i_5,3,4,'BL',-20.0047478247,5.9312543730,20.2661835053,-6.7259144894
0,i_7,6,11,'BL',29.3160947894,1.8125388218,-28.6388962510,-0.3944003792
0,i_12,9,14,'BL',-4.1336289390,5.9159913175,4.1927312954,-5.7902726871
0,i_16,4,7,'BL',-17.1079255257,-1.2287514099,17.1079255257,1.7427630808
0,i_11,9,10,'BL',-16.3678334713,7.3311246069,16.4591720932,-7.0884929330
0,i_13,10,11,'BL',-23.8672336813,2.4213174657,24.2894267183,-1.4330101335
0,i_8,6,12,'BL',10.5584007431,1.9651447721,-10.4412384411,-1.7212973352
0,i_9,6,13,'BL',28.9172651544,6.1248237158,-28.4396065613,-5.1841648355
0,i_18,5,6,'BL',-24.8684823236,23.2036370766,24.8684823236,-20.9972615370
1,i_4,2,5,'BL',12.1776640546,4.3844013460,-12.0863814954,-8.1380056802
1,i_6,4,5,'BL',-39.3154116659,8.9728432667,39.5051276322,-8.3744208440
1,i_0,1,2,'BL',-1.4449967820,-2.5491224288,1.4453928780,-3.6975808074
1,i_10,7,8,'BL',-17.1158568291,-1.8052923705,17.1158568291,2.2390668041
1,i_2,2,3,'BL',38.4490293183,0.6606524014,-37.8577497826,-3.2563191759
1,i_15,13,14,'BL',17.6323620246,-0.7442994384,-17.1656407127,1.6945618321
1,i_3,2,4,'BL',21.5663271108,2.3164620606,-21.3287132305,-5.5523975358
1,i_14,12,13,'BL',-6.2109952749,-2.0020311688,6.2961437791,2.0790702916
1,i_1,1,5,'BL',8.8771188253,3.0827251734,-8.8247363308,-8.6005834171
1,i_17,4,9,'BL',8.8689009592,9.6591768091,-8.8689009592,-8.8744326574
1,i_5,3,4,'BL',-19.8919673131,6.0187521378,20.1514468042,-6.8181104597
1,i_7,6,11,'BL',30.2011413277,2.0196233211,-29.4819717512,-0.5135922749
1,i_12,9,14,'BL',-2.7843493139,6.1823833072,2.8367296927,-6.0709632237
1,i_16,4,7,'BL',-17.1158568291,-1.2903283652,17.1158568291,1.8052923705
1,i_11,9,10,'BL',-17.1725722276,7.3041849252,17.2718666785,-7.0404194079
1,i_13,10,11,'BL',-24.6799282667,2.3732439406,25.1325022185,-1.3138182377
1,i_9,6,13,'BL',38.3468321151,8.1841988620,-37.5063112752,-6.5289509434
1,i_18,5,6,'BL',-25.2147155700,23.1642496621,25.2147155700,-20.9278209158
--end of line flow
