--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',1.2798402230
1,l_15,2,'1 ',23.5009383003
1,l_14,1,'1 ',0.3462755227
1,l_16,3,'1 ',26.9852632104
1,l_17,6,'1 ',-7.6420062136
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,3,1.0706338917,-22.4919830282
0,9,1.0574087164,-23.5903495005
0,6,1.1000000000,-16.5054432085
0,10,1.0558095369,-22.6347571887
0,1,1.1000000000,-16.9161771126
0,7,1.0983750981,-18.1595749897
0,5,1.0758531736,-18.7202125066
0,12,1.0839547460,-17.7918528225
0,13,1.0765014787,-18.2700938801
0,11,1.0722585919,-19.6606777308
0,8,1.1000000000,-16.7810277396
0,2,1.0984250108,-17.2854094056
0,4,1.0731338556,-19.8002768681
0,14,1.0460500483,-22.3890442282
1,3,1.0706338917,-6.0513865150
1,9,1.0552566139,-7.3265512339
1,6,1.1000000000,-0.0231849500
1,10,1.0539081774,-6.3300272992
1,1,1.1000000000,-0.4772286100
1,7,1.0982687898,-1.7248365030
1,5,1.0757370447,-2.2799714267
1,12,1.0505091631,-2.8655561218
1,13,1.0687380018,-2.3808200065
1,11,1.0711571802,-3.2640241587
1,8,1.1000000000,-0.3454115040
1,2,1.0984250108,-0.8469208321
1,4,1.0729075810,-3.3669294703
1,14,1.0415657925,-6.3071014831
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0029688503
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_12,9,14,'BL',-5.2793056897,7.0139783661,5.3669174045,-6.8276165107
0,i_9,6,13,'BL',30.4378776780,4.8171505549,-29.9186989454,-3.7947255587
0,i_5,3,4,'BL',-27.6291393500,9.2677857179,28.1338799649,-9.4501722561
0,i_15,13,14,'BL',22.7819861148,-0.9343370652,-22.0151508740,2.4956428660
0,i_1,1,5,'BL',18.5629749429,4.6984852434,-18.3828045526,-9.7786797260
0,i_2,2,3,'BL',55.0472506033,2.1624443346,-53.8581132030,-2.3051996821
0,i_8,6,12,'BL',11.2407350710,1.6161638865,-11.1097332143,-1.3435124753
0,i_4,2,5,'BL',19.6496739747,5.9489793988,-19.4369421832,-9.3891814929
0,i_18,5,6,'BL',-19.4711890330,25.2702703415,19.4711890330,-23.3454665296
0,i_17,4,9,'BL',13.9176453759,10.4277485697,-13.9176453759,-9.0562586328
0,i_10,7,8,'BL',-16.5012877349,-0.8146783833,16.5012877349,1.2132205256
0,i_11,9,10,'BL',-18.5789974668,9.1789772627,18.7011698597,-8.8544388411
0,i_13,10,11,'BL',-28.8418069450,4.0727076096,29.4662989876,-2.6108406186
0,i_14,12,13,'BL',4.2143541455,-0.5957066513,-4.1802924244,0.6265243989
0,i_0,1,2,'BL',12.7630973678,-4.4043222955,-12.7367725102,-1.8949630407
0,i_7,6,11,'BL',32.8943644008,0.5331794040,-32.0447851856,1.2459457372
0,i_16,4,7,'BL',-16.5012877349,-0.3415410979,16.5012877349,0.8146783833
0,i_3,2,4,'BL',31.3355501678,4.0211675039,-30.8448746086,-6.5411988672
0,i_6,4,5,'BL',-48.8162674557,9.0332562260,49.1019770311,-8.1320404791
1,i_12,9,14,'BL',-3.8413250237,7.2135565415,3.9175649807,-7.0513839384
1,i_9,6,13,'BL',40.4785759024,6.6068563253,-39.5589456689,-4.7958173153
1,i_5,3,4,'BL',-27.5030818161,9.3559006014,28.0047944888,-9.5457045928
1,i_15,13,14,'BL',21.2438518792,-1.3388676483,-20.5657984501,2.7194102937
1,i_1,1,5,'BL',18.5629844204,4.7553509644,-18.3824226546,-9.8333151586
1,i_2,2,3,'BL',55.0262011664,2.1654577550,-53.8379548610,-2.3119673070
1,i_4,2,5,'BL',19.6507878587,6.0214317548,-19.4374832706,-9.4594527226
1,i_18,5,6,'BL',-19.8382530392,25.2248891174,19.8382530392,-23.2767089824
1,i_17,4,9,'BL',14.5066312082,10.8485718042,-14.5066312082,-9.3599329837
1,i_10,7,8,'BL',-16.5101942857,-0.8806282661,16.5101942857,1.2798402230
1,i_11,9,10,'BL',-19.4279923006,9.1966866625,19.5599740418,-8.8460907136
1,i_13,10,11,'BL',-29.7006111272,4.0643594821,30.3644479722,-2.5103906480
1,i_14,12,13,'BL',-6.8953790688,-1.9392191266,6.9980885347,2.0321467385
1,i_0,1,2,'BL',12.7779321417,-4.4090754417,-12.7515447523,-1.8900189760
1,i_7,6,11,'BL',33.8423801893,0.7380566990,-32.9429341703,1.1454957666
1,i_16,4,7,'BL',-16.5101942857,-0.4066957969,16.5101942857,0.8806282661
1,i_3,2,4,'BL',31.4266661180,4.1345997047,-30.9325666352,-6.6434165323
1,i_6,4,5,'BL',-49.1795692345,8.8753376924,49.4692002267,-7.9617525928
--end of line flow
