--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',2.7405790370
1,l_15,2,'1 ',14.3231856172
1,l_14,1,'1 ',4.0492342436
1,l_17,6,'1 ',-3.0808929826
1,l_16,3,'1 ',20.9744804410
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,8,1.1000000000,4.4936082032
0,10,1.0650789399,-0.0929767984
0,4,1.0668783323,3.1693251266
0,6,1.1000000000,3.7689856774
0,11,1.0778447798,1.7400533484
0,5,1.0685290162,4.0323160544
0,2,1.0840899948,5.1703223875
0,14,1.0547728406,-0.1175543896
0,3,1.0622404139,1.2427258298
0,9,1.0678372737,-0.6972112334
0,12,1.0864029478,2.7351384795
0,7,1.0957565619,3.8908687975
0,13,1.0768905649,2.2848381245
0,1,1.0994849300,7.5918012043
1,8,1.1000000000,-0.4802818695
1,10,1.0634989011,-5.1660537935
1,4,1.0666978646,-1.8058119508
1,6,1.1000000000,-1.1649435721
1,11,1.0769597132,-3.2619849002
1,5,1.0684412933,-0.9372707756
1,2,1.0840899948,0.1986438371
1,14,1.0509415699,-5.3646084513
1,3,1.0622404139,-3.7281381141
1,9,1.0660175205,-5.8019962180
1,12,1.0586887911,-3.4267956230
1,7,1.0956720638,-1.0835332263
1,13,1.0703688884,-3.1244090223
1,1,1.0994849300,2.6206188516
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0018527243
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_9,6,13,'BL',26.7246305414,6.2481208913,-26.3128359163,-5.4371687249
0,i_15,13,14,'BL',13.8438566627,0.3314197370,-13.5612137066,0.2440521027
0,i_4,2,5,'BL',14.8578660231,2.9337055268,-14.7389380708,-6.5790134594
0,i_11,9,10,'BL',-11.2581776150,7.7987241159,11.3105026063,-7.6597281474
0,i_18,5,6,'BL',2.2998784559,21.1546980961,-2.2998784559,-20.2865159203
0,i_17,4,9,'BL',14.2544547081,7.0479291143,-14.2544547081,-5.8877686894
0,i_3,2,4,'BL',23.9249875802,1.0995369547,-23.6372194633,-4.1592947084
0,i_1,1,5,'BL',34.6138234749,4.9171947342,-34.0504977881,-8.3742714956
0,i_12,9,14,'BL',-1.4567346362,5.8658127403,1.4974555275,-5.7791939487
0,i_8,6,12,'BL',9.1601268019,1.5216705879,-9.0725423504,-1.3393829095
0,i_10,7,8,'BL',-7.1981859224,-2.6018047683,7.1981859224,2.6877512466
0,i_0,1,2,'BL',85.8583388644,-0.9073420250,-84.6757128825,-1.7759984488
0,i_5,3,4,'BL',-20.1633585975,4.6719404884,20.4220838867,-5.4622082838
0,i_6,4,5,'BL',-38.1665051244,8.2247897761,38.3452897904,-7.6608480319
0,i_16,4,7,'BL',-7.1981859224,-2.4997716855,7.1981859224,2.6018047683
0,i_14,12,13,'BL',4.6518449287,0.0468064920,-4.6113362957,-0.0101558240
0,i_2,2,3,'BL',40.7135436272,1.0935120906,-40.0454119098,-3.3235538306
0,i_13,10,11,'BL',-18.6147938724,1.1788686839,18.8664281334,-0.5898206336
0,i_7,6,11,'BL',22.0952329831,2.0754090130,-21.7086356196,-1.2658257788
1,i_9,6,13,'BL',34.8827794764,7.8358271583,-34.1839902886,-6.4596931071
1,i_15,13,14,'BL',12.6411647309,0.0133814420,-12.4027538863,0.4720321316
1,i_4,2,5,'BL',14.8509581204,2.9901673184,-14.7318562818,-6.6346200326
1,i_11,9,10,'BL',-11.9679714744,7.7653686881,12.0249446518,-7.6140252899
1,i_18,5,6,'BL',1.9882903121,21.1088119766,-1.9882903121,-20.2467683462
1,i_17,4,9,'BL',14.7040621344,7.4019644054,-14.7040621344,-6.1581746078
1,i_3,2,4,'BL',23.9905584785,1.1902017380,-23.7009550974,-4.2437362788
1,i_1,1,5,'BL',34.6071277311,4.9610662988,-34.0436988796,-8.4172560337
1,i_12,9,14,'BL',-0.2973333506,6.0957953918,0.3389957072,-6.0071739775
1,i_10,7,8,'BL',-7.2037440954,-2.6540985547,7.2037440954,2.7405790370
1,i_0,1,2,'BL',85.8742982299,-0.9118320551,-84.6912361496,-1.7701769458
1,i_5,3,4,'BL',-20.0797953447,4.7495632200,20.3370244194,-5.5434033853
1,i_6,4,5,'BL',-38.4617592762,8.0880509897,38.6429972368,-7.5163708012
1,i_16,4,7,'BL',-7.2037440954,-2.5514315183,7.2037440954,2.6540985547
1,i_14,12,13,'BL',-4.4206974216,-1.2925764175,4.4625100085,1.3304068532
1,i_2,2,3,'BL',40.7056056609,1.0948298270,-40.0377284893,-3.3259439740
1,i_13,10,11,'BL',-19.3292359179,1.1331658264,19.6012077354,-0.4965097997
1,i_7,6,11,'BL',22.8574157740,2.2261055521,-22.4434152216,-1.3591366126
--end of line flow
