--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',2.6415827658
1,l_17,6,'1 ',0.2664593570
1,l_15,2,'1 ',15.4084501543
1,l_18,8,'1 ',2.2184055765
1,l_16,3,'1 ',25.2861677688
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,3,1.0824162753,-13.1987795938
0,4,1.0700078749,-13.7132213519
0,1,1.0980308616,-10.6358440306
0,6,1.1000000000,-14.4098440466
0,14,1.0483202903,-18.1800762707
0,5,1.0704827128,-13.1616132714
0,8,1.1000000000,-10.5880122715
0,2,1.0899786718,-11.8978591650
0,7,1.0968873243,-12.0126748426
0,11,1.0733786969,-16.3063203446
0,12,1.0841381790,-15.3867888001
0,9,1.0585260014,-18.3923728196
0,10,1.0570433525,-17.9244678611
0,13,1.0774979315,-15.6552096493
1,3,1.0824162753,2.9451164756
1,4,1.0697939741,2.4259517153
1,1,1.0980308616,5.5067977199
1,6,1.1000000000,1.7650407672
1,14,1.0437504407,-2.3086963762
1,5,1.0703726997,2.9822696819
1,8,1.1000000000,5.5530104117
1,2,1.0899786718,4.2444130026
1,7,1.0967868911,4.1276598258
1,11,1.0723242128,-0.1969580999
1,12,1.0533505676,-0.3131545191
1,9,1.0562903525,-2.3836198660
1,10,1.0551228570,-1.8845894089
1,13,1.0698913299,0.0700833740
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0022208694
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_12,9,14,'BL',0.2940035784,3.8600932071,-0.2770021937,-3.8239289841
0,i_8,6,12,'BL',9.1466816633,2.4937139019,-9.0553824957,-2.3036948631
0,i_16,4,7,'BL',-17.0300798629,-1.2172600089,17.0300798629,1.7265272846
0,i_3,2,4,'BL',22.6700237567,3.1864951593,-22.4053933844,-6.3495912746
0,i_17,4,9,'BL',17.1439532522,9.7763464057,-17.1439532522,-7.9997548304
0,i_0,1,2,'BL',44.7980768411,-2.4224528126,-44.4753994320,-2.9118001651
0,i_13,10,11,'BL',-17.2693927799,-1.3771920984,17.4897870709,1.8931108244
0,i_7,6,11,'BL',21.8487395757,4.6144968375,-21.4573112986,-3.7947970658
0,i_2,2,3,'BL',13.7786537207,-1.5550301735,-13.7031301502,-3.2944831136
0,i_14,12,13,'BL',3.0274399749,0.2619294535,-3.0100837361,-0.2462261899
0,i_4,2,5,'BL',17.0291344831,4.7516023990,-16.8679148797,-8.2971630328
0,i_1,1,5,'BL',25.1573111313,5.0138459334,-24.8451570268,-9.5101980792
0,i_18,5,6,'BL',10.9209224621,22.2624135129,-10.9209224621,-21.0877893868
0,i_10,7,8,'BL',-17.0300798629,-1.7265272846,17.0300798629,2.1555031386
0,i_11,9,10,'BL',-8.8443610590,5.2309162779,8.8743363680,-5.1512899461
0,i_5,3,4,'BL',7.9476782256,4.0165752189,-7.8985575082,-5.3737909155
0,i_6,4,5,'BL',-24.1065120641,6.5619123446,24.1792932266,-6.3323382061
0,i_9,6,13,'BL',23.4781286495,7.2936688783,-23.1476956614,-6.6429431737
0,i_15,13,14,'BL',15.2186585009,1.8740815805,-14.8725003941,-1.1692904711
1,i_12,9,14,'BL',1.4496431455,4.2178004986,-1.4269822868,-4.1695978161
1,i_16,4,7,'BL',-17.0367424713,-1.2785637247,17.0367424713,1.7886987678
1,i_3,2,4,'BL',22.7381221262,3.2973493331,-22.4714087097,-6.4533468818
1,i_17,4,9,'BL',17.5799615283,10.2123473728,-17.5799615283,-8.3261918506
1,i_0,1,2,'BL',44.8099422203,-2.4260516877,-44.4870947847,-2.9076821738
1,i_13,10,11,'BL',-17.9925708483,-1.5077157731,18.2328399141,2.0701591550
1,i_7,6,11,'BL',22.6204938384,4.8516495303,-22.2003641418,-3.9718453963
1,i_2,2,3,'BL',13.7625817923,-1.5515985926,-13.6872304493,-3.2986402929
1,i_14,12,13,'BL',-6.0279425209,-2.0417654096,6.1085910962,2.1147331682
1,i_4,2,5,'BL',17.0309999142,4.8195213780,-16.8693044114,-8.3632215402
1,i_1,1,5,'BL',25.1565500993,5.0676344535,-24.8440271617,-9.5618846430
1,i_18,5,6,'BL',10.6486302836,22.2004990496,-10.6486302836,-21.0421155410
1,i_10,7,8,'BL',-17.0367424713,-1.7886987678,17.0367424713,2.2184055765
1,i_11,9,10,'BL',-9.5639923499,5.1098142533,9.5975144364,-5.0207662714
1,i_5,3,4,'BL',8.0411563451,4.1158219476,-7.9906340536,-5.4691674674
1,i_6,4,5,'BL',-24.3777658612,6.3863472525,24.4518450717,-6.1526786717
1,i_9,6,13,'BL',31.6668225628,9.7388943218,-31.0667525623,-8.5571691674
1,i_15,13,14,'BL',14.0190405695,1.4273482162,-13.7225203011,-0.8236216391
--end of line flow
