--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',3.4037042374
1,l_17,6,'1 ',-6.2321745713
1,l_15,2,'1 ',17.6668580243
1,l_16,3,'1 ',21.2408637835
1,l_18,8,'1 ',2.6800964857
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,2,1.0860594374,56.4261555871
0,9,1.0559483242,51.6839901000
0,13,1.0769813342,56.5030688784
0,5,1.0721680500,55.9710765173
0,8,1.1000000000,59.6330767696
0,14,1.0479612018,53.1352596837
0,4,1.0702178564,55.0657205156
0,6,1.1000000000,58.0019616266
0,7,1.0965255804,57.5508287333
0,10,1.0543010167,52.4391518197
0,12,1.0853071433,56.8589267538
0,11,1.0706239423,55.0919370971
0,1,1.0981514462,58.2841051197
0,3,1.0619994199,52.1413858359
1,2,1.0860594374,8.8607454268
1,9,1.0540126939,3.9668748572
1,13,1.0699243207,8.4533665573
1,5,1.0720687910,8.4078028061
1,8,1.1000000000,12.0656611435
1,14,1.0438892659,5.2602600716
1,4,1.0700206650,7.4962064327
1,6,1.1000000000,10.4779339814
1,7,1.0964326861,9.9826654970
1,10,1.0525993342,4.7578970608
1,12,1.0550471802,7.9632188480
1,11,1.0696454125,7.4918755808
1,1,1.0981514462,10.7192042259
1,3,1.0619994199,4.5772543196
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0022734495
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_5,3,4,'BL',-30.8307276486,7.1199404043,31.4320164875,-7.0401212956
0,i_10,7,8,'BL',-24.8795792140,-1.7106723284,24.8795792140,2.6218006342
0,i_9,6,13,'BL',26.8837344282,6.0968011694,-26.4682981259,-5.2786774037
0,i_17,4,9,'BL',12.3691507132,9.9977322412,-12.3691507132,-8.8444007618
0,i_3,2,4,'BL',17.0735160327,2.3114531659,-16.9207245296,-5.8001615659
0,i_12,9,14,'BL',-7.2377778467,6.6531891885,7.3479565964,-6.4188242263
0,i_7,6,11,'BL',31.0921264918,2.1623930278,-30.3296205573,-0.5656102276
0,i_18,5,6,'BL',-17.7941155005,23.3191406711,17.7941155005,-21.6806347838
0,i_2,2,3,'BL',44.5391502584,1.6727204969,-43.7416525423,-3.3659790747
0,i_11,9,10,'BL',-14.4924209121,7.6286461587,14.5689418053,-7.4253762599
0,i_14,12,13,'BL',3.8895497878,0.2330453425,-3.8610734155,-0.2072810057
0,i_16,4,7,'BL',-24.8795792140,-0.6290081143,24.8795792140,1.7106723284
0,i_15,13,14,'BL',19.1239195626,0.1479189930,-18.5849282837,0.9494878102
0,i_6,4,5,'BL',-40.4531604390,8.2085329320,40.6517540312,-7.5821077508
0,i_1,1,5,'BL',23.1498152955,4.6486916166,-22.8837252064,-9.3447343199
0,i_4,2,5,'BL',7.3763929051,4.2411940021,-7.3310695701,-8.1321027011
0,i_0,1,2,'BL',65.9709290398,-1.2896469770,-65.2709382543,-2.8707967427
0,i_13,10,11,'BL',-26.0115293915,2.7817013679,26.5166786138,-1.5992027556
0,i_8,6,12,'BL',10.0661482329,1.5743716596,-9.9607036561,-1.3549120780
1,i_5,3,4,'BL',-30.7308160352,7.1998985642,31.3291993395,-7.1272251647
1,i_10,7,8,'BL',-24.8863995626,-1.7680241034,24.8863995626,2.6800964857
1,i_9,6,13,'BL',35.8540430558,7.7534837948,-35.1183955128,-6.3047641360
1,i_17,4,9,'BL',12.8823178500,10.3716154090,-12.8823178500,-9.1240168768
1,i_3,2,4,'BL',17.1499179574,2.4088234538,-16.9954194788,-5.8916350088
1,i_12,9,14,'BL',-5.9633605646,6.8535300742,6.0577912771,-6.6526632969
1,i_7,6,11,'BL',31.9340252793,2.3412080808,-31.1292360131,-0.6558786953
1,i_18,5,6,'BL',-18.1361524881,23.2806768941,18.1361524881,-21.6218740389
1,i_2,2,3,'BL',44.5266579927,1.6747143791,-43.7295967656,-3.3698118960
1,i_11,9,10,'BL',-15.2536710574,7.6303234059,15.3369643840,-7.4090632329
1,i_14,12,13,'BL',-6.0711538683,-1.1218667354,6.1468050325,1.1903130269
1,i_16,4,7,'BL',-24.8863995626,-0.6852391099,24.8863995626,1.7680241034
1,i_15,13,14,'BL',17.7661385014,-0.2235883073,-17.2947629645,1.1833268808
1,i_6,4,5,'BL',-40.7819951299,8.0694580718,40.9835126774,-7.4338098377
1,i_1,1,5,'BL',23.1448391291,4.6981232463,-22.8785138463,-9.3926714786
1,i_4,2,5,'BL',7.3716785190,4.3045357290,-7.3260025889,-8.1939996785
1,i_0,1,2,'BL',65.9872724540,-1.2944190090,-65.2869379859,-2.8649753969
1,i_13,10,11,'BL',-26.7795519702,2.7653883408,27.3162940696,-1.5089342880
--end of line flow
