--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',27.4741315614
1,l_14,1,'1 ',-6.0371836118
1,l_16,3,'1 ',24.7776362828
1,l_18,8,'1 ',4.9602833812
1,l_17,6,'1 ',4.1094979105
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,2,1.0873522354,18.0813269106
0,5,1.0667143688,16.2442531550
0,9,1.0599686968,10.7498927158
0,3,1.0572958669,11.7466425135
0,14,1.0505203582,11.1066127451
0,1,1.1000000000,21.0302686383
0,11,1.0753510166,12.7144388579
0,7,1.0934687755,18.6124773931
0,12,1.0844062709,13.4544973106
0,13,1.0762971956,13.1726040407
0,10,1.0601179670,11.1705030302
0,8,1.1000000000,21.4198211964
0,6,1.1000000000,14.4873943422
0,4,1.0652003615,15.2459287206
1,2,1.0873522354,3.1748449819
1,5,1.0666084094,1.3394071248
1,9,1.0577979309,-4.2946846533
1,3,1.0572958669,-3.1584872923
1,14,1.0460372639,-4.0811498080
1,1,1.1000000000,6.1242188734
1,11,1.0743254409,-2.2262307456
1,7,1.0933697348,3.7041818858
1,12,1.0536021307,-2.6097616151
1,13,1.0687881469,-2.1759003983
1,10,1.0582540278,-3.8420132629
1,8,1.1000000000,6.5123431434
1,6,1.1000000000,-0.3849260472
1,4,1.0649908341,0.3359892875
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0022334878
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_1,1,5,'BL',45.6368799462,4.2184713752,-44.6837666946,-6.0597301681
0,i_9,6,13,'BL',24.7550070892,7.6835437529,-24.3877121004,-6.9602252618
0,i_5,3,4,'BL',-36.0862022285,9.7644572457,36.9326384401,-9.0457102113
0,i_18,5,6,'BL',15.3156728990,20.4640790386,-15.3156728990,-19.2071367098
0,i_17,4,9,'BL',16.4227753378,8.4140798895,-16.4227753378,-6.8468853864
0,i_8,6,12,'BL',9.4763053673,2.2280602703,-9.3800448801,-2.0277153413
0,i_6,4,5,'BL',-43.7050343365,10.4354789370,43.9425877446,-9.6861625315
0,i_2,2,3,'BL',65.1631962942,1.9977746972,-63.4672330290,0.1099006629
0,i_16,4,7,'BL',-33.4437992424,-1.2603247093,33.4437992424,3.2348295830
0,i_10,7,8,'BL',-33.4437992424,-3.2348295830,33.4437992424,4.8980326889
0,i_0,1,2,'BL',101.6666557863,-10.3036949508,-100.0030748287,9.0670890240
0,i_4,2,5,'BL',23.2316155367,3.5943008276,-22.9563317858,-6.7677741834
0,i_3,2,4,'BL',33.6113301392,1.3777980816,-33.0504480686,-3.6148216207
0,i_7,6,11,'BL',20.3947490709,4.1775896244,-20.0545495148,-3.4651692021
0,i_13,10,11,'BL',-16.4834551748,-1.1507716091,16.6827877555,1.6173871944
0,i_11,9,10,'BL',-8.6003243680,3.0861770698,8.6239624592,-3.0233849066
0,i_12,9,14,'BL',-0.6707295133,4.0273277042,0.6895881202,-3.9872129207
0,i_14,12,13,'BL',3.4853951664,0.5541940028,-3.4619960974,-0.5330234166
0,i_15,13,14,'BL',12.6740906740,1.9581310250,-12.4314116421,-1.4640272592
1,i_1,1,5,'BL',45.6340636739,4.2703069761,-44.6807309244,-6.1101035930
1,i_9,6,13,'BL',33.2411854399,9.9165673337,-32.5833402454,-8.6210647865
1,i_5,3,4,'BL',-35.9887575358,9.8521942020,36.8320906349,-9.1410816059
1,i_18,5,6,'BL',15.0307191139,20.4018061619,-15.0307191139,-19.1661503593
1,i_17,4,9,'BL',16.8755566232,8.8364187361,-16.8755566232,-7.1656424371
1,i_6,4,5,'BL',-43.9843227428,10.2669107415,44.2244415082,-9.5095024110
1,i_2,2,3,'BL',65.1499622496,1.9994039884,-63.4546784453,0.1054087861
1,i_16,4,7,'BL',-33.4504997059,-1.3191942282,33.4504997059,3.2955343628
1,i_10,7,8,'BL',-33.4504997059,-3.2955343628,33.4504997059,4.9602833812
1,i_0,1,2,'BL',101.6806394978,-10.3074905879,-100.0165944560,9.0723015786
1,i_4,2,5,'BL',23.2319160429,3.6598193845,-22.9562675344,-6.8317880023
1,i_3,2,4,'BL',33.6802195740,1.4861116326,-33.1166926790,-3.7143513584
1,i_7,6,11,'BL',21.1864699562,4.3887877748,-20.8190088460,-3.6192782483
1,i_13,10,11,'BL',-17.2286144397,-1.2597013289,17.4472470867,1.7714962406
1,i_11,9,10,'BL',-9.3417756466,2.9870972348,9.3691217241,-2.9144551868
1,i_12,9,14,'BL',0.5235030508,4.3578182557,-0.5016186285,-4.3112671575
1,i_14,12,13,'BL',-5.8946497137,-1.4735213385,5.9681217043,1.5399959966
1,i_15,13,14,'BL',11.4396010173,1.5459511365,-11.2402048933,-1.1399730224
--end of line flow
