--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',-1.9592998690
1,l_17,6,'1 ',1.6867547798
1,l_15,2,'1 ',21.0483343728
1,l_18,8,'1 ',1.6696168258
1,l_16,3,'1 ',25.5532186877
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,1,1.1000000000,-5.0567046232
0,2,1.0930854892,-6.5151067816
0,14,1.0392803107,-9.4337059781
0,6,1.1000000000,-4.7959689684
0,12,1.0826522022,-5.9867581261
0,7,1.0974659386,-8.2854903631
0,13,1.0753948069,-6.2541314843
0,10,1.0427216978,-9.9733019249
0,5,1.0741029158,-7.5577400872
0,4,1.0704591843,-8.8010976259
0,9,1.0440831039,-10.7057150794
0,8,1.1000000000,-7.8533319892
0,3,1.0668586803,-11.6378589678
0,11,1.0649427937,-7.4844365044
1,1,1.1000000000,2.7355866796
1,2,1.0930854892,1.2767468604
1,14,1.0343776317,-1.9718912313
1,6,1.1000000000,3.0362825543
1,12,1.0479307675,0.4504198864
1,7,1.0973576621,-0.4973122624
1,13,1.0670231575,1.0281272130
1,10,1.0406714960,-2.3062338728
1,5,1.0739809056,0.2357765575
1,4,1.0702278707,-1.0139561542
1,9,1.0417343853,-3.0771378534
1,8,1.1000000000,-0.0643786145
1,3,1.0668586803,-3.8438337601
1,11,1.0637853874,0.2687357719
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0029207064
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_9,6,13,'BL',26.8767627961,7.4228906827,-26.4517300841,-6.5858685907
0,i_15,13,14,'BL',18.9619408538,2.3407233263,-18.4224104016,-1.2422187457
0,i_16,4,7,'BL',-5.1691278024,-1.5086852485,5.1691278024,1.5592993283
0,i_3,2,4,'BL',28.2038671098,3.2287680666,-27.8035457817,-5.9933167976
0,i_5,3,4,'BL',-29.1337241589,9.2585410536,29.6921550359,-9.2950597822
0,i_8,6,12,'BL',10.8114692195,2.3655816118,-10.6870519537,-2.1066345713
0,i_10,7,8,'BL',-5.1691278024,-1.5592993283,5.1691278024,1.6019335582
0,i_12,9,14,'BL',-6.5442117725,5.0300536169,6.6236512101,-4.8610752900
0,i_14,12,13,'BL',3.1823695732,0.4199625409,-3.1629492520,-0.4023917741
0,i_2,2,3,'BL',53.5746471785,1.5008305352,-52.4391826416,-1.8264122296
0,i_7,6,11,'BL',30.2868300383,5.5735816063,-29.5424090710,-4.0146709895
0,i_4,2,5,'BL',14.6592302256,5.1767427406,-14.5317944639,-8.8506173124
0,i_0,1,2,'BL',50.7056448428,-6.2893750408,-50.2923156850,1.2025632182
0,i_6,4,5,'BL',-56.3197083861,9.2351753505,56.6991851620,-8.0381890561
0,i_17,4,9,'BL',6.8924111450,12.1555193636,-6.8924111450,-11.2656210358
0,i_11,9,10,'BL',-13.8354855893,6.9957831917,13.9056244488,-6.8094665107
0,i_1,1,5,'BL',24.8727341998,4.2748007617,-24.5730080350,-8.8522028753
0,i_13,10,11,'BL',-25.3925338725,-0.6707684573,25.8794529509,1.8105923132
0,i_18,5,6,'BL',-24.2373159155,24.5788735339,24.2373159155,-22.3179074006
1,i_9,6,13,'BL',36.5648584999,9.8316702378,-35.7810900012,-8.2881853955
1,i_15,13,14,'BL',17.5046448476,1.8462876827,-17.0395066862,-0.8992486436
1,i_16,4,7,'BL',-5.1778899216,-1.5753748028,5.1778899216,1.6265282584
1,i_3,2,4,'BL',28.2911331667,3.3454738351,-27.8878103934,-6.1000736559
1,i_5,3,4,'BL',-29.0104824468,9.3504029751,29.5657797348,-9.3946026716
1,i_10,7,8,'BL',-5.1778899216,-1.6265282584,5.1778899216,1.6696168258
1,i_12,9,14,'BL',-5.1759442860,5.3418904991,5.2407474946,-5.2040453921
1,i_14,12,13,'BL',-7.5046823805,-1.6866720304,7.6237066713,1.7943606745
1,i_2,2,3,'BL',53.5531484173,1.5039403959,-52.4185795642,-1.8332956275
1,i_7,6,11,'BL',31.1865041045,5.8219994607,-30.3964481278,-4.1675234261
1,i_4,2,5,'BL',14.6628535186,5.2518879406,-14.5348455265,-8.9235619638
1,i_0,1,2,'BL',50.7197757642,-6.2936082296,-50.3062128523,1.2075100929
1,i_6,4,5,'BL',-56.6554738119,9.0722234286,57.0391882112,-7.8618703683
1,i_17,4,9,'BL',7.4475786027,12.5914605875,-7.4475786027,-11.6156913382
1,i_11,9,10,'BL',-14.6485856181,6.9409356419,14.7256058880,-6.7363392003
1,i_1,1,5,'BL',24.8732068103,4.3343083607,-24.5730831996,-8.9094250508
1,i_13,10,11,'BL',-26.2125153118,-0.7438957678,26.7334920077,1.9634447498
1,i_18,5,6,'BL',-24.5741927374,24.5327216730,24.5741927374,-22.2443354802
--end of line flow
