--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',17.1163968467
1,l_18,8,'1 ',2.0738387790
1,l_15,2,'1 ',21.3819749731
1,l_14,1,'1 ',0.8895791256
1,l_17,6,'1 ',-3.8196783144
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,12,1.0820867871,-6.5672424600
0,4,1.0692046543,-6.9525644403
0,3,1.0714755429,-8.3074027675
0,7,1.0968525549,-6.2753643975
0,10,1.0553728075,-9.8597408861
0,1,1.1000000000,-3.0911124011
0,8,1.1000000000,-5.7084332339
0,9,1.0567516687,-10.5004037479
0,5,1.0716459316,-5.9533061400
0,13,1.0741033836,-6.9942423703
0,6,1.1000000000,-5.1868290863
0,14,1.0460176313,-10.1435690067
0,11,1.0715647019,-7.6578400716
0,2,1.0915051259,-4.5880493359
1,12,1.0449672677,-3.2688930342
1,4,1.0689492234,-2.0340639697
1,3,1.0714755429,-3.3795800191
1,7,1.0967329071,-1.3555081312
1,10,1.0532134908,-5.0808269161
1,1,1.1000000000,1.8336579864
1,8,1.1000000000,-0.7875776670
1,9,1.0542736661,-5.7642201195
1,5,1.0715131168,-1.0279717059
1,13,1.0653189763,-2.6689177141
1,6,1.1000000000,-0.2212209712
1,14,1.0408497322,-5.6053087601
1,11,1.0703441059,-2.7827713782
1,2,1.0915051259,0.3363562872
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0037350250
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_10,7,8,'BL',-6.7773341641,-1.9263230736,6.7773341641,1.9990079369
0,i_9,6,13,'BL',31.7517928265,6.1950443104,-31.1796473050,-5.0683111724
0,i_14,12,13,'BL',4.1088567806,-0.2032591751,-4.0769256472,0.2321492481
0,i_11,9,10,'BL',-12.3301735396,6.4485942749,12.3853256962,-6.3020882317
0,i_16,4,7,'BL',-6.7773341641,-1.8400337826,6.7773341641,1.9263230736
0,i_5,3,4,'BL',-13.1832783587,6.0404220984,13.3115140452,-7.1795308307
0,i_0,1,2,'BL',52.7493931730,-3.9865508073,-52.3036329989,-0.9921298743
0,i_2,2,3,'BL',39.0391456158,0.4121289597,-38.4344346404,-2.9878478593
0,i_8,6,12,'BL',12.1665511526,1.9921305814,-12.0121583643,-1.6707961157
0,i_4,2,5,'BL',18.2191150094,4.6289695438,-18.0390497937,-8.1270622107
0,i_12,9,14,'BL',-0.4669274000,4.4227237901,0.4894400872,-4.3748362882
0,i_6,4,5,'BL',-44.7853375525,8.4133722084,45.0278275793,-7.6484841913
0,i_15,13,14,'BL',17.9120217077,0.3582562309,-17.4364795375,0.6099657668
0,i_18,5,6,'BL',-6.7136184674,22.7818544911,6.7136184674,-21.7066051619
0,i_3,2,4,'BL',28.9035157655,2.8174890521,-28.4846017466,-5.5151905742
0,i_13,10,11,'BL',-22.1880024655,1.0161815334,22.5514261136,-0.1654468581
0,i_17,4,9,'BL',12.9735364875,9.6584604942,-12.9735364875,-8.4634368353
0,i_7,6,11,'BL',27.1351651343,3.3191886696,-26.5485386684,-2.0907194755
0,i_1,1,5,'BL',28.2788155444,4.8161587290,-27.8946137969,-9.0318698359
1,i_10,7,8,'BL',-6.7885392391,-2.0004889405,6.7885392391,2.0738387790
1,i_9,6,13,'BL',42.6957258125,8.4248652217,-41.6603398035,-6.3858669542
1,i_14,12,13,'BL',-7.9033015837,-1.8740552908,8.0367778909,1.9948195687
1,i_11,9,10,'BL',-13.2606017128,6.4081594925,13.3226789891,-6.2432575798
1,i_16,4,7,'BL',-6.7885392391,-1.9134102108,6.7885392391,2.0004889405
1,i_5,3,4,'BL',-13.0320985264,6.1386006774,13.1588030780,-7.2812677976
1,i_0,1,2,'BL',52.7611557989,-3.9900659166,-52.3151959527,-0.9880051368
1,i_2,2,3,'BL',39.0053488225,0.4178664591,-38.4016644914,-2.9979106358
1,i_4,2,5,'BL',18.2320536348,4.7078209178,-18.0512556751,-8.2031839344
1,i_12,9,14,'BL',1.0940336048,4.7215379960,-1.0671707054,-4.6643970099
1,i_6,4,5,'BL',-45.1520945459,8.2253947724,45.3981888254,-7.4491378351
1,i_15,13,14,'BL',16.2790106681,-0.0868583079,-15.8798687449,0.8995264886
1,i_18,5,6,'BL',-7.0654795523,22.7188638926,7.0654795523,-21.6395686012
1,i_3,2,4,'BL',29.0069023623,2.9442223878,-28.5844615426,-5.6302942748
1,i_13,10,11,'BL',-23.1253557583,0.9573508814,23.5216030161,-0.0297797566
1,i_17,4,9,'BL',13.6040693190,10.1366550260,-13.6040693190,-8.8212076583
1,i_7,6,11,'BL',28.1506544347,3.5497456001,-27.5187155709,-2.2263865770
1,i_1,1,5,'BL',28.2857280436,4.8796450421,-27.9009080768,-9.0921038699
--end of line flow
