--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',-1.6279388244
1,l_18,8,'1 ',2.9843199375
1,l_14,1,'1 ',0.6530224253
1,l_15,2,'1 ',19.1171815370
1,l_16,3,'1 ',22.2200408558
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,2,1.0986862266,-3.4275286949
0,1,1.1000000000,-3.1176862967
0,12,1.0851454295,-5.8501551718
0,11,1.0736537074,-7.1931310726
0,4,1.0736576115,-5.8637291226
0,9,1.0617704786,-9.6375634576
0,7,1.0969949301,-2.0894473047
0,8,1.1000000000,1.0827736772
0,14,1.0453458265,-9.2843420461
0,10,1.0590776442,-9.1369343727
0,6,1.1000000000,-4.9124641605
0,13,1.0764227680,-6.2185110775
0,3,1.0718406426,-8.4444837050
0,5,1.0748594311,-5.1011677451
1,2,1.0986862266,-46.4681371550
1,1,1.1000000000,-46.1578588446
1,12,1.0563031936,-49.9157736712
1,11,1.0726704851,-50.2623436323
1,4,1.0734623982,-48.9071712280
1,9,1.0597194706,-52.8040016272
1,7,1.0969025564,-45.1313410651
1,8,1.1000000000,-41.9583968818
1,14,1.0411130134,-52.5829792657
1,10,1.0573067811,-52.2735715314
1,6,1.1000000000,-47.9182231796
1,13,1.0693501209,-49.6547207895
1,3,1.0718406426,-51.4843400150
1,5,1.0747602279,-48.1396847080
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0018135453
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_2,2,3,'BL',53.1049560423,1.9290705609,-51.9990040791,-2.4292071391
0,i_7,6,11,'BL',25.0901701840,3.0597221706,-24.5886769303,-2.0095325712
0,i_10,7,8,'BL',-37.9082344632,-0.8217666484,37.9082344632,2.9262454786
0,i_6,4,5,'BL',-33.9548353720,7.9430916019,34.0956642232,-7.4988741544
0,i_15,13,14,'BL',17.9183159736,1.2742510724,-17.4422822390,-0.3050282307
0,i_17,4,9,'BL',13.9220582007,9.6695257143,-13.9220582007,-8.3678513472
0,i_5,3,4,'BL',-26.4201162177,9.1599678258,26.8843732030,-9.4480552497
0,i_11,9,10,'BL',-9.0519107261,6.8420238279,9.0882395125,-6.7455201358
0,i_14,12,13,'BL',4.0530862416,0.2678695669,-4.0221317506,-0.2398631227
0,i_3,2,4,'BL',30.4677932042,4.1071245046,-30.0026565236,-6.7075342277
0,i_8,6,12,'BL',8.7218583250,2.2594278724,-8.6394011276,-2.0878114402
0,i_13,10,11,'BL',-19.7622036047,0.7455665404,20.0482993654,-0.0758479205
0,i_16,4,7,'BL',-37.9082344632,1.6766075383,37.9082344632,0.8217666484
0,i_0,1,2,'BL',10.7065579085,-4.2288917485,-10.6880266956,-2.0957038841
0,i_12,9,14,'BL',0.4137409241,6.2631837141,-0.3693187524,-6.1686918031
0,i_9,6,13,'BL',24.6026252584,7.6517445455,-24.2397086651,-6.9370484818
0,i_18,5,6,'BL',-1.6578688420,24.3856987189,1.6578688420,-23.2537243816
0,i_4,2,5,'BL',22.4532231173,5.9027506104,-22.1852458918,-9.1715725244
0,i_1,1,5,'BL',20.2404065014,4.8368593437,-20.0302145290,-9.7878647780
1,i_2,2,3,'BL',53.0974385684,1.9301720664,-51.9917934713,-2.4316014792
1,i_7,6,11,'BL',25.8286919359,3.2768988331,-25.2966003231,-2.1626324424
1,i_10,7,8,'BL',-37.9136750991,-0.8787408652,37.9136750991,2.9843199375
1,i_6,4,5,'BL',-34.2291917899,7.7889576525,34.3719581726,-7.3386286357
1,i_15,13,14,'BL',16.7646514083,0.8600680995,-16.3434313548,-0.0024480035
1,i_17,4,9,'BL',14.3447375323,10.0655851195,-14.3447375323,-8.6738666651
1,i_5,3,4,'BL',-26.3380097201,9.2481194165,26.8007621541,-9.5397786615
1,i_11,9,10,'BL',-9.7352971183,6.7474393220,9.7750393024,-6.6418682889
1,i_14,12,13,'BL',-4.5863148860,-1.8199418733,4.6345200870,1.8635561027
1,i_3,2,4,'BL',30.5294896032,4.2097296163,-30.0619277524,-6.8020682293
1,i_13,10,11,'BL',-20.4490033946,0.6419146936,20.7562227582,0.0772519507
1,i_16,4,7,'BL',-37.9136750991,1.6209394959,37.9136750991,0.8787408652
1,i_0,1,2,'BL',10.7206166974,-4.2334123419,-10.7020357349,-2.0910313981
1,i_12,9,14,'BL',1.5198066478,6.5811108716,-1.4681696365,-6.4712720304
1,i_9,6,13,'BL',32.3686203535,9.8589253042,-31.7426959373,-8.6262847344
1,i_18,5,6,'BL',-1.9454851998,24.3357734065,1.9454851998,-23.2062358177
1,i_4,2,5,'BL',22.4475105920,5.9665543446,-22.1791713675,-9.2339020806
1,i_1,1,5,'BL',20.2354154389,4.8864347672,-20.0249666448,-9.8358554282
--end of line flow
