--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',1.2991526665
1,l_18,8,'1 ',2.0392508800
1,l_15,2,'1 ',22.6683807302
1,l_17,6,'1 ',-3.7310717965
1,l_16,3,'1 ',27.1952907662
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,10,1.0568028762,-2.7837194884
0,12,1.0827342204,1.5750537658
0,8,1.1000000000,3.9461855364
0,14,1.0484021843,-2.3080164309
0,4,1.0722397767,-0.4711464554
0,3,1.0688870154,-2.8890148083
0,13,1.0736151500,1.0999977031
0,2,1.0922693748,1.4075473033
0,5,1.0747330254,0.5418437976
0,6,1.1000000000,2.8542695153
0,9,1.0576432388,-3.7009517141
0,7,1.0975258583,1.9302572401
0,1,1.1000000000,2.7036133737
0,11,1.0729287826,-0.0748481982
1,10,1.0547683003,-3.6921777072
1,12,1.0475408410,-0.6800888525
1,8,1.1000000000,3.1688407742
1,14,1.0435525665,-3.4353748698
1,4,1.0720029618,-1.2511509774
1,3,1.0688870154,-3.6617004324
1,13,1.0652478429,-0.2227205455
1,2,1.0922693748,0.6325736664
1,5,1.0746100903,-0.2313721574
1,6,1.1000000000,2.1226257423
1,9,1.0553223660,-4.6504947627
1,7,1.0974142701,1.1519410985
1,1,1.1000000000,1.9291038498
1,11,1.0717660656,-0.8917980575
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0030533180
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_8,6,12,'BL',11.3879915688,2.0688035713,-11.2519105937,-1.7855810975
0,i_18,5,6,'BL',-20.3081147595,24.7279110348,20.3081147595,-22.7873890567
0,i_17,4,9,'BL',11.8553844121,10.0629619533,-11.8553844121,-8.9645649127
0,i_1,1,5,'BL',21.8231712870,4.5753947947,-21.5850448070,-9.4104159483
0,i_11,9,10,'BL',-18.1435921240,8.0514812784,18.2556389212,-7.7538404621
0,i_2,2,3,'BL',45.0975945082,1.2411411059,-44.2907073507,-2.9566084342
0,i_0,1,2,'BL',45.8841481073,-3.3317753828,-45.5469402923,-1.9827376440
0,i_6,4,5,'BL',-45.6673720250,8.5569577438,45.9180382630,-7.7662794453
0,i_14,12,13,'BL',4.6379482402,-0.1664346616,-4.5973598327,0.2031575065
0,i_7,6,11,'BL',30.8145236626,1.0319973723,-30.0683420305,0.5306002969
0,i_13,10,11,'BL',-26.5616365374,3.1337242945,27.0871738865,-1.9034993262
0,i_5,3,4,'BL',-25.0172807708,7.5718379445,25.4247913974,-7.9987655375
0,i_3,2,4,'BL',23.4371730449,3.0125946028,-23.1572487757,-6.1459115716
0,i_4,2,5,'BL',12.4932772991,4.9371062890,-12.3953747650,-8.7004088161
0,i_16,4,7,'BL',-24.1094684043,-0.1060737637,24.1094684043,1.1173577417
0,i_10,7,8,'BL',-24.1094684043,-1.1173577417,24.1094684043,1.9692020069
0,i_9,6,13,'BL',31.2291122799,6.8463854774,-30.6703194759,-5.7459480084
0,i_12,9,14,'BL',-6.7262339297,6.8981142934,6.8317143650,-6.6737432755
0,i_15,13,14,'BL',18.7937693171,-0.8805828957,-18.2688395311,1.9493599632
1,i_18,5,6,'BL',-20.6706403648,24.6796005880,20.6706403648,-22.7149974583
1,i_17,4,9,'BL',12.4468547471,10.5089522629,-12.4468547471,-9.3030555093
1,i_1,1,5,'BL',21.8234768399,4.6354561439,-21.5849377182,-9.4681238760
1,i_11,9,10,'BL',-19.0082901888,8.0318938530,19.1299160650,-7.7088071966
1,i_2,2,3,'BL',45.0749664485,1.2447481843,-44.2688719866,-2.9635551584
1,i_0,1,2,'BL',45.8991091443,-3.3363034774,-45.5616811922,-1.9775374382
1,i_6,4,5,'BL',-46.0286109852,8.3885821589,46.2829045221,-7.5864622460
1,i_14,12,13,'BL',-6.6139623535,-1.9520157591,6.7097011681,2.0386365915
1,i_7,6,11,'BL',31.7729406137,1.2622712380,-30.9792586226,0.3997981243
1,i_13,10,11,'BL',-27.4359136812,3.0886910290,27.9980904786,-1.7726971536
1,i_5,3,4,'BL',-24.8887402235,7.6657410055,25.2934081696,-8.0995990031
1,i_3,2,4,'BL',23.5295613822,3.1306837800,-23.2469369687,-6.2549446078
1,i_4,2,5,'BL',12.4962709634,5.0130290420,-12.3978225076,-8.7742076410
1,i_16,4,7,'BL',-24.1186283583,-0.1738219866,24.1186283583,1.1863547304
1,i_10,7,8,'BL',-24.1186283583,-1.1863547304,24.1186283583,2.0392508800
1,i_9,6,13,'BL',41.4144773648,9.0682926377,-40.4318530804,-7.1331986767
1,i_12,9,14,'BL',-5.2700655299,7.1630177533,5.3603242876,-6.9710252830
1,i_15,13,14,'BL',17.2482419208,-1.3288113124,-16.7974494536,2.2466419707
--end of line flow
