--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',23.8322127588
1,l_15,2,'1 ',21.1609440317
1,l_18,8,'1 ',1.8340962101
1,l_17,6,'1 ',-0.1087087300
1,l_14,1,'1 ',0.7332054944
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,1,1.1000000000,29.0334612240
0,13,1.0742644096,25.0524739479
0,11,1.0725330747,24.0430893711
0,9,1.0578356172,20.8272210638
0,12,1.0828302663,25.4587948786
0,2,1.0905331668,27.3637425773
0,3,1.0691662621,23.3851812853
0,8,1.1000000000,25.8078714267
0,4,1.0698151610,25.2155180655
0,6,1.1000000000,26.6851910992
0,10,1.0555993587,21.6805850842
0,14,1.0447724131,21.6028593771
0,5,1.0718236605,26.1359744290
0,7,1.0971875623,25.5378605865
1,1,1.1000000000,1.1406132742
1,13,1.0659496778,-3.3671273423
1,11,1.0713624276,-3.8918884610
1,9,1.0554554090,-7.2350567086
1,12,1.0481566491,-3.8421397664
1,2,1.0905331668,-0.5295390600
1,3,1.0691662621,-4.5058224152
1,8,1.1000000000,-2.0882889322
1,4,1.0695749871,-2.6824071742
1,6,1.1000000000,-1.1678763140
1,10,1.0535236920,-6.3420378746
1,14,1.0398654990,-6.6328843816
1,5,1.0716997470,-1.7557143047
1,7,1.0970751968,-2.3590711635
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0029642601
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_8,6,12,'BL',11.0203038338,2.1947933504,-10.8920465231,-1.9278541049
0,i_12,9,14,'BL',-2.5495752290,6.3469031424,2.6027170192,-6.2338634347
0,i_6,4,5,'BL',-41.1168109270,8.2838619193,41.3220133892,-7.6365903327
0,i_4,2,5,'BL',16.5247841793,4.4187796626,-16.3739360559,-8.0030680699
0,i_14,12,13,'BL',4.1736529515,0.0421179331,-4.1408289780,-0.0124200523
0,i_18,5,6,'BL',-4.8114893955,22.8507985928,4.8114893955,-21.8116846855
0,i_16,4,7,'BL',-3.2288500294,-1.7207830998,3.2288500294,1.7441782048
0,i_13,10,11,'BL',-23.7296090689,1.3314112537,24.1455451116,-0.3577508548
0,i_5,3,4,'BL',-18.5399285948,6.4679669230,18.7718091814,-7.3402142212
0,i_11,9,10,'BL',-16.2670776717,9.0698263462,16.3656842787,-8.8078880159
0,i_2,2,3,'BL',41.6480483401,0.6994355954,-40.9583780374,-2.9017482191
0,i_10,7,8,'BL',-3.2288500294,-1.7441782048,3.2288500294,1.7638848217
0,i_1,1,5,'BL',28.5738365081,4.6735075219,-28.1831289324,-8.8632992269
0,i_9,6,13,'BL',29.4689917144,7.1353099125,-28.9663970693,-6.1455441618
0,i_15,13,14,'BL',19.4671963395,0.1265827003,-18.9058626642,1.0163140743
0,i_7,6,11,'BL',28.4175197457,2.2507841674,-27.7796454807,-0.9149956718
0,i_17,4,9,'BL',16.0670626392,9.7874351146,-16.0670626392,-8.1724056275
0,i_0,1,2,'BL',58.8103222837,-3.9964598288,-58.2562629300,-0.6459684309
0,i_3,2,4,'BL',26.3203800897,2.5828572977,-25.9715211079,-5.4917375509
1,i_12,9,14,'BL',-1.1421712488,6.6450490519,1.1940442219,-6.5347082882
1,i_6,4,5,'BL',-41.4558850907,8.1018634567,41.6640990167,-7.4450927884
1,i_4,2,5,'BL',16.5292721370,4.4946073297,-16.3778799016,-8.0767749438
1,i_14,12,13,'BL',-6.7183935716,-1.8857361718,6.8163081848,1.9743255838
1,i_18,5,6,'BL',-5.1492300177,22.7908505695,5.1492300177,-21.7502993703
1,i_16,4,7,'BL',-3.2377428098,-1.7900070340,3.2377428098,1.8139381174
1,i_13,10,11,'BL',-24.5859930289,1.2553471933,25.0340118325,-0.2065845900
1,i_5,3,4,'BL',-18.4156871035,6.5667779598,18.6457159493,-7.4434226180
1,i_11,9,10,'BL',-17.1152113163,9.0156784020,17.2220682387,-8.7318239556
1,i_2,2,3,'BL',41.6255701142,0.7031468296,-40.9366297169,-2.9085345623
1,i_10,7,8,'BL',-3.2377428098,-1.8139381174,3.2377428098,1.8340962101
1,i_1,1,5,'BL',28.5746725337,4.7337987342,-28.1835300920,-8.9211418740
1,i_9,6,13,'BL',39.3348108171,9.4412007385,-38.4402202963,-7.6794727392
1,i_15,13,14,'BL',17.9838824036,-0.3262343584,-17.4971898668,1.3171589278
1,i_7,6,11,'BL',29.3491289349,2.4922961571,-28.6681122016,-1.0661619367
1,i_17,4,9,'BL',16.6263329748,10.2538718844,-16.6263329748,-8.5119749724
1,i_0,1,2,'BL',58.8243075588,-4.0005932399,-58.2699836441,-0.6410272759
1,i_3,2,4,'BL',26.4084120146,2.7042987060,-26.0567312673,-5.6037435270
--end of line flow
