--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',26.6629024066
1,l_14,1,'1 ',1.8501780522
1,l_15,2,'1 ',21.6350520602
1,l_18,8,'1 ',3.8327703037
1,l_17,6,'1 ',0.3168521876
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,11,1.0689776189,-0.2556769180
0,3,1.0616559358,-1.9982799316
0,14,1.0420974291,-2.8699040584
0,8,1.1000000000,6.9581038803
0,12,1.0852990085,1.3054886656
0,10,1.0491116647,-2.6956306696
0,2,1.0900804161,3.3787447922
0,5,1.0710599954,2.0317767361
0,6,1.1000000000,2.3338587408
0,9,1.0505811381,-3.3957147568
0,1,1.1000000000,5.0307059737
0,7,1.0951588107,4.2739219520
0,13,1.0760139108,0.8053200989
0,4,1.0685209282,1.0651300373
1,11,1.0679783110,-31.3246839501
1,3,1.0616559358,-33.0355297582
1,14,1.0379465485,-34.1933940525
1,8,1.1000000000,-24.0809889654
1,12,1.0560305368,-30.8897940577
1,10,1.0473388314,-33.8393437605
1,2,1.0900804161,-27.6592608748
1,5,1.0709595860,-29.0039703984
1,6,1.1000000000,-28.6660287213
1,9,1.0485474738,-34.5726885953
1,1,1.1000000000,-26.0067978922
1,7,1.0950644381,-26.7658841307
1,13,1.0690086007,-30.6675624961
1,4,1.0683210094,-29.9761302106
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0019144584
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_17,4,9,'BL',16.2005263300,10.9652178850,-16.2005263300,-9.2147770382
0,i_12,9,14,'BL',-1.7675464361,4.1444096477,1.7909253366,-4.0946795940
0,i_0,1,2,'BL',58.4646700353,-3.0601239666,-57.9172033508,-1.5998262769
0,i_2,2,3,'BL',55.9535128127,2.3403093894,-54.7057882248,-2.1543168165
0,i_16,4,7,'BL',-32.0270976657,-0.4621738060,32.0270976657,2.2595244561
0,i_14,12,13,'BL',4.8150125814,-0.2580159904,-4.7714035606,0.2974717710
0,i_9,6,13,'BL',27.5750418390,6.5747929141,-27.1357124449,-5.7096161919
0,i_11,9,10,'BL',-13.3244838175,6.9403490727,13.3895351019,-6.7675470126
0,i_13,10,11,'BL',-24.7502039524,0.2513065434,25.2069107655,0.8177937320
0,i_4,2,5,'BL',17.8368463153,4.2120111112,-17.6655386645,-7.7292933612
0,i_18,5,6,'BL',-2.6445743073,22.4448077618,2.6445743073,-21.4701350492
0,i_7,6,11,'BL',28.6566711681,4.0760543516,-27.9990178568,-2.6988460591
0,i_8,6,12,'BL',9.3018888703,1.9273788488,-9.2102244961,-1.7365997131
0,i_15,13,14,'BL',21.0508604089,0.8098458723,-20.3956745595,0.5241375088
0,i_1,1,5,'BL',29.5351548337,4.8648829090,-29.1181797712,-8.9422147459
0,i_10,7,8,'BL',-32.0270976657,-2.2595244561,32.0270976657,3.7735035925
0,i_5,3,4,'BL',-31.8545322418,8.4457639915,32.5077678253,-8.2305713286
0,i_6,4,5,'BL',-43.4069138955,7.7051738149,43.6341652191,-6.9883533478
0,i_3,2,4,'BL',28.1777188041,2.5608025142,-27.7791764608,-5.3125481324
1,i_17,4,9,'BL',16.6569281854,11.3630482376,-16.6569281854,-9.5026882952
1,i_12,9,14,'BL',-0.5960701928,4.4001351794,0.6188648523,-4.3516478847
1,i_0,1,2,'BL',58.4808435995,-3.0649095768,-57.9330741765,-1.5941163611
1,i_2,2,3,'BL',55.9460821581,2.3413505174,-54.6986823091,-2.1567260772
1,i_16,4,7,'BL',-32.0328410408,-0.5188336750,32.0328410408,2.3175992882
1,i_14,12,13,'BL',-4.3952119147,-1.9946157035,4.4413617882,2.0363703510
1,i_9,6,13,'BL',35.8508196473,8.5151249958,-35.1085244621,-7.0533140542
1,i_11,9,10,'BL',-14.0395582054,6.8914252593,14.1103276176,-6.7034335796
1,i_13,10,11,'BL',-25.4709964681,0.1871931104,25.9563067599,0.9488647536
1,i_4,2,5,'BL',17.8300454136,4.2765477741,-17.6584642964,-7.7926229883
1,i_18,5,6,'BL',-2.9582267005,22.3953343227,2.9582267005,-21.4213588363
1,i_7,6,11,'BL',29.4433150983,4.2851272098,-28.7484138511,-2.8299170808
1,i_15,13,14,'BL',19.8109070772,0.4146451546,-19.2236140752,0.7811057995
1,i_1,1,5,'BL',29.5285535613,4.9150876290,-29.1113998944,-8.9911530793
1,i_10,7,8,'BL',-32.0328410408,-2.3175992882,32.0328410408,3.8327703037
1,i_5,3,4,'BL',-31.7673510833,8.5330479450,32.4182449850,-8.3235585651
1,i_6,4,5,'BL',-43.7038738129,7.5523850670,43.9339633674,-6.8266119481
1,i_3,2,4,'BL',28.2441958949,2.6639061601,-27.8433521834,-5.4079426316
--end of line flow
