--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',2.5324785254
1,l_17,6,'1 ',1.7693482280
1,l_18,8,'1 ',7.5216760030
1,l_16,3,'1 ',21.2224048424
1,l_15,2,'1 ',9.6263983036
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,5,1.0553241817,-2.6086313957
0,1,1.0837973696,1.6045589187
0,4,1.0535815925,-3.5160188799
0,11,1.0784807854,-5.4033215527
0,12,1.0842961681,-4.5432097138
0,14,1.0578202915,-7.0481956417
0,7,1.0887588881,-1.0180482670
0,13,1.0794059519,-4.7376147026
0,9,1.0687654037,-7.3598910505
0,6,1.0999999592,-3.4514107109
0,2,1.0665753098,-1.1544616882
0,10,1.0667656503,-6.9896014765
0,3,1.0340592910,-7.2840935346
0,8,1.1000000000,1.0424253642
1,5,1.0552167208,-0.1690233009
1,1,1.0837973696,4.0433257850
1,4,1.0533707690,-1.0818740594
1,11,1.0774596269,-3.0031975083
1,12,1.0527039480,-3.3488604543
1,14,1.0533278610,-4.9085207333
1,7,1.0886595286,1.4176299077
1,13,1.0717994687,-2.7674149165
1,9,1.0666273604,-5.0685204445
1,6,1.0999999592,-0.9786237971
1,2,1.0665753098,1.2839197485
1,10,1.0649236244,-4.6649951999
1,3,1.0340592910,-4.8435770666
1,8,1.1000000000,3.4789553480
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0026232001
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_16,4,7,'BL',-24.4451419874,-5.3794648961,24.4451419874,6.5083779844
0,i_18,5,6,'BL',7.2694777500,14.5757473177,-7.2694777500,-14.0542790661
0,i_12,9,14,'BL',-0.1948230670,4.4241905644,0.2166465380,-4.3777691177
0,i_4,2,5,'BL',16.9391424963,-0.4061169090,-16.7942752690,-3.0463090056
0,i_0,1,2,'BL',94.9279809562,-0.3831653038,-93.4399844530,-1.1779688026
0,i_5,3,4,'BL',-39.8328249975,4.4959931384,40.8439735200,-3.3099932607
0,i_9,6,13,'BL',23.3778385695,5.7481592444,-23.0609938938,-5.1241931689
0,i_2,2,3,'BL',60.9661129441,3.7410813629,-59.4147465045,-2.0381639496
0,i_17,4,9,'BL',14.0065730876,4.0909373530,-14.0065730876,-3.0892258689
0,i_1,1,5,'BL',39.0692183181,2.8676921567,-38.3518569159,-5.5356506878
0,i_13,10,11,'BL',-16.2901980009,0.6818877869,16.4818677333,-0.2332100843
0,i_7,6,11,'BL',21.3053348064,2.0732179608,-20.9456545344,-1.3200024829
0,i_14,12,13,'BL',2.2157616101,0.2071839481,-2.2064555505,-0.1987641799
0,i_15,13,14,'BL',13.4113863389,0.3746746807,-13.1473067472,0.1630014412
0,i_8,6,12,'BL',9.8869099215,2.0869818273,-9.7831916694,-1.8711152089
0,i_3,2,4,'BL',26.1856004498,-2.1626215349,-25.8353118681,-0.5954659562
0,i_11,9,10,'BL',-6.7942692664,5.1151885321,6.8144111818,-5.0616836010
0,i_6,4,5,'BL',-39.1557637653,8.3846218816,39.3486082834,-7.7763310458
0,i_10,7,8,'BL',-24.4451419874,-6.5083779844,24.4451419874,7.4593058754
1,i_16,4,7,'BL',-24.4530115878,-5.4376347061,24.4530115878,6.5688276772
1,i_18,5,6,'BL',6.9825988530,14.5183372896,-6.9825988530,-14.0080848435
1,i_12,9,14,'BL',1.0703229077,4.7449897840,-1.0438879602,-4.6887591089
1,i_4,2,5,'BL',16.9445082167,-0.3423308062,-16.7994481825,-3.1091140641
1,i_0,1,2,'BL',94.9400230660,-0.3864768281,-93.4516522958,-1.1735145862
1,i_5,3,4,'BL',-39.7226744802,4.5753752148,40.7288506856,-3.4017819253
1,i_9,6,13,'BL',32.2505074720,7.8769943785,-31.6479726234,-6.6904151688
1,i_2,2,3,'BL',60.9460748539,3.7436212964,-59.3957044145,-2.0449000563
1,i_17,4,9,'BL',14.4940392549,4.5000127890,-14.4940392549,-3.4159717806
1,i_1,1,5,'BL',39.0702922091,2.9189553535,-38.3526194873,-5.5850708038
1,i_13,10,11,'BL',-17.0708531319,0.5931851568,17.2819472701,-0.0990370625
1,i_7,6,11,'BL',22.1343459341,2.2679773526,-21.7457340713,-1.4541755047
1,i_14,12,13,'BL',-7.5674300593,-1.6639312608,7.6871108973,1.7722139237
1,i_15,13,14,'BL',12.1047986207,-0.0300814229,-11.8867722489,0.4739914324
1,i_3,2,4,'BL',26.2617814653,-2.0583647090,-25.9094707156,-0.6928318964
1,i_11,9,10,'BL',-7.5719490739,5.0343895432,7.5950663128,-4.9729809708
1,i_6,4,5,'BL',-39.4460786502,8.2228708603,39.6414226653,-7.6066958431
1,i_10,7,8,'BL',-24.4530115878,-6.5688276772,24.4530115878,7.5216760030
--end of line flow
