--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_17,6,'1 ',-3.1286119941
1,l_14,1,'1 ',0.6494696446
1,l_16,3,'1 ',34.3490725610
1,l_15,2,'1 ',16.7521628799
1,l_18,8,'1 ',5.6441867939
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,7,1.0929071899,-40.9615591281
0,12,1.0859144391,-42.6027892155
0,13,1.0786308868,-42.9470029026
0,10,1.0612832805,-46.6528998839
0,9,1.0633473603,-47.4780999042
0,2,1.0849240371,-42.6809563689
0,6,1.1000000000,-41.6179951263
0,5,1.0687105968,-43.7888528837
0,8,1.0999999615,-37.6193719460
0,3,1.0495350356,-49.6698309849
0,14,1.0547218470,-46.1254135416
0,11,1.0749158899,-44.2123341487
0,1,1.0937833749,-41.1949852647
0,4,1.0654053392,-44.9690097946
1,7,1.0928210866,0.8050120494
1,12,1.0578100618,-1.9413779302
1,13,1.0719224383,-1.5916897918
1,10,1.0596712373,-4.9836080766
1,9,1.0615005486,-5.8404627844
1,2,1.0849240371,-0.9125434322
1,6,1.1000000000,0.1883812301
1,5,1.0686185488,-2.0182025960
1,8,1.0999999615,4.1479262678
1,3,1.0495350356,-7.9007559982
1,14,1.0508327055,-4.6220658641
1,11,1.0740025768,-2.4723687749
1,1,1.0937833749,0.5739281350
1,4,1.0652236836,-3.2039954725
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0018366977
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_12,9,14,'BL',-6.6690265894,6.6430435151,6.7686341387,-6.4311649124
0,i_14,12,13,'BL',3.5585644095,0.0344563811,-3.5348378813,-0.0129895222
0,i_11,9,10,'BL',-15.9445573701,8.7382716732,16.0375606379,-8.4912180383
0,i_5,3,4,'BL',-49.0105606727,10.9578078601,50.5545591306,-8.4484837991
0,i_18,5,6,'BL',-18.9586191555,21.6008555315,18.9586191555,-20.0176386097
0,i_8,6,12,'BL',8.9115407992,1.8440945339,-8.8274172901,-1.6690100424
0,i_9,6,13,'BL',24.1773825460,6.0120184155,-23.8380548074,-5.3437761704
0,i_16,4,7,'BL',-39.7882760947,-0.4498176478,39.7882760947,3.2398503303
0,i_17,4,9,'BL',9.2024970891,7.3463242461,-9.2024970891,-6.7084031830
0,i_2,2,3,'BL',71.5703552257,4.1020314420,-69.5076374428,-0.4018506856
0,i_13,10,11,'BL',-23.9153999209,3.2224189939,24.3396142720,-2.2293799881
0,i_3,2,4,'BL',27.3337645582,1.5233810001,-26.9587812039,-4.3162422788
0,i_0,1,2,'BL',52.0128389452,-3.1428801364,-51.5745986685,-1.7849423326
0,i_10,7,8,'BL',-39.7882760947,-3.2398503303,39.7882760947,5.5900045786
0,i_7,6,11,'BL',27.5431747386,1.3292727676,-26.9462973065,-0.0793367680
0,i_6,4,5,'BL',-52.8476526354,8.9652066282,53.1855811508,-7.8992763075
0,i_4,2,5,'BL',14.6733078239,3.3988465285,-14.5548429126,-7.0493692560
0,i_1,1,5,'BL',25.3400217644,3.7511051969,-25.0297917452,-8.2231726426
0,i_15,13,14,'BL',17.7334163345,-0.7966999166,-17.2704673879,1.7392816306
1,i_12,9,14,'BL',-5.5360079340,6.8839921450,5.6240394833,-6.6967372455
1,i_14,12,13,'BL',-5.2688528806,-1.6345536613,5.3289368156,1.6889153167
1,i_11,9,10,'BL',-16.6291606069,8.7069042371,16.7286287802,-8.4426772440
1,i_5,3,4,'BL',-48.9261664761,11.0320459527,50.4661936145,-8.5326102069
1,i_18,5,6,'BL',-19.2688106598,21.5659791697,19.2688106598,-19.9626441188
1,i_9,6,13,'BL',32.1000054694,7.8453770666,-31.5030370923,-6.6697599767
1,i_16,4,7,'BL',-39.7937861877,-0.5006655326,39.7937861877,3.2925080502
1,i_17,4,9,'BL',9.6509125076,7.6936323236,-9.6509125076,-6.9925440605
1,i_2,2,3,'BL',71.5639286617,4.1027482126,-69.5015742784,-0.4040984670
1,i_13,10,11,'BL',-24.6064680632,3.1738781996,25.0562488287,-2.1209910376
1,i_3,2,4,'BL',27.3984454035,1.6153037799,-27.0213902806,-4.4012208347
1,i_0,1,2,'BL',52.0287885974,-3.1476497894,-51.5902795285,-1.7793520172
1,i_10,7,8,'BL',-39.7937861877,-3.2925080502,39.7937861877,5.6441867939
1,i_7,6,11,'BL',28.2930731455,1.5073203809,-27.6629318633,-0.1877257185
1,i_6,4,5,'BL',-53.1395833681,8.8378513993,53.4810006602,-7.7609164052
1,i_4,2,5,'BL',14.6656316585,3.4582803390,-14.5469614153,-7.1078357912
1,i_1,1,5,'BL',25.3332556007,3.7971194340,-25.0229012478,-8.2681896478
1,i_15,13,14,'BL',16.5346239225,-1.1726209492,-16.1258727325,2.0048539637
--end of line flow
