--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',21.8376991103
1,l_14,1,'1 ',0.3507100403
1,l_17,6,'1 ',4.5105738059
1,l_18,8,'1 ',1.6614737447
1,l_16,3,'1 ',22.2604592753
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,3,1.0771931085,13.0668626276
0,1,1.1000000000,17.4038798944
0,2,1.0979354099,16.9360070988
0,9,1.0483092166,10.4221473103
0,14,1.0366053150,10.6857423640
0,4,1.0717124105,14.2823268504
0,8,1.1000000000,17.1849410309
0,6,1.1000000000,15.1395687358
0,7,1.0977395049,15.8606002014
0,5,1.0737242498,15.1548198972
0,10,1.0481025528,11.1212569680
0,13,1.0741312436,13.7800751256
0,11,1.0688591710,13.0617221220
0,12,1.0833492235,14.0634751747
1,3,1.0771931085,-17.2532841707
1,1,1.1000000000,-12.9174326370
1,2,1.0979354099,-13.3857174663
1,9,1.0459516439,-20.0466471309
1,14,1.0317937422,-19.9374523148
1,4,1.0714852949,-16.0430150188
1,8,1.1000000000,-13.1384546311
1,6,1.1000000000,-15.1454519553
1,7,1.0976329005,-14.4635306449
1,5,1.0736069231,-15.1650973225
1,10,1.0460667550,-19.3123487955
1,13,1.0661319163,-17.0016091301
1,11,1.0677333811,-17.2947975533
1,12,1.0506756835,-17.4581241920
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0024180528
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_12,9,14,'BL',0.2344571515,4.4318328228,-0.2116756983,-4.3833736197
0,i_7,6,11,'BL',24.3008474326,6.0065531757,-23.8089845799,-4.9765308405
0,i_14,12,13,'BL',3.7853341042,0.8194746863,-3.7570984519,-0.7939281437
0,i_4,2,5,'BL',23.6508289640,5.7836291375,-23.3573139031,-8.9674060709
0,i_9,6,13,'BL',26.0288884904,8.8816396179,-25.6153763347,-8.0673050975
0,i_13,10,11,'BL',-20.6730109892,-2.1608990051,20.9957101738,2.9163022030
0,i_11,9,10,'BL',-13.7795828620,5.5405010542,13.8434296847,-5.3708985230
0,i_5,3,4,'BL',-11.1886144964,7.2448762410,11.2977535761,-8.4440239434
0,i_6,4,5,'BL',-39.1945270104,7.6223537523,39.3798365809,-7.0378304553
0,i_0,1,2,'BL',16.2080799094,-4.5968170671,-16.1656891823,-1.6505779003
0,i_2,2,3,'BL',41.0526918053,0.4810538049,-40.3919405082,-2.8784103756
0,i_1,1,5,'BL',22.6877892323,4.8941561980,-22.4302828848,-9.6438442293
0,i_10,7,8,'BL',-15.8433784221,-1.2255945103,15.8433784221,1.5947172180
0,i_15,13,14,'BL',18.6814264676,2.8731119847,-18.1521575380,-1.7955002554
0,i_16,4,7,'BL',-15.8433784221,-0.7873830960,15.8433784221,1.2255945103
0,i_8,6,12,'BL',9.9348667323,2.4686605753,-9.8284166546,-2.2471082657
0,i_3,2,4,'BL',32.9373906290,4.1400675538,-32.3959553206,-6.4990703754
0,i_17,4,9,'BL',14.0341072309,11.9447809557,-14.0341072309,-10.4005313178
0,i_18,5,6,'BL',0.1338489004,23.8004454410,-0.1338489004,-22.7248097251
1,i_12,9,14,'BL',1.4860118594,4.7790408989,-1.4569100326,-4.7171374143
1,i_7,6,11,'BL',25.1346215335,6.2577802748,-24.6079856813,-5.1549389293
1,i_14,12,13,'BL',-6.0430825504,-1.4276335794,6.1202440628,1.4974463763
1,i_4,2,5,'BL',23.6511527517,5.8569069225,-23.3570830816,-9.0385546654
1,i_9,6,13,'BL',34.9174368024,11.3397975654,-34.1805922794,-9.8887206794
1,i_13,10,11,'BL',-21.4459530901,-2.2783058479,21.7947112752,3.0947102917
1,i_11,9,10,'BL',-14.5462440709,5.4397787564,14.6163717856,-5.2534916802
1,i_5,3,4,'BL',-11.0848140837,7.3459231069,11.1935560985,-8.5457727181
1,i_6,4,5,'BL',-39.4964289845,7.4436420265,39.6842665208,-6.8511447490
1,i_0,1,2,'BL',16.2213712273,-4.6010504698,-16.1789095595,-1.6461279051
1,i_2,2,3,'BL',41.0369043507,0.4836912508,-40.3766518204,-2.8831491379
1,i_1,1,5,'BL',22.6865881784,4.9517605101,-22.4286997807,-9.6992516377
1,i_10,7,8,'BL',-15.8506325805,-1.2916998856,15.8506325805,1.6614737447
1,i_15,13,14,'BL',17.3692998976,2.4031530466,-16.9069232037,-1.4617364609
1,i_16,4,7,'BL',-15.8506325805,-0.8527154439,15.8506325805,1.2916998856
1,i_3,2,4,'BL',33.0120176763,4.2586962407,-32.4674952094,-6.6075043847
1,i_17,4,9,'BL',14.5190007298,12.3990078136,-14.5190007298,-10.7408271706
1,i_18,5,6,'BL',-0.1723949651,23.7403157376,0.1723949651,-22.6698516372
--end of line flow
