--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',28.1506958296
1,l_18,8,'1 ',2.9572416672
1,l_15,2,'1 ',28.9380869137
1,l_14,1,'1 ',-3.1710497746
1,l_17,6,'1 ',2.4779542347
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,9,1.0343868974,-7.4177325108
0,3,1.0646529329,-6.5315697816
0,2,1.0901230616,-1.4375837353
0,6,1.1000000000,-0.1740470743
0,10,1.0345452640,-6.4031192520
0,1,1.1000000000,0.7092241794
0,5,1.0703489330,-2.6877050261
0,8,1.1000000000,-3.6038595692
0,13,1.0721588650,-1.8645435842
0,12,1.0828324739,-1.3876843669
0,4,1.0659415747,-4.0498628147
0,14,1.0279450315,-6.1623125572
0,7,1.0953829845,-3.8067588705
0,11,1.0608005668,-3.3286250974
1,9,1.0320082538,-4.1729723552
1,3,1.0646529329,-3.1158145900
1,2,1.0901230616,1.9765892051
1,6,1.1000000000,3.2838165782
1,10,1.0324528552,-3.1173364424
1,1,1.1000000000,4.1239359318
1,5,1.0702240787,0.7286804224
1,8,1.1000000000,-0.1926091784
1,13,1.0639275705,1.0321217645
1,12,1.0484358893,0.6422233471
1,4,1.0657027698,-0.6401800594
1,14,1.0230991293,-3.0916523713
1,7,1.0952712870,-0.3961967735
1,11,1.0596043763,0.0477841317
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0026564560
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_13,10,11,'BL',-30.7278682537,-0.1928821630,31.4517399027,1.8873858512
0,i_12,9,14,'BL',-6.0713130949,5.4130710884,6.1499132696,-5.2458779860
0,i_6,4,5,'BL',-61.5187999276,9.1123017044,61.9732180609,-7.6789273529
0,i_7,6,11,'BL',35.0650843146,5.8233923809,-34.0733109725,-3.7464949525
0,i_4,2,5,'BL',16.9360994023,4.9540426007,-16.7750927836,-8.5003026282
0,i_14,12,13,'BL',5.0626932409,0.2068428289,-5.0143205716,-0.1630770805
0,i_5,3,4,'BL',-24.9691555732,8.8777153774,25.3922544462,-9.2504568206
0,i_11,9,10,'BL',-19.6399000611,7.3981331690,19.7708490646,-7.0502805818
0,i_16,4,7,'BL',-2.4223284845,-2.8422317400,2.4223284845,2.8667819215
0,i_3,2,4,'BL',31.7420537342,3.1538994210,-31.2362771122,-5.5710685749
0,i_10,7,8,'BL',-2.4223284845,-2.8667819215,2.4223284845,2.8874615049
0,i_15,13,14,'BL',24.8621311551,2.3005912049,-23.9351315539,-0.4131846573
0,i_9,6,13,'BL',30.8823691632,8.2212805426,-30.3240247951,-7.1217261838
0,i_17,4,9,'BL',12.0187636510,13.3391361518,-12.0187636510,-11.8574078884
0,i_8,6,12,'BL',10.9348663440,2.2326863286,-10.8083440185,-1.9693580714
0,i_0,1,2,'BL',74.4134937589,-7.7829775669,-73.5232273650,4.1693999789
0,i_2,2,3,'BL',52.9486502263,1.1702326454,-51.8344492919,-1.5609379175
0,i_18,5,6,'BL',-21.9842355493,22.5575908163,21.9842355494,-20.6617840522
0,i_1,1,5,'BL',33.1029825164,4.5553615027,-32.5883410092,-8.2257729458
1,i_13,10,11,'BL',-31.5539707680,-0.2466888274,32.3204011416,2.0408177957
1,i_12,9,14,'BL',-4.6994522314,5.6793369000,4.7643053349,-5.5413856599
1,i_6,4,5,'BL',-61.8669483592,8.9440819406,62.3262625146,-7.4952640318
1,i_7,6,11,'BL',35.9876939853,6.0897990894,-34.9419722114,-3.8999268970
1,i_4,2,5,'BL',16.9341441285,5.0323757653,-16.7726400088,-8.5766544610
1,i_14,12,13,'BL',-5.7456507776,-1.7625152425,5.8182424075,1.8281933838
1,i_5,3,4,'BL',-24.8532678203,8.9777849369,25.2740954607,-9.3559974696
1,i_11,9,10,'BL',-20.4557452263,7.3715740996,20.5969515789,-6.9964739174
1,i_16,4,7,'BL',-2.4302978524,-2.9105901710,2.4302978524,2.9359120515
1,i_3,2,4,'BL',31.8270587456,3.2757306733,-31.3180160255,-5.6821243037
1,i_10,7,8,'BL',-2.4302978524,-2.9359120515,2.4302978524,2.9572416672
1,i_15,13,14,'BL',23.3798893787,1.8083333433,-22.5495236192,-0.1176769834
1,i_9,6,13,'BL',40.6376439839,10.5177732333,-39.6743459978,-8.6207387865
1,i_17,4,9,'BL',12.5747793492,13.7923107244,-12.5747793492,-12.1905037658
1,i_0,1,2,'BL',74.4309046373,-7.7879661558,-73.5402158366,4.1756782381
1,i_2,2,3,'BL',52.9330616235,1.1724954928,-51.8195065889,-1.5659219563
1,i_18,5,6,'BL',-22.3441550703,22.5099643569,22.3441550703,-20.5873242282
1,i_1,1,5,'BL',33.0988539177,4.6169163813,-32.5839187168,-8.2854579748
--end of line flow
