--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',20.9609426995
1,l_14,1,'1 ',0.5759729274
1,l_16,3,'1 ',23.6756778537
1,l_18,8,'1 ',3.4285268104
1,l_17,6,'1 ',-4.4179353862
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,8,1.1000000000,16.9109007468
0,1,1.1000000000,15.7173661797
0,4,1.0691961945,11.4047913409
0,7,1.0956566592,14.4020404293
0,13,1.0788462248,11.9041444278
0,9,1.0700001203,8.1963505915
0,14,1.0564356798,8.9436145389
0,5,1.0708882385,12.3490422744
0,11,1.0780162003,10.8671482785
0,12,1.0845933509,12.1809443651
0,3,1.0612728259,8.5641223701
0,6,1.1000000000,13.2437111009
0,2,1.0841357339,12.8824088666
0,10,1.0667728634,8.7164636432
1,8,1.1000000000,0.3640494074
1,1,1.1000000000,-0.8275302495
1,4,1.0689925300,-5.1444392831
1,7,1.0955604915,-2.1456343931
1,13,1.0714342567,-5.0923185506
1,9,1.0679334061,-8.4917083213
1,14,1.0520891724,-7.8917407473
1,5,1.0707841527,-4.1945828603
1,11,1.0770093818,-5.7127651198
1,12,1.0537744371,-5.5646863316
1,3,1.0612728259,-7.9795766844
1,6,1.1000000000,-3.2648171260
1,2,1.0841357339,-3.6629316940
1,10,1.0649795011,-7.9386914071
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0023982062
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_3,2,4,'BL',18.0872358498,1.4453276796,-17.9196296820,-4.8782717827
0,i_0,1,2,'BL',99.4789206304,-3.8177254187,-97.8938537967,2.3598436360
0,i_2,2,3,'BL',44.6112287935,1.0073104670,-43.8104429334,-2.6741945396
0,i_4,2,5,'BL',8.0650785050,3.6138287430,-8.0181093953,-7.4877452448
0,i_6,4,5,'BL',-41.8476197815,9.3398630572,42.0623137150,-8.6626524549
0,i_16,4,7,'BL',-29.9501892904,-0.4758434729,29.9501892904,2.0457262527
0,i_18,5,6,'BL',-7.8308325490,22.4113575582,7.8308325490,-21.3355304236
0,i_1,1,5,'BL',32.8049248080,4.3464951561,-32.3004405277,-8.0616771667
0,i_17,4,9,'BL',11.8808217352,6.9592426509,-11.8808217352,-6.0931745410
0,i_5,3,4,'BL',-29.8974187858,6.8917045897,30.4637025778,-6.8988428101
0,i_14,12,13,'BL',2.8278905731,-0.0002133247,-2.8128720798,0.0138014852
0,i_8,6,12,'BL',9.6453229595,2.0708643678,-9.5464660051,-1.8651154659
0,i_7,6,11,'BL',25.0585733621,0.7046226047,-24.5652828835,0.3283893579
0,i_9,6,13,'BL',24.2423591228,5.8011502920,-23.9026732291,-5.1322027278
0,i_10,7,8,'BL',-29.9501892904,-2.0457262527,29.9501892904,3.3681002564
0,i_15,13,14,'BL',16.5489254369,-0.7437517730,-16.1459160905,1.5642941747
0,i_11,9,10,'BL',-9.3743668066,7.6712202340,9.4151333789,-7.5629280189
0,i_13,10,11,'BL',-21.1052855395,3.1930409430,21.4337932988,-2.4240405125
0,i_12,9,14,'BL',-2.3850396171,6.5247852850,2.4386205801,-6.4108113981
1,i_3,2,4,'BL',18.1621214422,1.5469850167,-17.9928219408,-4.9740508258
1,i_0,1,2,'BL',99.4932413089,-3.8216431232,-97.9077173129,2.3651571245
1,i_2,2,3,'BL',44.5952292657,1.0098545961,-43.7950067306,-2.6791119702
1,i_4,2,5,'BL',8.0656218746,3.6783593195,-8.0182933545,-7.5507928204
1,i_6,4,5,'BL',-42.1488760466,9.1876893560,42.3662785891,-8.5019349689
1,i_16,4,7,'BL',-29.9573839090,-0.5335899840,29.9573839090,2.1049274593
1,i_18,5,6,'BL',-8.1372103577,22.3631569512,8.1372103577,-21.2819005812
1,i_1,1,5,'BL',32.8025951608,4.3976160506,-32.2978436340,-8.1111464702
1,i_17,4,9,'BL',12.3680324594,7.3548679205,-12.3680324594,-6.4085988757
1,i_5,3,4,'BL',-29.7947433325,6.9745277109,30.3581349960,-6.9887688243
1,i_14,12,13,'BL',-6.7185754319,-1.8653287906,6.8153014087,1.9528427696
1,i_7,6,11,'BL',25.8720158081,0.9037505808,-25.3459537950,0.1978890740
1,i_9,6,13,'BL',32.8607923185,7.8946516216,-32.2363815842,-6.6649919639
1,i_10,7,8,'BL',-29.9573839090,-2.1049274593,29.9573839090,3.4285268104
1,i_15,13,14,'BL',15.2544603034,-1.1500038213,-14.9060089195,1.8594641304
1,i_11,9,10,'BL',-10.1267739253,7.6081385973,10.1715220993,-7.4892696661
1,i_13,10,11,'BL',-21.8616742599,3.1193825902,22.2144642103,-2.2935402286
1,i_12,9,14,'BL',-1.1454217742,6.8193398012,1.1987134091,-6.7059813538
--end of line flow
