--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',1.5742926462
1,l_17,6,'1 ',-9.8824158229
1,l_15,2,'1 ',18.5119097392
1,l_16,3,'1 ',26.9904138120
1,l_18,8,'1 ',0.7105710096
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,10,1.0660033803,-10.7864925801
0,1,1.0988374934,-6.9691224283
0,9,1.0699339162,-11.6025641385
0,5,1.0760099022,-8.6396238883
0,8,1.1000000000,-8.5887179692
0,4,1.0737680626,-9.7070392213
0,14,1.0570235741,-10.8139720259
0,7,1.0989981302,-9.0995014975
0,13,1.0780677105,-7.7132544055
0,12,1.0852459241,-7.3061825787
0,2,1.0955348908,-7.4660991906
0,3,1.0708855395,-11.9660949972
0,11,1.0782198387,-8.5593764718
0,6,1.1000000000,-6.0977967400
1,10,1.0643229045,1.3830108533
1,1,1.0988374934,5.3207989957
1,9,1.0680193937,0.5298716880
1,5,1.0759104767,3.6515904867
1,8,1.1000000000,3.6975024464
1,4,1.0735711064,2.5775268768
1,14,1.0529081381,1.1501490483
1,7,1.0989059053,3.1860143068
1,13,1.0709206016,4.0624648962
1,12,1.0543095577,3.5595301708
1,2,1.0955348908,4.8233642581
1,3,1.0708855395,0.3251573386
1,11,1.0772605430,3.6929623017
1,6,1.1000000000,6.2338720714
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0026417925
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_9,6,13,'BL',28.0247304968,4.6507177840,-27.5835402316,-3.7818764257
0,i_6,4,5,'BL',-47.9541640049,9.9623868597,48.2319200845,-9.0862588812
0,i_16,4,7,'BL',-6.1180847669,-0.5323671395,6.1180847669,0.5977944759
0,i_18,5,6,'BL',-22.3480147897,25.4703537497,22.3480147897,-23.2994453120
0,i_2,2,3,'BL',47.4913886687,1.5664346077,-46.6014543107,-2.9570334095
0,i_5,3,4,'BL',-23.4103717673,7.1559560628,23.7669822571,-7.7176322657
0,i_13,10,11,'BL',-21.9523116188,3.0495597938,22.3069805448,-2.2193189574
0,i_1,1,5,'BL',17.2219125711,4.3294170509,-17.0653501472,-9.5016085315
0,i_4,2,5,'BL',16.2202746761,5.0550778539,-16.0713015525,-8.6795620644
0,i_15,13,14,'BL',17.0384758985,-1.3701982238,-16.6087542238,2.2451279450
0,i_8,6,12,'BL',10.5126077388,1.3971004769,-10.3983656250,-1.1593307664
0,i_0,1,2,'BL',17.7739629590,-2.7994236185,-17.7232332319,-3.4018620479
0,i_11,9,10,'BL',-15.1519535197,10.8176784882,15.2482661313,-10.5618339211
0,i_12,9,14,'BL',-2.7325474395,6.4330469755,2.7867897847,-6.3176662400
0,i_17,4,9,'BL',7.0510847143,7.7247063134,-7.0510847143,-7.2292388439
0,i_3,2,4,'BL',27.7037915912,2.8639770131,-27.3205451906,-5.7015101199
0,i_10,7,8,'BL',-6.1180847669,-0.5977944759,6.1180847669,0.6529064945
0,i_7,6,11,'BL',25.7530087720,0.2978351049,-25.2323408406,0.7925086680
0,i_14,12,13,'BL',3.8182306501,-0.3079746374,-3.7907061563,0.3328777508
1,i_9,6,13,'BL',37.4137384825,6.2055909823,-36.6274297312,-4.6571035896
1,i_6,4,5,'BL',-48.3001668918,9.8302949628,48.5815796850,-8.9426325864
1,i_16,4,7,'BL',-6.1260101444,-0.5894723339,6.1260101444,0.6552032630
1,i_18,5,6,'BL',-22.7013576854,25.4350373217,22.7013576854,-23.2370251500
1,i_2,2,3,'BL',47.4736008444,1.5692053120,-46.5843187446,-2.9625520930
1,i_5,3,4,'BL',-23.2973990534,7.2318316215,23.6516292160,-7.7993124704
1,i_13,10,11,'BL',-22.7616829788,3.0394198730,23.1436414354,-2.1452972555
1,i_1,1,5,'BL',17.2203937376,4.3783989531,-17.0635336555,-9.5488353465
1,i_4,2,5,'BL',16.2188114566,5.1177632736,-16.0694347490,-8.7406451161
1,i_15,13,14,'BL',15.6211918287,-1.7111280617,-15.2531373885,2.4605009411
1,i_0,1,2,'BL',17.7886907549,-2.8041063069,-17.7378775422,-3.3969244656
1,i_11,9,10,'BL',-15.9539653573,10.8270883835,16.0576374913,-10.5516940004
1,i_12,9,14,'BL',-1.3798883980,6.6421283479,1.4311729493,-6.5330392362
1,i_17,4,9,'BL',7.6017319183,8.0834010437,-7.6017319183,-7.5255001441
1,i_3,2,4,'BL',27.7878810025,2.9607772372,-27.4019110892,-5.7893275543
1,i_10,7,8,'BL',-6.1260101444,-0.6552032630,6.1260101444,0.7105710096
1,i_7,6,11,'BL',26.6256350884,0.4471729069,-26.0690017312,0.7184869662
1,i_14,12,13,'BL',-6.5801349749,-1.4673054038,6.6704674132,1.5490347527
--end of line flow
