--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_14,1,'1 ',64.1809074384
1,l_17,6,'1 ',12.5335522523
1,l_16,3,'1 ',-2.6427258417
1,l_18,8,'1 ',4.9627435353
1,l_15,2,'1 ',-31.1732970707
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,8,1.0253178867,-0.0102576607
0,7,1.0172102072,-1.3924097566
0,9,0.9879383112,-7.7584899750
0,13,1.0123501208,-4.5295725877
0,12,1.0212071155,-4.2004933071
0,2,1.0053829748,-0.0761749670
0,11,1.0079354282,-5.0653385941
0,3,0.9674195389,-2.6306753008
0,4,0.9861826276,-3.0609168690
0,14,0.9795249096,-7.0906113324
0,10,0.9871229153,-7.1150123491
0,1,1.0359121065,-0.6472861078
0,6,1.0393342129,-2.9008170423
0,5,0.9924971454,-2.3801600766
1,8,1.0253178867,7.6368648234
1,7,1.0170882622,6.2536206438
1,9,0.9853584964,-0.2928093995
1,13,1.0034980376,2.5525008257
1,12,0.9849532546,1.9596796942
1,2,1.0053829748,7.5734843161
1,11,1.0066933983,2.5354553877
1,3,0.9674195389,5.0227805140
1,4,0.9859230995,4.5833553932
1,14,0.9742330630,0.1918768454
1,10,0.9848881705,0.3926774357
1,1,1.0359121065,7.0026311070
1,6,1.0393342129,4.7860093796
1,5,0.9923602311,5.2702684663
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0031895768
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_1,1,5,'BL',17.8289718843,13.4161320301,-17.5391303784,-17.2827285881
0,i_3,2,4,'BL',29.8929628221,0.1407242693,-29.3772567575,-1.9476423881
0,i_10,7,8,'BL',-14.2816267307,-4.5096600118,14.2816267307,4.8915112171
0,i_6,4,5,'BL',-29.3066957259,-5.3330273878,29.4284960928,5.7172231518
0,i_17,4,9,'BL',14.8051318119,6.0591552055,-14.8051318119,-4.6850262730
0,i_16,4,7,'BL',-14.2816267307,-4.0563377066,14.2816267307,4.5096600118
0,i_7,6,11,'BL',22.7248170317,5.9312492136,-22.2398149153,-4.9155941182
0,i_8,6,12,'BL',10.5623538795,2.3966911192,-10.4288781334,-2.1188908539
0,i_11,9,10,'BL',-11.0140909583,5.1723610561,11.0623470425,-5.0441737212
0,i_14,12,13,'BL',3.5926842793,0.5627974764,-3.5646703392,-0.5374515306
0,i_5,3,4,'BL',0.0317622780,-11.2089070696,0.0488384367,10.1932124141
0,i_0,1,2,'BL',-0.0089637722,50.7058894079,0.5266266220,-54.6269076134
0,i_4,2,5,'BL',23.1762332154,-1.4248996662,-22.8735410878,-1.1037320794
0,i_18,5,6,'BL',3.9907694939,10.8256522723,-3.9907694939,-10.5298137144
0,i_12,9,14,'BL',-2.2237948558,4.1439204344,2.2525988660,-4.0826504456
0,i_2,2,3,'BL',25.1710398658,11.5795808210,-24.7880544684,-14.2293172555
0,i_9,6,13,'BL',27.0738317949,8.1072023695,-26.5847139928,-7.1439767295
0,i_13,10,11,'BL',-19.4125601476,-2.0721218590,19.7334987758,2.8234037885
0,i_15,13,14,'BL',14.1483601337,2.8841046148,-13.8006232993,-2.1760991558
1,i_1,1,5,'BL',17.8377873402,13.4774330844,-17.5467945208,-17.3386084137
1,i_3,2,4,'BL',29.9783774744,0.2631118633,-29.4594612450,-2.0594194661
1,i_10,7,8,'BL',-14.2911954611,-4.5792580565,14.2911954611,4.9627435353
1,i_6,4,5,'BL',-29.6041993221,-5.5189816197,29.7287480076,5.9118464244
1,i_17,4,9,'BL',15.3224961612,6.5258128452,-15.3224961612,-5.0356673260
1,i_16,4,7,'BL',-14.2911954611,-4.1239955907,14.2911954611,4.5792580565
1,i_7,6,11,'BL',23.6116038665,6.1867589695,-23.0877496730,-5.0897427651
1,i_11,9,10,'BL',-11.8267029485,5.0828025808,11.8809920690,-4.9385891045
1,i_14,12,13,'BL',-6.8361938541,-1.5560933775,6.9481302338,1.6573691496
1,i_5,3,4,'BL',0.1583870529,-11.1110444726,-0.0792490985,10.0919439684
1,i_0,1,2,'BL',-0.0018313441,50.7034743540,0.5194474793,-54.6246351865
1,i_4,2,5,'BL',23.1897131168,-1.3505238093,-22.8866385962,-1.1764702755
1,i_18,5,6,'BL',3.7112792299,10.7596470215,-3.7112792299,-10.4716791573
1,i_12,9,14,'BL',-0.8938185162,4.4873958972,0.9212265126,-4.4290954168
1,i_2,2,3,'BL',25.1399264139,11.5855160178,-24.7575925861,-14.2379975305
1,i_9,6,13,'BL',36.5935046763,10.6175705347,-35.7044440145,-8.8667325542
1,i_13,10,11,'BL',-20.2312051740,-2.1777064757,20.5814335334,2.9975524353
1,i_15,13,14,'BL',12.7552895824,2.4120397591,-12.4692509460,-1.8296541847
--end of line flow
