--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',23.7003954450
1,l_14,1,'1 ',2.7499156960
1,l_18,8,'1 ',3.6986991935
1,l_15,2,'1 ',17.6857494952
1,l_17,6,'1 ',0.8299305377
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,14,1.0377838697,10.2274335680
0,7,1.0961160807,14.4352949698
0,10,1.0466328747,9.7193900476
0,12,1.0839828871,14.9039353136
0,2,1.0877370405,11.0025539690
0,5,1.0745512979,11.2533122806
0,9,1.0463588949,8.7820599851
0,11,1.0670271310,12.7541000329
0,3,1.0655545475,7.0797204580
0,4,1.0724429475,10.3751323985
0,1,1.0924745628,11.6488335201
0,8,1.1000000000,17.8438147436
0,13,1.0727674707,14.3382943156
0,6,1.1000000000,16.0449214596
1,14,1.0333567833,-4.0251768176
1,7,1.0960168701,0.4949316446
1,10,1.0447675475,-4.3349527041
1,12,1.0519597997,-0.3265092108
1,2,1.0877370405,-2.9357764844
1,5,1.0744417426,-2.6822794658
1,9,1.0442385849,-5.3098052448
1,11,1.0659536691,-1.2162539559
1,3,1.0655545475,-6.8576306960
1,4,1.0722337520,-3.5670479339
1,1,1.0924745628,-2.2889334849
1,8,1.1000000000,3.9043100814
1,13,1.0651339139,-0.0808296170
1,6,1.1000000000,2.1515603727
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0021851880
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_5,3,4,'BL',-34.3793486082,9.5564799453,35.1393196669,-9.0795473717
0,i_6,4,5,'BL',-39.5667146925,7.4956757602,39.7549521648,-6.9019169619
0,i_12,9,14,'BL',-6.9698062383,6.7228994975,7.0786762104,-6.4913184805
0,i_2,2,3,'BL',40.9639321064,1.2454432701,-40.2916465115,-3.4907745012
0,i_15,13,14,'BL',23.0681350025,0.2767635824,-22.2776482851,1.3326975267
0,i_11,9,10,'BL',-18.6246599382,6.8454076744,18.7390554992,-6.5415276082
0,i_14,12,13,'BL',5.6253422326,-0.1068238663,-5.5658247351,0.1606730307
0,i_0,1,2,'BL',23.0832951742,-1.8365346956,-22.9964926466,-4.1728598749
0,i_7,6,11,'BL',35.0539090234,2.4692829563,-34.0845840474,-0.4393952143
0,i_16,4,7,'BL',-40.6961735990,1.6792097602,40.6961735990,1.2059562451
0,i_3,2,4,'BL',9.3516309650,4.3813370770,-9.2886082336,-8.1567304072
0,i_17,4,9,'BL',5.7885881013,12.0982615504,-5.7885881013,-11.2815156491
0,i_9,6,13,'BL',30.8927589132,7.7098823372,-30.3385176736,-6.6184083194
0,i_10,7,8,'BL',-40.6961735990,-1.2059562451,40.6961735990,3.6362450355
0,i_8,6,12,'BL',10.2654920365,2.0475857123,-10.1541894803,-1.8159340410
0,i_18,5,6,'BL',-42.0359941847,25.9834738990,42.0359941847,-21.3534031311
0,i_1,1,5,'BL',5.4435444329,4.5368784257,-5.4048491811,-10.1536179009
0,i_4,2,5,'BL',-0.2151342936,6.2785861042,0.2485194491,-10.2211043765
0,i_13,10,11,'BL',-29.7520493457,2.4118216905,30.4194216636,-0.8495767046
1,i_5,3,4,'BL',-34.2810251498,9.6448402037,35.0380890299,-9.1750404981
1,i_6,4,5,'BL',-39.9126475738,7.3574268195,40.1039126929,-6.7541178934
1,i_12,9,14,'BL',-5.6710778197,6.9690501300,5.7651819409,-6.7688780563
1,i_2,2,3,'BL',40.9543274418,1.2470385202,-40.2823494633,-3.4936657464
1,i_15,13,14,'BL',21.6718180062,-0.1694262242,-20.9641540155,1.6102571025
1,i_11,9,10,'BL',-19.3937181675,6.8339517220,19.5170624127,-6.5063003949
1,i_14,12,13,'BL',-4.5288472477,-1.9227579074,4.5771738082,1.9664819383
1,i_0,1,2,'BL',23.1011964380,-1.8421750461,-23.0142620637,-4.1668169772
1,i_7,6,11,'BL',35.9185113549,2.6951085893,-34.9001035627,-0.5624352910
1,i_16,4,7,'BL',-40.7027291628,1.6199132669,40.7027291628,1.2669666815
1,i_3,2,4,'BL',9.4289539913,4.4853890514,-9.3645593407,-8.2558569258
1,i_17,4,9,'BL',6.3182582906,12.4904266294,-6.3182582906,-11.6004319093
1,i_9,6,13,'BL',40.0130410640,9.8052376537,-39.0851992207,-7.9780274204
1,i_10,7,8,'BL',-40.7027291628,-1.2669666815,40.7027291628,3.6986991935
1,i_18,5,6,'BL',-42.4012777720,25.9581698473,42.4012777720,-21.2711593388
1,i_1,1,5,'BL',5.4365691088,4.5920907420,-5.3975332680,-10.2068450727
1,i_4,2,5,'BL',-0.2235646671,6.3500222541,0.2575265952,-10.2903722215
1,i_13,10,11,'BL',-30.5300562592,2.3765944772,31.2349411790,-0.7265366279
--end of line flow
