--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',17.3175560948
1,l_17,6,'1 ',-0.6681645160
1,l_14,1,'1 ',0.9988138675
1,l_15,2,'1 ',16.2493150615
1,l_18,8,'1 ',5.4497944487
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,4,1.0643537617,1.0191511034
0,6,1.1000000000,3.0377978704
0,1,1.0863641428,3.5647392382
0,9,1.0593574835,-3.2668109597
0,14,1.0485278354,-1.8567360197
0,11,1.0723996246,0.1788812581
0,5,1.0656842009,1.7271426802
0,8,1.1000000000,7.5876921780
0,13,1.0751831929,1.5214647638
0,7,1.0928659093,4.6022308801
0,10,1.0571414066,-2.4237567279
0,3,1.0661311226,0.2045161307
0,2,1.0782391912,2.3025212484
0,12,1.0833369308,1.8428847276
1,4,1.0641237991,-3.8987786490
1,6,1.1000000000,-1.8351049599
1,1,1.0863641428,-1.3482807621
1,9,1.0570987267,-8.3449295998
1,14,1.0438349659,-7.0997757765
1,11,1.0712751635,-4.7744743139
1,5,1.0655657704,-3.1845542606
1,8,1.1000000000,2.6727410608
1,13,1.0671340948,-3.9021521792
1,7,1.0927569960,-0.3137213212
1,10,1.0551652731,-7.4633463008
1,3,1.0661311226,-4.7067762660
1,2,1.0782391912,-2.6109410651
1,12,1.0496543378,-4.4424166125
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0027881393
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_12,9,14,'BL',-6.5979275736,7.4692871045,6.7104253662,-7.2299892273
0,i_17,4,9,'BL',15.6354354097,8.2964560946,-15.6354354097,-6.8521855914
0,i_7,6,11,'BL',30.3107491479,1.5281390015,-29.5877419928,-0.0140715858
0,i_16,4,7,'BL',-35.5442363816,-1.2663448390,35.5442363816,3.4998682098
0,i_5,3,4,'BL',-7.7785589457,3.4952072475,7.8247421189,-4.8298037515
0,i_9,6,13,'BL',27.6874647908,7.2137751822,-27.2399221791,-6.3324240708
0,i_10,7,8,'BL',-35.5442363816,-3.4998682098,35.5442363816,5.3812527818
0,i_2,2,3,'BL',21.6930622177,-0.7112704282,-21.5014987011,-3.5169932133
0,i_13,10,11,'BL',-25.4799193590,3.0955334289,25.9636144496,-1.9632565728
0,i_8,6,12,'BL',10.7290369280,2.1115117517,-10.6075787743,-1.8587234489
0,i_3,2,4,'BL',15.7223857534,1.4964790399,-15.5928031635,-5.0055564149
0,i_6,4,5,'BL',-31.1529293393,6.7191938490,31.2726183945,-6.3416578105
0,i_14,12,13,'BL',3.6746688100,0.3669676831,-3.6489971451,-0.3437409387
0,i_0,1,2,'BL',43.9377155732,-2.1088414842,-43.6205355211,-3.1077181511
0,i_11,9,10,'BL',-16.1162817694,8.9886804244,16.2128057267,-8.7322744394
0,i_4,2,5,'BL',8.3059992871,3.0870196731,-8.2594721453,-6.9209916260
0,i_1,1,5,'BL',18.0878910846,3.0546107858,-17.9218585160,-8.0662554165
0,i_18,5,6,'BL',-11.4155866208,19.8387861294,11.4155866208,-18.8289473266
0,i_15,13,14,'BL',18.8599255805,-0.4651710111,-18.3336691469,1.5366491835
1,i_12,9,14,'BL',-5.2293513075,7.7404722737,5.3286100823,-7.5293355610
1,i_17,4,9,'BL',16.1805833365,8.7369700651,-16.1805833365,-7.1774795741
1,i_7,6,11,'BL',31.2199390997,1.7571531606,-30.4524283501,-0.1498896514
1,i_16,4,7,'BL',-35.5526007994,-1.3306292356,35.5526007994,3.5664634023
1,i_5,3,4,'BL',-7.6618665480,3.5917335645,7.7074735758,-4.9274873069
1,i_9,6,13,'BL',37.2788297230,9.4084344358,-36.4706900543,-7.8169551518
1,i_10,7,8,'BL',-35.5526007994,-3.5664634023,35.5526007994,5.4497944487
1,i_2,2,3,'BL',21.6720771454,-0.7070940822,-21.4808752399,-3.5226930354
1,i_13,10,11,'BL',-26.3113214323,3.0376302009,26.8283008068,-1.8274385071
1,i_3,2,4,'BL',15.8074348748,1.6101800387,-15.6761107561,-5.1131410884
1,i_6,4,5,'BL',-31.4891367126,6.5482325039,31.6110930549,-6.1635447457
1,i_14,12,13,'BL',-6.9329099644,-1.4917557658,7.0337490812,1.5829911572
1,i_0,1,2,'BL',43.9516137596,-2.1130568645,-43.6342345141,-3.1028946039
1,i_11,9,10,'BL',-16.9397101088,8.9519586020,17.0442077999,-8.6743712114
1,i_4,2,5,'BL',8.3086088769,3.1593964758,-8.2616964208,-6.9917553250
1,i_1,1,5,'BL',18.0879335946,3.1118707320,-17.9215864603,-8.1215958955
1,i_18,5,6,'BL',-11.7521090614,19.7867772426,11.7521090614,-18.7656557975
1,i_15,13,14,'BL',17.4079472294,-0.9073720260,-16.9518538630,1.8359955172
--end of line flow
