--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',18.1915993729
1,l_14,1,'1 ',0.2417227941
1,l_15,2,'1 ',17.4932836712
1,l_17,6,'1 ',-3.5903172004
1,l_18,8,'1 ',4.7608528098
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,4,1.0666187661,-16.7096034158
0,8,1.1000000000,-10.1879867671
0,12,1.0840143563,-15.8181308255
0,14,1.0486406174,-19.3436858392
0,2,1.0794609038,-15.6721338912
0,10,1.0586751648,-19.2389111895
0,6,1.1000000000,-14.5527139099
0,1,1.0841363954,-14.9682082381
0,9,1.0610585340,-19.8900965587
0,7,1.0939481317,-13.1555663104
0,11,1.0746191098,-17.0005532128
0,3,1.0614298645,-18.9291516955
0,13,1.0759699881,-16.1578825546
0,5,1.0672263999,-16.1065235541
1,4,1.0663990819,10.0602791802
1,8,1.1000000000,16.5848864195
1,12,1.0507524285,9.4657059768
1,14,1.0440986353,7.0835983768
1,2,1.0794609038,11.1026873298
1,10,1.0567921548,7.4064069670
1,6,1.1000000000,12.2636047996
1,1,1.0841363954,11.8070372547
1,9,1.0589044312,6.7162817061
1,7,1.0938440140,13.6162799635
1,11,1.0735510141,9.7326121036
1,3,1.0614298645,7.8480529770
1,13,1.0681937645,10.0742049067
1,5,1.0671147075,10.6698759215
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0029534010
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_18,5,6,'BL',-13.5525266675,20.6723597658,13.5525266675,-19.4979837429
0,i_5,3,4,'BL',-23.1500563957,5.6255450304,23.4927716978,-6.1999885628
0,i_9,6,13,'BL',28.5683140674,6.1407184798,-28.1015153903,-5.2214461643
0,i_10,7,8,'BL',-35.3665187024,-2.8423117799,35.3665187024,4.6952879275
0,i_3,2,4,'BL',13.0341276613,1.6926473697,-12.9426748545,-5.3301065468
0,i_8,6,12,'BL',11.0909939075,1.6586811572,-10.9632473797,-1.3928049936
0,i_4,2,5,'BL',6.7886784761,3.3750004904,-6.7519507378,-7.2491430820
0,i_14,12,13,'BL',3.7331114298,0.2469115962,-3.7067964766,-0.2231028289
0,i_11,9,10,'BL',-12.2179718210,7.6780829464,12.2768063133,-7.5217951564
0,i_13,10,11,'BL',-22.5755250937,1.3077585760,22.9498801989,-0.4314345656
0,i_16,4,7,'BL',-35.3665187024,-0.6425140393,35.3665187024,2.8423117799
0,i_6,4,5,'BL',-26.2545066164,6.9340310854,26.3410341097,-6.6610967976
0,i_2,2,3,'BL',33.5477954440,0.2518091058,-33.0907679652,-3.3455348880
0,i_0,1,2,'BL',24.5226860233,-2.4189756255,-24.4234522061,-3.4572000531
0,i_7,6,11,'BL',26.3386695149,2.0015780121,-25.7909788684,-0.8546452937
0,i_15,13,14,'BL',18.0575420725,0.0814750157,-17.5760999498,0.8987595104
0,i_1,1,5,'BL',11.6384512152,2.6111557398,-11.5622658577,-7.9898935359
0,i_12,9,14,'BL',-1.3306291066,5.5174554687,1.3669980490,-5.4400938556
0,i_17,4,9,'BL',11.6508655094,8.1772028271,-11.6508655094,-7.2471580493
1,i_18,5,6,'BL',-13.8991638673,20.6253126609,13.8991638673,-19.4361327283
1,i_5,3,4,'BL',-23.0270491800,5.7103163285,23.3670303257,-6.2914383657
1,i_9,6,13,'BL',38.5026174973,7.9643320080,-37.6574926764,-6.3000174137
1,i_10,7,8,'BL',-35.3753789055,-2.9060616209,35.3753789055,4.7608528098
1,i_3,2,4,'BL',13.1229630601,1.7988634491,-13.0299566429,-5.4308119874
1,i_4,2,5,'BL',6.7921925405,3.4430489513,-6.7550806342,-7.3156061854
1,i_14,12,13,'BL',-7.2301359499,-1.1458933974,7.3373622380,1.2429076581
1,i_11,9,10,'BL',-13.0665369641,7.6619397556,13.1316276292,-7.4890330847
1,i_13,10,11,'BL',-23.4303464097,1.2749965042,23.8348672950,-0.3280577299
1,i_16,4,7,'BL',-35.3753789055,-0.7041091177,35.3753789055,2.9060616209
1,i_6,4,5,'BL',-26.6035276957,6.7747233880,26.6920001979,-6.4956539447
1,i_2,2,3,'BL',33.5247331613,0.2559157766,-33.0683201797,-3.3522304504
1,i_0,1,2,'BL',24.5359650624,-2.4231449359,-24.4366247669,-3.4527056488
1,i_7,6,11,'BL',27.2631670830,2.1876947181,-26.6759659644,-0.9580221294
1,i_15,13,14,'BL',16.5693606440,-0.3059642219,-16.1579478684,1.1436163260
1,i_1,1,5,'BL',11.6399391813,2.6648677300,-11.5634648497,-8.0418261806
1,i_12,9,14,'BL',0.0888404794,5.7651147933,-0.0511540324,-5.6849506713
1,i_17,4,9,'BL',12.2217699522,8.5902608464,-12.2217699522,-7.5654399283
--end of line flow
