--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',12.5066659699
1,l_18,8,'1 ',2.3168900094
1,l_17,6,'1 ',3.4296753531
1,l_14,1,'1 ',0.6259218798
1,l_16,3,'1 ',27.0516118140
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,10,1.0525035812,-15.8175447751
0,11,1.0703368707,-13.6639393438
0,2,1.0861749844,-13.3649427303
0,7,1.0968991951,-12.6082028146
0,8,1.1000000000,-10.8837263135
0,1,1.0868706121,-13.3178127996
0,12,1.0822879580,-12.5358620220
0,6,1.1000000000,-11.2368595584
0,5,1.0711067892,-13.9713259536
0,13,1.0730449818,-12.8722382314
0,14,1.0424404989,-15.8721686778
0,3,1.0678996641,-16.6488420576
0,9,1.0524792141,-16.5049154229
0,4,1.0704358513,-14.6658403836
1,10,1.0504136481,-1.0672129322
1,11,1.0691599158,1.1772261581
1,2,1.0861749844,1.5192611847
1,7,1.0967871270,2.2724521958
1,8,1.1000000000,3.9979228446
1,1,1.0868706121,1.5667882563
1,12,1.0461849247,0.8384054796
1,6,1.1000000000,3.6895484767
1,5,1.0709822396,0.9143691050
1,13,1.0644215024,1.4523147318
1,14,1.0373792084,-1.3473117847
1,3,1.0678996641,-1.7618825037
1,9,1.0500758732,-1.7953545049
1,4,1.0701977487,0.2131700082
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0032575157
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_5,3,4,'BL',-20.4517909812,6.0998884887,20.7249767575,-6.8658301599
0,i_15,13,14,'BL',17.4601802511,1.3011356440,-17.0051031791,-0.3745813668
0,i_4,2,5,'BL',9.1903513209,4.3990299400,-9.1295593414,-8.2392089078
0,i_13,10,11,'BL',-22.0199338382,0.0486571185,22.3790753073,0.7920534479
0,i_18,5,6,'BL',-23.9309321977,23.0328776111,23.9309321977,-20.9278556415
0,i_17,4,9,'BL',6.7086829643,10.4759522440,-6.7086829643,-9.7706457639
0,i_11,9,10,'BL',-13.7535612594,5.2415108634,13.8157716584,-5.0762553238
0,i_6,4,5,'BL',-30.4228166419,8.1393532195,30.5383700329,-7.7748623361
0,i_10,7,8,'BL',-20.6132196682,-1.6206635129,20.6132196682,2.2465810591
0,i_12,9,14,'BL',-2.1559657445,4.9459612438,2.1893702916,-4.8749052966
0,i_2,2,3,'BL',34.2421123241,0.2775721506,-33.7718406784,-3.3775132694
0,i_8,6,12,'BL',11.5913545435,2.1665570473,-11.4501060977,-1.8725796253
0,i_14,12,13,'BL',4.0303027938,0.5602516583,-3.9990753191,-0.5319982288
0,i_0,1,2,'BL',1.8603194122,-2.4494652062,-1.8596781863,-3.7817855229
0,i_7,6,11,'BL',26.9983354291,4.0435446790,-26.4133368399,-2.8184844622
0,i_16,4,7,'BL',-20.6132196682,-0.8775929635,20.6132196682,1.6206635129
0,i_3,2,4,'BL',16.4368145847,2.4429376880,-16.2939952181,-5.9631239920
0,i_1,1,5,'BL',7.3886774164,3.0198113892,-7.3476468588,-8.5786854858
0,i_9,6,13,'BL',29.8951120142,7.9493963387,-29.3719745122,-6.9191752899
1,i_5,3,4,'BL',-20.3176283967,6.1927022607,20.5883501920,-6.9646065629
1,i_15,13,14,'BL',15.9079443430,0.8364093976,-15.5251036736,-0.0569311915
1,i_4,2,5,'BL',9.1968418865,4.4745180141,-9.1355202031,-8.3126181298
1,i_13,10,11,'BL',-22.9067865684,-0.0180936183,23.2969858607,0.9315071231
1,i_18,5,6,'BL',-24.2841347791,22.9863948394,24.2841347791,-20.8524638955
1,i_17,4,9,'BL',7.3082116853,10.9225283994,-7.3082116853,-10.1350180032
1,i_11,9,10,'BL',-14.6330687392,5.1942720304,14.7026243886,-5.0095045869
1,i_6,4,5,'BL',-30.7831218322,7.9691714758,30.9009776071,-7.5974181664
1,i_10,7,8,'BL',-20.6229922153,-1.6899187141,20.6229922153,2.3168900094
1,i_12,9,14,'BL',-0.6769295437,5.2615623409,0.7093707862,-5.1925554719
1,i_2,2,3,'BL',34.2151171401,0.2823661726,-33.7455706153,-3.3853622435
1,i_14,12,13,'BL',-7.4198033039,-1.3123279671,7.5344022194,1.4160127001
1,i_0,1,2,'BL',1.8728121994,-2.4535455559,-1.8721642154,-3.7776845398
1,i_7,6,11,'BL',27.9591943487,4.2729376052,-27.3312473932,-2.9579381375
1,i_16,4,7,'BL',-20.6229922153,-0.9455971853,20.6229922153,1.6899187141
1,i_3,2,4,'BL',16.5316980302,2.5596655430,-16.3868196361,-6.0727377789
1,i_1,1,5,'BL',7.3924722076,3.0794674357,-7.3510909899,-8.6362376618
1,i_9,6,13,'BL',40.2986337895,10.2642824493,-39.3532161427,-8.4024599724
--end of line flow
