--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',20.8184327410
1,l_16,3,'1 ',30.5757407504
1,l_18,8,'1 ',2.9635350702
1,l_17,6,'1 ',-4.5323664488
1,l_14,1,'1 ',-2.0591103090
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,8,1.1000000000,12.5611206241
0,12,1.0860919865,10.4933075906
0,5,1.0695005095,10.8870561428
0,10,1.0621137790,6.7923601707
0,14,1.0501912181,6.6161651189
0,2,1.0858359294,12.0045363286
0,11,1.0756948351,9.0943517104
0,6,1.1000000000,11.5882650363
0,9,1.0659406535,6.1106013601
0,13,1.0776144348,10.1083561468
0,3,1.0594792614,6.7816706232
0,1,1.1000000000,14.7895873763
0,4,1.0670795770,9.7974439638
0,7,1.0956070737,11.3031390396
1,8,1.1000000000,4.8880616145
1,12,1.0573959306,1.5483944383
1,5,1.0694075680,3.2183600855
1,10,1.0604877947,-0.9879309252
1,14,1.0462891137,-1.3522259139
1,2,1.0858359294,4.3337692353
1,11,1.0747696866,1.3906769046
1,6,1.1000000000,3.9573097463
1,9,1.0640838783,-1.7035513614
1,13,1.0709403006,1.9744801677
1,3,1.0594792614,-0.8880735979
1,1,1.1000000000,7.1193360929
1,4,1.0668910685,2.1227407226
1,7,1.0955186008,3.6294528115
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0020914327
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_12,9,14,'BL',-0.5951377658,6.5049270812,0.6428707574,-6.4033926131
0,i_6,4,5,'BL',-48.4559818372,9.7171922293,48.7423373229,-8.8139390830
0,i_7,6,11,'BL',26.5254476041,1.3386317871,-25.9717445761,-0.1791083899
0,i_13,10,11,'BL',-22.7450898514,2.6863777087,23.1266193668,-1.7932591954
0,i_16,4,7,'BL',-15.0204041927,-2.1628456043,15.0204041927,2.5673801146
0,i_9,6,13,'BL',26.4363430003,5.7817379320,-26.0359940559,-4.9933258837
0,i_8,6,12,'BL',9.6185905214,1.4443370240,-9.5224938017,-1.2443329410
0,i_5,3,4,'BL',-31.4371309163,7.8060448305,32.0704949881,-7.6366454292
0,i_0,1,2,'BL',97.0747843422,-6.2733713192,-95.5639461626,4.5791185365
0,i_11,9,10,'BL',-12.3402844084,9.5678250978,12.4085461630,-9.3864947533
0,i_3,2,4,'BL',26.4067754070,1.3309875929,-26.0576133904,-4.2116317828
0,i_2,2,3,'BL',53.8674536793,1.5008829607,-52.7043515011,-1.6410692900
0,i_10,7,8,'BL',-15.0204041927,-2.5673801146,15.0204041927,2.9081354417
0,i_15,13,14,'BL',19.5570820446,-0.5102640885,-18.9937101865,1.6573106811
0,i_17,4,9,'BL',13.5713454574,7.4214497548,-13.5713454574,-6.3241173730
0,i_1,1,5,'BL',37.6305500884,4.1725745576,-36.9754166916,-7.2585585402
0,i_4,2,5,'BL',14.8183266151,3.4349671449,-14.6977864041,-7.0855000613
0,i_18,5,6,'BL',-6.1296644719,21.6807801968,6.1296644719,-20.7092612425
0,i_14,12,13,'BL',4.0691362175,0.1222139257,-4.0380979224,-0.0941316588
1,i_12,9,14,'BL',0.6315055669,6.7140119307,-0.5804530139,-6.6054163106
1,i_6,4,5,'BL',-48.7696353591,9.5808734711,49.0593601198,-8.6669925970
1,i_7,6,11,'BL',27.3327541282,1.4975873971,-26.7445671506,-0.2658502962
1,i_13,10,11,'BL',-23.4916562994,2.6610984986,23.8994419413,-1.7065172891
1,i_16,4,7,'BL',-15.0266784908,-2.2166092277,15.0266784908,2.6220317423
1,i_9,6,13,'BL',34.9993357428,7.3071051549,-34.3004706738,-5.9308216698
1,i_5,3,4,'BL',-31.3436958401,7.8830433363,31.9743453181,-7.7203149542
1,i_0,1,2,'BL',97.0914383466,-6.2779429354,-95.5800777371,4.5852852086
1,i_11,9,10,'BL',-13.0813772858,9.5570858662,13.1551126109,-9.3612155432
1,i_3,2,4,'BL',26.4784298750,1.4251157240,-26.1270863558,-4.2984568380
1,i_2,2,3,'BL',53.8574613396,1.5023104601,-52.6947835178,-1.6442846132
1,i_10,7,8,'BL',-15.0266784908,-2.6220317423,15.0266784908,2.9635350702
1,i_15,13,14,'BL',18.2688544267,-0.8444344934,-17.7703864152,1.8593343786
1,i_17,4,9,'BL',14.0568959127,7.7820267166,-14.0568959127,-6.5976075471
1,i_1,1,5,'BL',37.6243532473,4.2188326264,-36.9691317901,-7.3039640570
1,i_4,2,5,'BL',14.8125332823,3.4944228033,-14.6917598314,-7.1438996783
1,i_18,5,6,'BL',-6.4589987430,21.6376388446,6.4589987430,-20.6615923310
1,i_14,12,13,'BL',-5.4533575843,-1.1221190153,5.5146063134,1.1775345322
--end of line flow
