--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',1.6794490097
1,l_15,2,'1 ',13.3994945613
1,l_17,6,'1 ',-0.9870456101
1,l_16,3,'1 ',19.4208956792
1,l_14,1,'1 ',1.1586806417
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,1,1.0951032174,-0.2188434389
0,10,1.0653518768,-5.1525585750
0,3,1.0716263829,-4.3506062258
0,9,1.0677177473,-5.7238362648
0,11,1.0780656893,-3.3167632658
0,2,1.0902476445,-0.9772597003
0,6,1.1000000000,-1.2714491668
0,13,1.0784391050,-2.5013427697
0,8,1.1000000000,-2.4519427717
0,5,1.0716561248,-2.2846873462
0,12,1.0856036710,-2.2114227872
0,7,1.0974130565,-2.7570311897
0,4,1.0703061041,-3.1210828793
0,14,1.0517997626,-5.2529700093
1,1,1.0951032174,3.2389446060
1,10,1.0636748911,-1.7894941419
1,3,1.0716263829,-0.8922993580
1,9,1.0657747968,-2.3903701189
1,11,1.0771358647,0.1125720070
1,2,1.0902476445,2.4800973893
1,6,1.1000000000,2.2208767494
1,13,1.0715710532,0.5600409637
1,8,1.1000000000,1.0034295607
1,5,1.0715618343,1.1746397609
1,12,1.0573541040,0.2070109975
1,7,1.0973261978,0.6978495335
1,4,1.0701204404,0.3331479560
1,14,1.0477263382,-2.0501804019
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0018635454
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_11,9,10,'BL',-10.7480639756,7.1024642923,10.7943734181,-6.9794480115
0,i_3,2,4,'BL',26.1346958644,2.1598294758,-25.7922372381,-5.0888576057
0,i_2,2,3,'BL',35.4081021549,0.2699849685,-34.9092055977,-3.2862022129
0,i_10,7,8,'BL',-3.6490616156,-1.6019482008,3.6490616156,1.6251779390
0,i_18,5,6,'BL',-8.8749004967,22.8206295245,8.8749004967,-21.6778098884
0,i_15,13,14,'BL',16.0210296897,0.7620211836,-15.6429448274,0.0077740178
0,i_8,6,12,'BL',8.6627960703,2.0910899114,-8.5821257752,-1.9231925215
0,i_16,4,7,'BL',-3.6490616156,-1.5743705519,3.6490616156,1.6019482008
0,i_14,12,13,'BL',3.2737506218,0.2804169416,-3.2535130504,-0.2621067580
0,i_0,1,2,'BL',26.8314810306,-2.7908188963,-26.7151172379,-3.1579374665
0,i_17,4,9,'BL',9.6291140247,7.5328738076,-9.6291140247,-6.8515029013
0,i_4,2,5,'BL',17.3461483132,4.0943907301,-17.1838609114,-7.6420542163
0,i_5,3,4,'BL',-12.1415200581,5.0037687596,12.2467569333,-6.2032925777
0,i_6,4,5,'BL',-37.0341654458,8.5997028105,37.2026184031,-8.0683504485
0,i_12,9,14,'BL',-0.3699145086,6.4738651051,0.4167968962,-6.3741399854
0,i_9,6,13,'BL',22.9735125088,6.7500581344,-22.6600678071,-6.1327876690
0,i_13,10,11,'BL',-18.6364895066,1.2162455792,18.8886438266,-0.6259801284
0,i_1,1,5,'BL',20.6285269540,3.9069734473,-20.4156255747,-8.8034370108
0,i_7,6,11,'BL',22.1923598484,1.9129924550,-21.8028944564,-1.0974032103
1,i_11,9,10,'BL',-11.4253281397,7.0233884295,11.4756993184,-6.8895825635
1,i_3,2,4,'BL',26.1978726365,2.2550816976,-25.8534038986,-5.1773350766
1,i_2,2,3,'BL',35.3987277094,0.2716345134,-34.9000898113,-3.2889414945
1,i_10,7,8,'BL',-3.6546522518,-1.6558987396,3.6546522518,1.6794490097
1,i_18,5,6,'BL',-9.1630974370,22.7776608657,9.1630974370,-21.6284646309
1,i_15,13,14,'BL',14.8739528408,0.3712767251,-14.5444192726,0.2996661896
1,i_16,4,7,'BL',-3.6546522518,-1.6279405648,3.6546522518,1.6558987396
1,i_14,12,13,'BL',-5.3083751534,-1.6427755799,5.3693902180,1.6979796860
1,i_0,1,2,'BL',26.8452459444,-2.7951263820,-26.7287632713,-3.1532670216
1,i_17,4,9,'BL',10.0554851422,7.8996428119,-10.0554851422,-7.1539484214
1,i_4,2,5,'BL',17.3413993828,4.1545252157,-17.1788347482,-7.7009926465
1,i_5,3,4,'BL',-12.0588562330,5.0866638999,12.1634849690,-6.2874855394
1,i_6,4,5,'BL',-37.3105073023,8.4591742516,37.4811342882,-7.9209643358
1,i_12,9,14,'BL',0.7337207730,6.7766263502,-0.6817286587,-6.6660321572
1,i_9,6,13,'BL',30.6932552513,8.7997475032,-30.1358942266,-7.7021296545
1,i_13,10,11,'BL',-19.3178154069,1.1263801312,19.5893660310,-0.4907100719
1,i_1,1,5,'BL',20.6240797673,3.9538070238,-20.4109706827,-8.8489160345
1,i_7,6,11,'BL',22.9194286205,2.1034355198,-22.5036166609,-1.2326732669
--end of line flow
