--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',22.2240230184
1,l_14,1,'1 ',2.8720455223
1,l_15,2,'1 ',10.2662144458
1,l_17,6,'1 ',8.7107242920
1,l_18,8,'1 ',4.5643840829
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,8,1.0893822653,-2.0600089727
0,4,1.0516983577,-5.4700612908
0,13,1.0770771240,-5.9412600852
0,12,1.0844771819,-5.6141657793
0,2,1.0658364238,-3.3485637967
0,6,1.1000000000,-4.6365334016
0,3,1.0444376505,-7.3245037294
0,11,1.0706939018,-6.9443089921
0,1,1.0833060755,-0.5280290310
0,10,1.0528928178,-9.0266216684
0,14,1.0453399406,-8.6099869630
0,5,1.0546664302,-4.4928023157
0,9,1.0531430771,-9.5594787246
0,7,1.0824939587,-3.6081188258
1,8,1.0893822653,6.2651675882
1,4,1.0514923850,2.8532860692
1,13,1.0696632606,1.9701908484
1,12,1.0542589507,1.6396265833
1,2,1.0658364238,4.9780459401
1,6,1.1000000000,3.7246753742
1,3,1.0444376505,1.0033567421
1,11,1.0696668336,1.3506580408
1,1,1.0833060755,7.7990351391
1,10,1.0510462355,-0.8027947718
1,14,1.0409350218,-0.5520667024
1,5,1.0545608176,3.8356980394
1,9,1.0510053059,-1.3671980847
1,7,1.0823972079,4.7163930569
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0020487404
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_8,6,12,'BL',9.0963889564,2.3722214452,-9.0066222711,-2.1853919296
0,i_18,5,6,'BL',1.2390376607,14.1978753296,-1.2390376607,-13.7981346716
0,i_4,2,5,'BL',13.7225470894,0.5160455426,-13.6250582751,-4.1080006607
0,i_10,7,8,'BL',-18.0862876726,-3.9887110130,18.0862876726,4.5043614968
0,i_0,1,2,'BL',96.8797502465,-0.4812442566,-95.3286702145,-0.8803161512
0,i_16,4,7,'BL',-18.0862876726,-3.3765462150,18.0862876726,3.9887110130
0,i_1,1,5,'BL',36.9188833842,3.3059337302,-36.2737032830,-6.2658289946
0,i_13,10,11,'BL',-21.4204302177,-0.2201020826,21.7600652568,1.0151502479
0,i_6,4,5,'BL',-42.8470854236,6.5540442589,43.0738556021,-5.8387414710
0,i_12,9,14,'BL',-4.3341155873,5.1328039660,4.3858372591,-5.0227850406
0,i_11,9,10,'BL',-10.5674985363,4.3467846831,10.6049458686,-4.2473096885
0,i_14,12,13,'BL',3.5039126921,0.1517831860,-3.4808072158,-0.1308782313
0,i_15,13,14,'BL',16.1613993246,2.2354565044,-15.7691941539,-1.4369118165
0,i_9,6,13,'BL',24.3727880945,7.2155816615,-24.0195703737,-6.5199857054
0,i_17,4,9,'BL',14.6557971516,6.8070177505,-14.6557971516,-5.5741009388
0,i_2,2,3,'BL',39.8023521766,0.9387513921,-39.1421928743,-3.0343018374
0,i_3,2,4,'BL',23.8986973673,-0.8254657896,-23.6059136520,-2.0976869905
0,i_7,6,11,'BL',25.9054546255,4.3172167948,-25.3640443387,-3.1834359352
0,i_5,3,4,'BL',-19.4093134432,2.8089106401,19.6482856950,-3.6050088599
1,i_18,5,6,'BL',0.9569784126,14.1449499099,-0.9569784126,-13.7493012294
1,i_4,2,5,'BL',13.7211390131,0.5808058196,-13.6235063531,-4.1719363710
1,i_10,7,8,'BL',-18.0924338939,-4.0475955971,18.0924338939,4.5643840829
1,i_0,1,2,'BL',96.8939361702,-0.4851289333,-95.3424055477,-0.8750557551
1,i_16,4,7,'BL',-18.0924338939,-3.4340797972,18.0924338939,4.0475955971
1,i_1,1,5,'BL',36.9149411625,3.3571744557,-36.2696016668,-6.3158637356
1,i_13,10,11,'BL',-22.1322317751,-0.3215619164,22.4961275644,1.1734018221
1,i_6,4,5,'BL',-43.1208087123,6.3956095684,43.3502613121,-5.6718456000
1,i_12,9,14,'BL',-3.1914665003,5.4557691933,3.2374387977,-5.3579799575
1,i_11,9,10,'BL',-11.2749204344,4.2569589647,11.3167474260,-4.1458498547
1,i_14,12,13,'BL',-5.5027095790,-2.0336087435,5.5711153867,2.0954997124
1,i_15,13,14,'BL',14.9599302398,1.7922077737,-14.6207956926,-1.1017168995
1,i_9,6,13,'BL',32.4971015993,9.5380266797,-31.8700238914,-8.3031149185
1,i_17,4,9,'BL',15.0910243405,7.2142257080,-15.0910243405,-5.8927060162
1,i_2,2,3,'BL',39.7905687428,0.9406973238,-39.1307918682,-3.0378589457
1,i_3,2,4,'BL',23.9645502784,-0.7214051680,-23.6700310024,-2.1957450550
1,i_7,6,11,'BL',26.6748595199,4.5452919161,-26.1001066463,-3.3416875093
1,i_5,3,4,'BL',-19.3198139844,2.8979262767,19.5570453664,-3.6981904801
--end of line flow
