--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',23.7191748759
1,l_17,6,'1 ',-0.6564766896
1,l_14,1,'1 ',2.9952815119
1,l_15,2,'1 ',17.7903080147
1,l_18,8,'1 ',1.6925532479
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,1,1.0951777624,-7.3527950174
0,9,1.0445992415,-11.4172133849
0,12,1.0844934727,-5.0782357683
0,5,1.0733963744,-8.5207471874
0,13,1.0735528599,-5.6171433842
0,4,1.0703451072,-9.5753727992
0,10,1.0432432286,-10.3849597558
0,6,1.1000000000,-3.9349621295
0,14,1.0349419198,-9.9605865434
0,2,1.0882599753,-8.3655847155
0,11,1.0653423083,-7.2204924321
0,3,1.0693056990,-11.6537519601
0,8,1.1000000000,-8.6590395536
0,7,1.0974150397,-9.0768413459
1,1,1.0951777624,2.5778603706
1,9,1.0425473371,-1.6408409689
1,12,1.0532087852,3.5454138019
1,5,1.0732893871,1.4120374289
1,13,1.0661709464,3.8315538357
1,4,1.0701395880,0.3507180405
1,10,1.0414287262,-0.5707954352
1,6,1.1000000000,6.0402888789
1,14,1.0306634549,-0.3458952063
1,2,1.0882599753,1.5644971334
1,11,1.0642936405,2.6779288037
1,3,1.0693056990,-1.7227358349
1,8,1.1000000000,1.2684083760
1,7,1.0973188606,0.8500315364
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0021464168
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_18,5,6,'BL',-40.1910337151,25.2416358674,40.1910337151,-20.9620322711
0,i_9,6,13,'BL',30.3288862796,7.3218871438,-29.7967060449,-6.2738581313
0,i_12,9,14,'BL',-6.8380753262,7.0749540553,6.9508520790,-6.8350627924
0,i_11,9,10,'BL',-19.7281267043,9.3122647045,19.8668647935,-8.9437212106
0,i_6,4,5,'BL',-47.7317944623,7.8387749208,48.0044453324,-6.9787503410
0,i_17,4,9,'BL',6.6678987182,12.0209633415,-6.6678987182,-11.1595822588
0,i_3,2,4,'BL',15.9122364173,3.9469050838,-15.7705696845,-7.4779657690
0,i_0,1,2,'BL',36.0344276542,-1.8500265800,-35.8243407279,-3.8015786666
0,i_15,13,14,'BL',24.5553088090,0.7670474362,-23.6601794592,1.0554700642
0,i_5,3,4,'BL',-21.1108852664,7.3298910778,21.4101584343,-8.0310486163
0,i_16,4,7,'BL',-4.9971773476,-1.5444474734,4.9971773476,1.5922108988
0,i_14,12,13,'BL',5.4320862322,-0.0420465282,-5.3766567936,0.0921969726
0,i_1,1,5,'BL',12.6200103574,4.7969896987,-12.5212271978,-10.1741267141
0,i_7,6,11,'BL',35.3266355712,3.2661687696,-34.3386559360,-1.1972158382
0,i_13,10,11,'BL',-31.0307134683,2.1349900183,31.7600735030,-0.4276386244
0,i_4,2,5,'BL',4.3954559845,5.8166450825,-4.3564159441,-9.7395747744
0,i_2,2,3,'BL',34.4758514673,0.6102649648,-34.0001825902,-3.7039770952
0,i_8,6,12,'BL',10.1986240387,1.8605734508,-10.0894538877,-1.6333599099
0,i_10,7,8,'BL',-4.9971773476,-1.5922108988,4.9971773476,1.6324439105
1,i_18,5,6,'BL',-40.5583713390,25.2165889289,40.5583713390,-20.8821651143
1,i_9,6,13,'BL',39.3858377284,9.2343189678,-38.4911634284,-7.4724259812
1,i_12,9,14,'BL',-5.5521309470,7.2939002049,5.6503979527,-7.0848731181
1,i_11,9,10,'BL',-20.4878087025,9.3168243567,20.6360596372,-8.9230109650
1,i_6,4,5,'BL',-48.0780374837,7.7053826309,48.3544185308,-6.8335919271
1,i_17,4,9,'BL',7.1941610992,12.4018579771,-7.1941610992,-11.4644579408
1,i_3,2,4,'BL',15.9893019169,4.0492991584,-15.8458248356,-7.5741189539
1,i_0,1,2,'BL',36.0527398430,-1.8556678920,-35.8424420155,-3.7952934419
1,i_15,13,14,'BL',23.1669509606,0.3382617791,-22.3597253329,1.3052803899
1,i_5,3,4,'BL',-21.0141094869,7.4182998870,21.3118334763,-8.1231298598
1,i_16,4,7,'BL',-5.0036165981,-1.6037153907,5.0036165981,1.6519355290
1,i_14,12,13,'BL',-4.6573676555,-1.6754064380,4.7061584383,1.7195504796
1,i_1,1,5,'BL',12.6124302527,4.8509494039,-12.5133552977,-10.2263168816
1,i_7,6,11,'BL',36.1841441897,3.4814525412,-35.1468897444,-1.3093119939
1,i_13,10,11,'BL',-31.7999083121,2.1142797727,32.5683073113,-0.3155424687
1,i_4,2,5,'BL',4.3864559736,5.8864674638,-4.3469234187,-9.8074960822
1,i_2,2,3,'BL',34.4666691862,0.6118947721,-33.9912473402,-3.7066476505
1,i_10,7,8,'BL',-5.0036165981,-1.6519355290,5.0036165981,1.6925532479
--end of line flow
