--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',19.8954319943
1,l_17,6,'1 ',-2.9877625608
1,l_14,1,'1 ',0.7186609022
1,l_18,8,'1 ',3.4064481798
1,l_16,3,'1 ',27.2319311477
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,11,1.0717605671,-3.8041166725
0,5,1.0675092847,-4.2473109796
0,3,1.0591573658,-7.7036761633
0,13,1.0753726561,-2.5984462249
0,10,1.0554653398,-6.4819642645
0,4,1.0643734649,-5.4006894747
0,7,1.0946511756,-5.1770035545
0,2,1.0823519060,-3.3966301043
0,1,1.0887730556,-2.3828645064
0,9,1.0570509192,-7.2544836927
0,12,1.0840391529,-2.1114981939
0,14,1.0436556460,-6.3310773420
0,6,1.1000000000,-0.8775192885
0,8,1.1000000000,-4.9905855346
1,11,1.0706967252,1.3528041363
1,5,1.0673984231,0.9498139832
1,3,1.0591573658,-2.5066365320
1,13,1.0676772423,2.0713542657
1,10,1.0536140981,-1.4127413796
1,4,1.0641590145,-0.2104845770
1,7,1.0945508674,0.0140898079
1,2,1.0823519060,1.7985360541
1,1,1.0887730556,2.8127956238
1,9,1.0549447949,-2.2240358140
1,12,1.0511944514,1.6477011957
1,14,1.0391912039,-1.4753173152
1,6,1.1000000000,4.3615066765
1,8,1.1000000000,0.2012105570
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0027264605
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_3,2,4,'BL',24.0096906969,1.5313893274,-23.7175864396,-4.5625134155
0,i_17,4,9,'BL',6.7532669642,8.2803377867,-6.7532669642,-7.7540428887
0,i_0,1,2,'BL',35.4101452474,-2.6002970456,-35.2051086155,-2.9959446347
0,i_10,7,8,'BL',-2.2240793334,-3.3203039396,2.2240793334,3.3437819787
0,i_1,1,5,'BL',18.4526501180,3.2696311024,-18.2800150019,-8.2764870361
0,i_11,9,10,'BL',-14.8983414415,7.7119640918,14.9784630961,-7.4991291400
0,i_4,2,5,'BL',11.6642551228,3.4653321573,-11.5834512775,-7.2167582657
0,i_2,2,3,'BL',44.3862276530,1.2153500328,-43.5902428308,-2.8841737782
0,i_16,4,7,'BL',-2.2240793334,-3.2924315154,2.2240793334,3.3203039396
0,i_18,5,6,'BL',-29.3862009046,21.4963701130,29.3862009046,-18.9498330293
0,i_6,4,5,'BL',-51.4781780532,8.9405389553,51.7998740535,-7.9258109721
0,i_13,10,11,'BL',-26.2722614697,2.9117535730,26.7868825967,-1.7070822765
0,i_7,6,11,'BL',31.0168181615,1.5792927695,-30.2596963354,0.0062150344
0,i_9,6,13,'BL',30.2400027763,5.8492804261,-29.7213693638,-4.8279293353
0,i_5,3,4,'BL',-23.8785261705,5.9398650869,24.2455954622,-6.4460033953
0,i_12,9,14,'BL',-3.3485942164,6.8641000086,3.4149489755,-6.7229545458
0,i_15,13,14,'BL',21.0626770840,0.1396304081,-20.4069146429,1.1955269356
0,i_8,6,12,'BL',10.8770957425,1.7452150381,-10.7538231199,-1.4886503194
0,i_14,12,13,'BL',4.5799895396,-0.3407995664,-4.5403369006,0.3766757636
1,i_3,2,4,'BL',24.0962288187,1.6364106362,-23.8016870426,-4.6593627044
1,i_17,4,9,'BL',7.3189329959,8.6702150011,-7.3189329959,-8.0765227586
1,i_0,1,2,'BL',35.4257397042,-2.6051008453,-35.2205233061,-2.9905919822
1,i_10,7,8,'BL',-2.2322587150,-3.3823012637,2.2322587150,3.4064481798
1,i_1,1,5,'BL',18.4506879639,3.3237617475,-18.2777792852,-8.3289061631
1,i_11,9,10,'BL',-15.7219212139,7.7116929969,15.8095699739,-7.4788630622
1,i_4,2,5,'BL',11.6631279576,3.5343649092,-11.5819659633,-7.2842880605
1,i_2,2,3,'BL',44.3680341371,1.2182467314,-43.5726882260,-2.8897622248
1,i_16,4,7,'BL',-2.2322587150,-3.3536347687,2.2322587150,3.3823012637
1,i_18,5,6,'BL',-29.7480787762,21.4617037628,29.7480787762,-18.8763826015
1,i_6,4,5,'BL',-51.8321897098,8.7989988668,52.1580308943,-7.7711957000
1,i_13,10,11,'BL',-27.1033683475,2.8914874951,27.6525005858,-1.6060294937
1,i_7,6,11,'BL',31.9279726974,1.7757047769,-31.1253143245,-0.0948377484
1,i_9,6,13,'BL',39.9497164572,7.7272973706,-39.0445597812,-5.9447613135
1,i_5,3,4,'BL',-23.7618025937,6.0236761215,24.1262210719,-6.5362879790
1,i_12,9,14,'BL',-1.9593484123,7.1023365863,2.0213464497,-6.9704584544
1,i_15,13,14,'BL',19.5888015565,-0.2713123939,-19.0133121171,1.4430308441
1,i_14,12,13,'BL',-6.1738335803,-1.8294498858,6.2567290444,1.9044505438
--end of line flow
