--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',21.6513581870
1,l_15,2,'1 ',18.0129325750
1,l_18,8,'1 ',2.8187251552
1,l_14,1,'1 ',2.2202909194
1,l_17,6,'1 ',-6.1297285429
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,10,1.0534377916,-35.3509527513
0,8,1.1000000000,-27.2393165967
0,6,1.1000000000,-29.0871542158
0,4,1.0719517576,-33.0820312192
0,1,1.1000000000,-30.0702753887
0,7,1.0967846666,-29.9052599100
0,12,1.0832201882,-30.4548586368
0,9,1.0561916263,-36.2796316746
0,11,1.0700185153,-32.3659795088
0,13,1.0738907413,-30.8933218623
0,5,1.0746255074,-32.0560959924
0,14,1.0478597045,-34.6958280704
0,3,1.0675304967,-35.7891713042
0,2,1.0911891379,-31.4972634147
1,10,1.0514778993,3.1355954808
1,8,1.1000000000,11.3868817427
1,6,1.1000000000,9.5876284289
1,4,1.0717180553,5.5410990720
1,1,1.1000000000,8.5589425142
1,7,1.0966740922,8.7198552426
1,12,1.0480425447,6.5510239595
1,9,1.0539804479,2.1637449313
1,11,1.0688765779,6.2179783853
1,13,1.0657300533,7.1494604272
1,5,1.0745048147,6.5743796276
1,14,1.0431980253,3.5565631225
1,3,1.0675304967,2.8420575895
1,2,1.0911891379,7.1314700352
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0032404161
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_17,4,9,'BL',11.7180383358,10.2827873791,-11.7180383358,-9.1781881392
0,i_3,2,4,'BL',20.1639945704,3.4895065743,-19.9507294996,-6.8200243341
0,i_15,13,14,'BL',20.7357769735,-1.4401276142,-20.0954106249,2.7439379262
0,i_18,5,6,'BL',-26.0665520306,24.9383366461,26.0665520306,-22.4713965955
0,i_1,1,5,'BL',20.2836141052,4.9424402945,-20.0718985769,-9.8859194440
0,i_5,3,4,'BL',-28.0798137291,8.2594400035,28.5909491030,-8.4196355497
0,i_6,4,5,'BL',-46.3414369837,8.3237151255,46.5989859712,-7.5113265215
0,i_8,6,12,'BL',11.9010130103,1.6300086844,-11.7544443194,-1.3249583482
0,i_7,6,11,'BL',34.3855087547,1.1297300432,-33.4564006560,0.8159385273
0,i_10,7,8,'BL',-31.8568600249,-1.2607274229,31.8568600249,2.7491473805
0,i_2,2,3,'BL',44.9877850658,1.4045761397,-44.1827121278,-3.1161745525
0,i_16,4,7,'BL',-31.8568600249,0.5062801362,31.8568600249,1.2607274229
0,i_11,9,10,'BL',-17.5002715715,10.2030334775,17.6172874315,-9.8921928559
0,i_4,2,5,'BL',9.0243943565,5.4110202647,-8.9587466190,-9.2683230212
0,i_14,12,13,'BL',4.5285350481,0.0677742770,-4.4899148699,-0.0328322110
0,i_9,6,13,'BL',31.8038245135,6.3474674679,-31.2288259727,-5.2151158440
0,i_12,9,14,'BL',-7.9522986768,7.1495980818,8.0826011028,-6.8724273639
0,i_13,10,11,'BL',-28.8419360280,4.0232207255,29.4689525239,-2.5554442675
0,i_0,1,2,'BL',50.6546500897,-2.7764053486,-50.2436550186,-2.3065975041
1,i_17,4,9,'BL',12.3474249683,10.7093174304,-12.3474249683,-9.4946584169
1,i_3,2,4,'BL',20.2623849570,3.6034526203,-20.0465591303,-6.9253487513
1,i_15,13,14,'BL',19.1072847403,-1.8567463050,-18.5526544395,2.9859947534
1,i_18,5,6,'BL',-26.4522291285,24.8966001196,26.4522291285,-22.3946444399
1,i_1,1,5,'BL',20.2842041695,5.0013824696,-20.0720595525,-9.9424522224
1,i_5,3,4,'BL',-27.9439850767,8.3474717185,28.4515810947,-8.5163801550
1,i_6,4,5,'BL',-46.7259047292,8.1656259424,46.9874219543,-7.3407202982
1,i_7,6,11,'BL',35.3841733648,1.3376831780,-34.3999693159,0.7233632037
1,i_10,7,8,'BL',-31.8665812730,-1.3288394090,31.8665812730,2.8187251552
1,i_2,2,3,'BL',44.9631615711,1.4085034017,-44.1589502896,-3.1237319941
1,i_16,4,7,'BL',-31.8665812730,0.4399082905,31.8665812730,1.3288394090
1,i_11,9,10,'BL',-18.3924137566,10.2339470092,18.5192713755,-9.8969627655
1,i_4,2,5,'BL',9.0275546463,5.4855229795,-8.9613445286,-9.3406599395
1,i_14,12,13,'BL',-7.2259092713,-1.2571840712,7.3341057882,1.3550761579
1,i_9,6,13,'BL',42.4460619378,8.1984666146,-41.4243543976,-6.1864055222
1,i_12,9,14,'BL',-6.4307698591,7.3465014539,6.5398449174,-7.1144841911
1,i_13,10,11,'BL',-29.7439199720,4.0279906351,30.4125211838,-2.4628689440
1,i_0,1,2,'BL',50.6702621056,-2.7810915502,-50.2590142953,-2.3011396521
--end of line flow
