--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',0.9428332075
1,l_17,6,'1 ',-5.1812405457
1,l_16,3,'1 ',21.4039361004
1,l_15,2,'1 ',19.8481246232
1,l_14,1,'1 ',2.1734814214
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,10,1.0559360568,-31.4744246561
0,3,1.0714683574,-31.7824743957
0,2,1.1000000000,-26.2583289241
0,6,1.1000000000,-26.9356482890
0,11,1.0723302279,-29.3087705408
0,8,1.1000000000,-27.4090367467
0,4,1.0732750448,-29.1377045434
0,12,1.0839808355,-28.0886207666
0,1,1.0983714510,-26.5914616299
0,9,1.0561033236,-32.1638315921
0,5,1.0756504640,-28.1465264784
0,7,1.0986955048,-28.1983904902
0,14,1.0509130596,-31.2268780199
0,13,1.0763721578,-28.4508755871
1,10,1.0540553022,-2.0178916664
1,3,1.0714683574,-2.2061562296
1,2,1.1000000000,3.3162439358
1,6,1.1000000000,2.6781421505
1,11,1.0712724621,0.2288202977
1,8,1.1000000000,2.1629747047
1,4,1.0730597832,0.4325269114
1,12,1.0515916442,0.1647072960
1,1,1.0983714510,2.9835248220
1,9,1.0539387770,-2.7436272424
1,5,1.0755402315,1.4297413256
1,7,1.0985946286,1.3728943094
1,14,1.0463923291,-1.9668733913
1,13,1.0686370236,0.6312800858
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0026106618
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_18,5,6,'BL',-10.6453128560,24.9020912442,10.6453128560,-23.5144180115
0,i_1,1,5,'BL',16.1831558131,4.4960929504,-16.0409155239,-9.7229857474
0,i_0,1,2,'BL',-11.6060279403,-2.3721739094,11.6277723292,-3.9407856513
0,i_13,10,11,'BL',-21.9435481675,0.7821318440,22.2983357694,0.0483867996
0,i_11,9,10,'BL',-13.8078168139,5.5025370804,13.8708273035,-5.3351561821
0,i_2,2,3,'BL',58.4383783220,2.0975026903,-57.1034033370,-1.6373383010
0,i_14,12,13,'BL',3.7199221637,0.0264804558,-3.6939037066,-0.0029399470
0,i_8,6,12,'BL',10.3457915534,2.0118378546,-10.2329552018,-1.7769939272
0,i_12,9,14,'BL',-4.6956863961,4.2897177314,4.7417860603,-4.1916575694
0,i_6,4,5,'BL',-44.7194359648,8.5331491714,44.9596418370,-7.7754660792
0,i_7,6,11,'BL',26.1445773113,3.3264280212,-25.5993418376,-2.1846367420
0,i_9,6,13,'BL',27.2893028490,6.4118844596,-26.8597005237,-5.5658633724
0,i_15,13,14,'BL',15.9490622525,0.4221462653,-15.5735121905,0.3424879861
0,i_3,2,4,'BL',35.5476597893,3.7456380716,-34.9246309149,-5.8704784242
0,i_4,2,5,'BL',24.9148154569,5.5199730673,-24.5953730437,-8.6396014155
0,i_5,3,4,'BL',-27.0384351355,9.4433396719,27.5256224343,-9.6718655965
0,i_16,4,7,'BL',-9.4519776804,-0.5927985288,9.4519776804,0.7485390048
0,i_17,4,9,'BL',11.1030140746,10.5508277720,-11.1030140746,-9.4872650520
0,i_10,7,8,'BL',-9.4519776804,-0.7485390048,9.4519776804,0.8797253325
1,i_18,5,6,'BL',-10.9740131534,24.8524592271,10.9740131534,-23.4557267277
1,i_1,1,5,'BL',16.1829229754,4.5500926006,-16.0403237427,-9.7749203082
1,i_0,1,2,'BL',-11.5927417938,-2.3766111792,11.6144355141,-3.9365030800
1,i_13,10,11,'BL',-22.7404991898,0.7178402871,23.1227816007,0.1770406715
1,i_11,9,10,'BL',-14.5982262014,5.4556227049,14.6677783259,-5.2708646252
1,i_2,2,3,'BL',58.4208978738,2.0999063241,-57.0867073207,-1.6430467653
1,i_14,12,13,'BL',-6.5130330381,-1.7505134714,6.6038984179,1.8327250055
1,i_12,9,14,'BL',-3.3815862846,4.5688185722,3.4185585060,-4.4901737037
1,i_6,4,5,'BL',-45.0440566295,8.3745245658,45.2874263230,-7.6068618095
1,i_7,6,11,'BL',27.0060762587,3.5326757530,-26.4237876689,-2.3132906139
1,i_9,6,13,'BL',36.5460583016,8.5008723422,-35.7763788833,-6.9851332973
1,i_15,13,14,'BL',14.5679384877,0.0057512377,-14.2502846363,0.6410041204
1,i_3,2,4,'BL',35.6279029493,3.8558670042,-35.0015110237,-5.9697175942
1,i_4,2,5,'BL',24.9149921341,5.5889497580,-24.5950490135,-8.7066391071
1,i_5,3,4,'BL',-26.9265560590,9.5309269580,27.4112644692,-9.7654840689
1,i_16,4,7,'BL',-9.4598096658,-0.6550685701,9.4598096658,0.8112638124
1,i_17,4,9,'BL',11.6267047985,10.9645800613,-11.6267047985,-9.8062299210
1,i_10,7,8,'BL',-9.4598096658,-0.8112638124,9.4598096658,0.9428332075
--end of line flow
