--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',0.1931791825
1,l_15,2,'1 ',23.2003867794
1,l_16,3,'1 ',25.6204606792
1,l_14,1,'1 ',2.0328074922
1,l_17,6,'1 ',-6.7890803058
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,10,1.0537416948,-2.7043411755
0,2,1.0997911361,-1.1574193964
0,4,1.0763161691,-3.1417085929
0,6,1.1000000000,3.1877517358
0,11,1.0705951952,0.1541828216
0,13,1.0749614504,1.6539168067
0,8,1.1000000000,-0.7095801305
0,7,1.0999953076,-1.8218520865
0,3,1.0718094064,-6.2823907074
0,14,1.0429292627,-2.2631482117
0,12,1.0840127361,2.0285712118
0,1,1.1000000000,-1.1435983370
0,9,1.0554534680,-3.7666482353
0,5,1.0796036753,-1.8937048077
1,10,1.0519118254,3.7986780154
1,2,1.0997911361,5.4625632730
1,4,1.0761090937,3.4738273417
1,6,1.1000000000,9.8521158598
1,11,1.0695443693,6.7409201439
1,13,1.0673052433,7.7850226555
1,8,1.1000000000,5.9077637082
1,7,1.0998981604,4.7947812190
1,3,1.0718094064,0.3389195342
1,14,1.0385125637,4.0400254749
1,12,1.0517365029,7.3231354710
1,1,1.1000000000,5.4768977736
1,9,1.0533745662,2.6984726322
1,5,1.0794945252,4.7286050248
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0024461737
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_11,9,10,'BL',-20.5932384779,10.1166403087,20.7435611093,-9.7173236675
0,i_6,4,5,'BL',-56.8437180983,10.2728119333,57.2282423762,-9.0599042675
0,i_17,4,9,'BL',2.2990406035,11.0557119950,-2.2990406035,-10.4808782331
0,i_2,2,3,'BL',54.3795219845,2.3688163671,-53.2209106517,-2.6522708819
0,i_13,10,11,'BL',-27.8471763177,3.3805817853,28.4286448915,-2.0194279893
0,i_18,5,6,'BL',-44.7818698906,28.8174276093,44.7818698906,-23.4911609143
0,i_3,2,4,'BL',25.4408631255,4.6042188043,-25.1085979967,-7.6216398322
0,i_4,2,5,'BL',11.7182318160,6.8944360852,-11.6155500732,-10.6898241439
0,i_12,9,14,'BL',-6.8121386665,8.2315969031,6.9424050370,-7.9545028802
0,i_5,3,4,'BL',-32.6519030491,10.2466825146,33.3441535897,-9.9564759804
0,i_15,13,14,'BL',21.9421287553,-0.1302734711,-21.2299232297,1.5803510878
0,i_16,4,7,'BL',-13.3340459364,0.4338095981,13.3340459364,-0.1264994776
0,i_10,7,8,'BL',-13.3340459364,0.1264994776,13.3340459364,0.1323599223
0,i_14,12,13,'BL',4.1642746594,0.3186440201,-4.1314817151,-0.2889742134
0,i_8,6,12,'BL',10.3820847426,1.9817042161,-10.2686064749,-1.7455242823
0,i_1,1,5,'BL',8.8962433019,4.9731342636,-8.8326837483,-10.5545940077
0,i_9,6,13,'BL',27.9824192778,7.2585535845,-27.5255456165,-6.3588267236
0,i_0,1,2,'BL',0.5602867788,-2.9895632856,-0.5602298896,-3.3978500566
0,i_7,6,11,'BL',32.1616017380,1.7337571971,-31.3473055911,-0.0285192142
1,i_11,9,10,'BL',-21.3722978753,10.1107924421,21.5325531517,-9.6850907488
1,i_6,4,5,'BL',-57.1936040758,10.1420369627,57.5825684109,-8.9151239926
1,i_17,4,9,'BL',2.8461941763,11.4327360252,-2.8461941763,-10.8067485129
1,i_2,2,3,'BL',54.3662367802,2.3707374868,-53.2081792179,-2.6565250505
1,i_13,10,11,'BL',-28.6361683601,3.3483488667,29.2525464158,-1.9054758240
1,i_18,5,6,'BL',-45.1469368148,28.7936914847,45.1469368148,-23.4072431934
1,i_3,2,4,'BL',25.5227018308,4.7081381599,-25.1877626803,-7.7166878356
1,i_4,2,5,'BL',11.7127010542,6.9649234653,-11.6094814664,-10.7582616718
1,i_12,9,14,'BL',-5.4859256963,8.4800181674,5.6027787746,-8.2314560141
1,i_5,3,4,'BL',-32.5441604300,10.3303234281,33.2333891990,-10.0475441215
1,i_15,13,14,'BL',20.5227782301,-0.5695482450,-19.8902969673,1.8573042217
1,i_16,4,7,'BL',-13.3413844573,0.3736766829,13.3413844573,-0.0659940225
1,i_10,7,8,'BL',-13.3413844573,0.0659940225,13.3413844573,0.1931791825
1,i_14,12,13,'BL',-6.1043318155,-1.4268802622,6.1828194117,1.4978928492
1,i_1,1,5,'BL',8.8919260674,5.0277862901,-8.8280114656,-10.6072006301
1,i_9,6,13,'BL',37.2252557063,9.2912416657,-36.4204962182,-7.7064190124
1,i_0,1,2,'BL',0.5768348816,-2.9949787979,-0.5767753292,-3.3924264130
1,i_7,6,11,'BL',33.0305723573,1.9420896845,-32.1712071154,-0.1424713795
--end of line flow
