--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',2.4956494468
1,l_15,2,'1 ',25.2607326870
1,l_17,6,'1 ',0.4912002649
1,l_16,3,'1 ',28.2169233924
1,l_14,1,'1 ',-1.8649737002
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,4,1.0701885090,1.0866612049
0,14,1.0435201272,-0.5074645125
0,7,1.0966856087,3.3081336956
0,5,1.0730795542,2.1997798897
0,1,1.1000000000,4.9017377471
0,13,1.0739997000,2.7767135021
0,11,1.0668643765,1.5709085276
0,3,1.0653923908,-1.9686747620
0,9,1.0467688688,-1.6622221417
0,2,1.0923223033,3.3051322254
0,10,1.0457570212,-0.9448970946
0,12,1.0834102552,3.1776899635
0,8,1.1000000000,5.1694678111
0,6,1.1000000000,4.2511294632
1,4,1.0699695739,8.0557414347
1,14,1.0388581307,6.1682410662
1,7,1.0965826223,10.2785655885
1,5,1.0729655907,9.1747121358
1,1,1.1000000000,11.8750027398
1,13,1.0660634792,9.2942443783
1,11,1.0657568030,8.5106523204
1,3,1.0653923908,5.0053441668
1,9,1.0445053591,5.1632132747
1,2,1.0923223033,10.2779070831
1,10,1.0437868597,5.9157947917
1,12,1.0509189099,8.9612818205
1,8,1.1000000000,12.1406509198
1,6,1.1000000000,11.2633121434
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0022948865
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_15,13,14,'BL',18.7945373303,0.7040312978,-18.2703551813,0.3632235521
0,i_1,1,5,'BL',26.7377735670,4.4114693004,-26.3941730849,-8.8023493897
0,i_3,2,4,'BL',27.3740614219,3.1589677556,-26.9960110266,-5.9872715641
0,i_11,9,10,'BL',-13.7584987789,6.5343648546,13.8258490308,-6.3554558235
0,i_2,2,3,'BL',55.0479499294,1.6681568993,-53.8473313492,-1.7087433726
0,i_6,4,5,'BL',-50.1083184307,9.0529820928,50.4105429719,-8.0996730719
0,i_14,12,13,'BL',4.3785809315,0.2755779913,-4.3423538937,-0.2428011475
0,i_5,3,4,'BL',-31.4969014132,9.5741234551,32.1452142604,-9.3788641381
0,i_17,4,9,'BL',9.9687106884,11.6882965420,-9.9687106884,-10.6122311642
0,i_0,1,2,'BL',55.5532873355,-6.3282146914,-55.0574174373,1.4978151109
0,i_13,10,11,'BL',-25.5118935015,-0.0340022471,26.0002119872,1.1771019614
0,i_7,6,11,'BL',29.8440100715,4.7195169937,-29.1273908556,-3.2188267218
0,i_9,6,13,'BL',27.5354588091,8.2726405503,-27.0835405565,-7.3826724360
0,i_8,6,12,'BL',9.9073367510,2.4552438186,-9.8015086572,-2.2349860309
0,i_12,9,14,'BL',-6.1521714136,4.2320247481,6.2168551382,-4.0944337997
0,i_4,2,5,'BL',15.3571498972,5.1198008637,-15.2199490092,-8.7571736831
0,i_18,5,6,'BL',-17.9886239109,23.7921693086,17.9886239109,-22.1008483278
0,i_10,7,8,'BL',-22.2442360176,-1.7021448444,22.2442360176,2.4310800194
0,i_16,4,7,'BL',-22.2442360176,-0.8367748540,22.2442360176,1.7021448444
1,i_15,13,14,'BL',17.4658375521,0.2287767376,-17.0069508207,0.7055341514
1,i_1,1,5,'BL',26.7334224898,4.4679402501,-26.3895518781,-8.8571035798
1,i_3,2,4,'BL',27.4486352702,3.2715774285,-27.0680185995,-6.0912979832
1,i_11,9,10,'BL',-14.5136353523,6.4630906139,14.5872325342,-6.2675872542
1,i_2,2,3,'BL',55.0356543311,1.6699023113,-53.8355629241,-1.7127097779
1,i_6,4,5,'BL',-50.4212211745,8.8922258631,50.7269011131,-7.9280174575
1,i_14,12,13,'BL',-5.4229277257,-1.9594080396,5.4894327775,2.0195792769
1,i_5,3,4,'BL',-31.3956466760,9.6675786454,32.0413417558,-9.4787007953
1,i_17,4,9,'BL',10.4643781693,12.1154969911,-10.4643781693,-10.9464037563
1,i_0,1,2,'BL',55.5691128454,-6.3329139503,-55.0729565647,1.5033887381
1,i_13,10,11,'BL',-26.2732770049,-0.1218708164,26.7931446256,1.3388235759
1,i_7,6,11,'BL',30.6784775374,4.9682177321,-29.9203234940,-3.3805483363
1,i_9,6,13,'BL',36.3726882444,10.7177973896,-35.5866274495,-9.1697983002
1,i_12,9,14,'BL',-4.9013673593,4.5475328076,4.9534507775,-4.4367443990
1,i_4,2,5,'BL',15.3540136189,5.1919180053,-15.2163616538,-8.8274904865
1,i_18,5,6,'BL',-18.3131906143,23.7455846877,18.3131906143,-22.0357112183
1,i_10,7,8,'BL',-22.2511206772,-1.7658052046,22.2511206772,2.4956494468
1,i_16,4,7,'BL',-22.2511206772,-0.8993559970,22.2511206772,1.7658052046
--end of line flow
