--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_16,3,'1 ',21.4735038844
1,l_14,1,'1 ',-0.0435921083
1,l_17,6,'1 ',1.3618247764
1,l_18,8,'1 ',5.0029904938
1,l_15,2,'1 ',17.7351182768
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,9,1.0569233817,-0.6056945444
0,11,1.0728073043,2.0292460517
0,7,1.0937512716,6.3995860561
0,6,1.1000000000,4.4382312091
0,1,1.0804459682,3.6260234761
0,5,1.0665068991,3.0565017706
0,14,1.0437805193,-0.1487074780
0,3,1.0619198555,0.3455113053
0,2,1.0799895850,3.6146923226
0,10,1.0559856823,-0.0769944016
0,8,1.1000000000,9.5626902446
0,4,1.0667097737,2.6116077774
0,12,1.0847481543,3.3472153174
0,13,1.0748777644,2.9052279190
1,9,1.0548482752,-8.9325173807
1,11,1.0717954516,-6.1865862158
1,7,1.0936554368,-1.7849184429
1,6,1.1000000000,-3.7050488879
1,1,1.0804459682,-4.5561463819
1,5,1.0664046500,-5.1239630244
1,14,1.0394524003,-8.6297172667
1,3,1.0619198555,-7.8358863293
1,2,1.0799895850,-4.5679423458
1,10,1.0541841574,-8.3698297669
1,8,1.1000000000,1.3790057592
1,4,1.0665074386,-5.5745990457
1,12,1.0541299423,-6.0775469724
1,13,1.0675616572,-5.7409283021
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0021524261
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_0,1,2,'BL',0.5987392916,-2.4445494957,-0.5986123519,-3.7161391626
0,i_6,4,5,'BL',-18.8902021634,6.5840573253,18.9371542027,-6.4359561738
0,i_8,6,12,'BL',9.8088447964,1.9300646923,-9.7073286675,-1.7187813066
0,i_14,12,13,'BL',4.6991157307,0.1802545899,-4.6575966201,-0.1426896803
0,i_10,7,8,'BL',-37.6876316266,-2.8393958958,37.6876316266,4.9426965209
0,i_11,9,10,'BL',-10.2697385472,5.0951437915,10.3071637897,-4.9957274761
0,i_3,2,4,'BL',12.7654058149,2.0442823319,-12.6761400220,-5.6906483270
0,i_12,9,14,'BL',-0.6821545871,5.4712535100,0.7167457828,-5.3976734022
0,i_5,3,4,'BL',-23.5374438743,6.0442289576,23.8938578988,-6.5844992912
0,i_2,2,3,'BL',33.7012484611,0.2466971444,-33.2405167628,-3.3295957303
0,i_9,6,13,'BL',27.9988203580,7.3205119177,-27.5409509219,-6.4188240653
0,i_15,13,14,'BL',17.8187136412,1.3107163953,-17.3464370765,-0.3491432949
0,i_16,4,7,'BL',-37.6876316266,-0.3424204389,37.6876316266,2.8393958958
0,i_4,2,5,'BL',8.3145235551,3.6646486301,-8.2650029050,-7.4990509872
0,i_13,10,11,'BL',-21.5291547437,0.3470867945,21.8702921531,0.4514782538
0,i_7,6,11,'BL',26.3591339787,2.9758479897,-25.8067902575,-1.8191711508
0,i_1,1,5,'BL',6.4015227972,2.3554172757,-6.3699098629,-7.8947257706
0,i_18,5,6,'BL',-12.0438050415,20.2694669451,12.0438050415,-19.1995755201
0,i_17,4,9,'BL',11.7406359497,9.0211909790,-11.7406359497,-8.0150489259
1,i_0,1,2,'BL',0.6131885959,-2.4492788597,-0.6130597460,-3.7114039666
1,i_6,4,5,'BL',-19.2031519037,6.4317805304,19.2512883252,-6.2799434735
1,i_14,12,13,'BL',-5.0082129368,-1.5385267167,5.0627858825,1.5879022390
1,i_10,7,8,'BL',-37.6940889049,-2.8981082662,37.6940889049,5.0029904938
1,i_11,9,10,'BL',-11.0252929554,5.0429746086,11.0673140691,-4.9313498333
1,i_3,2,4,'BL',12.8372303276,2.1452399371,-12.7466381887,-5.7868477112
1,i_12,9,14,'BL',0.5595860117,5.7490695498,-0.5214715285,-5.6679949373
1,i_5,3,4,'BL',-23.4430978157,6.1305994895,23.7975768935,-6.6755321584
1,i_2,2,3,'BL',33.6892670541,0.2488279103,-33.2288558367,-3.3330766896
1,i_9,6,13,'BL',36.7468446194,9.3002197913,-35.9613408803,-7.7533177189
1,i_15,13,14,'BL',16.5187210971,0.9146181297,-16.1082197652,-0.0788217597
1,i_16,4,7,'BL',-37.6940889049,-0.3992551783,37.6940889049,2.8981082662
1,i_4,2,5,'BL',8.3100239391,3.7293835952,-8.2601785461,-7.5624171532
1,i_13,10,11,'BL',-22.2893050231,0.2827091517,22.6561719240,0.5760857984
1,i_7,6,11,'BL',27.1804928075,3.1747531191,-26.5926700284,-1.9437786955
1,i_1,1,5,'BL',6.3978356234,2.4056867513,-6.3660001271,-7.9435399960
1,i_18,5,6,'BL',-12.3666732587,20.2256346362,12.3666732587,-19.1437834804
1,i_17,4,9,'BL',12.2268221402,9.4175347647,-12.2268221402,-8.3239566549
--end of line flow
