--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_18,8,'1 ',2.5007074806
1,l_16,3,'1 ',28.5144076731
1,l_17,6,'1 ',-4.2598687132
1,l_14,1,'1 ',-1.4484641964
1,l_15,2,'1 ',28.5212955023
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,8,1.1000000000,28.0487679160
0,6,1.1000000000,28.7371258219
0,7,1.0966374334,26.2311954064
0,4,1.0700168992,24.0616111593
0,2,1.0882050682,25.7615036112
0,11,1.0687707086,25.4472756062
0,3,1.0602924752,20.2977679760
0,5,1.0731075846,25.2859864093
0,13,1.0760725594,27.0664129813
0,14,1.0481196953,23.1353092921
0,1,1.1000000000,28.0459331897
0,12,1.0855445653,27.6223095286
0,10,1.0512584016,22.4027172677
0,9,1.0546900988,21.4424489224
1,8,1.1000000000,4.7062598756
1,6,1.1000000000,5.4403097621
1,7,1.0965475481,2.8880316563
1,4,1.0698257843,0.7172766932
1,2,1.0882050682,2.4211185253
1,11,1.0678056786,2.0754767171
1,3,1.0602924752,-3.0418886215
1,5,1.0730104963,1.9481568870
1,13,1.0691857454,3.2574529907
1,14,1.0441824206,-0.5072652297
1,1,1.1000000000,4.7061284934
1,12,1.0560033461,2.9979966956
1,10,1.0495988281,-1.0499379819
1,9,1.0528178612,-2.0460974993
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0020174424
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_0,1,2,'BL',79.7875630348,-5.7921469537,-78.7668611887,2.5878380125
0,i_11,9,10,'BL',-17.7875401065,11.1636802937,17.9136579367,-10.8286612226
0,i_7,6,11,'BL',34.7162711194,1.6672575314,-33.7680416420,0.3184535979
0,i_16,4,7,'BL',-21.7204777291,-0.9231641316,21.7204777291,1.7488494458
0,i_8,6,12,'BL',9.8394468777,1.5766933419,-9.7385787274,-1.3667585803
0,i_3,2,4,'BL',21.0941530264,2.5507821450,-20.8655816229,-5.8167553554
0,i_5,3,4,'BL',-39.3119163434,10.0851884198,40.3026643234,-9.0087568067
0,i_15,13,14,'BL',21.6214916253,-1.2139254828,-20.9292251356,2.6234064618
0,i_6,4,5,'BL',-55.0268240274,10.2141018780,55.3920489987,-9.0620701520
0,i_17,4,9,'BL',9.5689627141,10.0581758405,-9.5689627141,-9.1790817523
0,i_18,5,6,'BL',-30.2525688574,24.3958555414,30.2525688574,-21.5246433604
0,i_12,9,14,'BL',-8.8363483692,6.8955147909,8.9799040867,-6.5901525464
0,i_10,7,8,'BL',-21.7204777291,-1.7488494458,21.7204777291,2.4443566575
0,i_13,10,11,'BL',-29.4389171726,3.8165944292,30.0931647403,-2.2850730359
0,i_2,2,3,'BL',56.5767841077,1.9686113313,-55.2983598095,-1.6379978028
0,i_9,6,13,'BL',29.3733131527,5.6750803410,-28.8840228892,-4.7115150707
0,i_14,12,13,'BL',5.1251852279,-0.4929435397,-5.0754850531,0.5379103645
0,i_4,2,5,'BL',7.8353842794,4.8567589732,-7.7829266098,-8.7374427508
0,i_1,1,5,'BL',27.2464472559,4.2999583523,-26.8913151289,-8.6433829074
1,i_0,1,2,'BL',79.8062972613,-5.7974660434,-78.7851121114,2.5946326999
1,i_11,9,10,'BL',-18.5258671011,11.1824213839,18.6602484371,-10.8254511578
1,i_7,6,11,'BL',35.5442349261,1.8495612020,-34.5498386653,0.2328289463
1,i_16,4,7,'BL',-21.7265300563,-0.9777904291,21.7265300563,1.8044117955
1,i_3,2,4,'BL',21.1674831544,2.6458659529,-20.9369606683,-5.9052238747
1,i_5,3,4,'BL',-39.2193820002,10.1636060729,40.2068122423,-9.0953806092
1,i_15,13,14,'BL',20.2830428997,-1.5882597459,-19.6641250635,2.8484000686
1,i_6,4,5,'BL',-55.3602920809,10.0888067037,55.7296444927,-8.9237557626
1,i_17,4,9,'BL',10.0757142212,10.4131896342,-10.0757142212,-9.4551972431
1,i_18,5,6,'BL',-30.6088792157,24.3678416053,30.6088792157,-21.4574756132
1,i_12,9,14,'BL',-7.5912698674,7.0779198349,7.7148040145,-6.8151461532
1,i_10,7,8,'BL',-21.7265300563,-1.8044117955,21.7265300563,2.5007074806
1,i_13,10,11,'BL',-30.1855076730,3.8133843644,30.8749617636,-2.1994483843
1,i_2,2,3,'BL',56.5696423465,1.9696009618,-55.2915351142,-1.6403232393
1,i_9,6,13,'BL',38.1066617587,7.3244445118,-37.2834686572,-5.7033203194
1,i_14,12,13,'BL',-4.6133934995,-1.8597021201,4.6624094405,1.9040498762
1,i_4,2,5,'BL',7.8257782410,4.9204165745,-7.7729681663,-8.7996639193
1,i_1,1,5,'BL',27.2378002414,4.3490018471,-26.8825587081,-8.6914621923
--end of line flow
