--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_125,215,53,4.9083092017
1,l_171,323,99,10.6201558577
1,l_150,313,78,7.5548669458
1,l_127,216,55,56.8020447312
1,l_141,301,69,-31.1273576492
1,l_152,313,80,1.7483216413
1,l_144,302,72,-0.2542382425
1,l_111,202,39,4.4356680712
1,l_119,213,47,10.9425984649
1,l_121,215,49,0.5863649249
1,l_137,223,65,37.0230088305
1,l_87,114,15,-19.8001624588
1,l_84,113,12,39.8869699017
1,l_133,222,61,5.6190673814
1,l_157,315,85,2.4590861995
1,l_94,116,22,-11.4749413000
1,l_167,322,95,9.0588652725
1,l_85,113,13,6.9739077029
1,l_145,302,73,-39.8818256242
1,l_131,222,59,3.0453846626
1,l_91,115,19,3.3739051579
1,l_73,101,1,3.0565015024
1,l_89,115,17,1.5928768276
1,l_123,215,51,5.2331025778
1,l_105,123,33,52.5805193874
1,l_166,322,94,-2.0779868822
1,l_78,102,6,6.8575150789
1,l_96,121,24,180.8239089686
1,l_168,322,96,4.8065603928
1,l_122,215,50,2.2207255941
1,l_128,218,56,78.5101433873
1,l_147,307,75,5.3482657313
1,l_113,202,41,-32.6492149893
1,l_93,115,21,12.4060918618
1,l_108,201,36,-5.9865087211
1,l_114,207,42,2.6557564185
1,l_116,207,44,1.2773387938
1,l_98,122,26,0.8034721765
1,l_103,123,31,-60.7871011558
1,l_106,201,34,2.5733161357
1,l_140,301,68,4.6424862040
1,l_107,201,35,3.5964691027
1,l_86,113,14,-2.6460177710
1,l_76,101,4,30.7336456018
1,l_142,301,70,-12.6507371389
1,l_169,323,97,-17.7307812056
1,l_124,215,52,3.5216299255
1,l_81,107,9,13.7161822925
1,l_118,213,46,-20.0650808807
1,l_170,323,98,3.5238068723
1,l_130,222,58,3.9829449767
1,l_143,302,71,-0.6427823171
1,l_146,302,74,-44.3738675766
1,l_153,314,81,17.9898879544
1,l_101,122,29,10.2296778766
1,l_135,222,63,8.2267260097
1,l_138,223,66,-19.4692589148
1,l_95,118,23,74.9773609398
1,l_120,214,48,43.6507548033
1,l_77,102,5,7.9906317410
1,l_148,307,76,1.3334950764
1,l_155,315,83,5.8539258165
1,l_115,207,43,22.7108322144
1,l_156,315,84,2.6659253682
1,l_74,101,2,4.7239319555
1,l_154,315,82,2.8773276111
1,l_80,102,8,-1.0588980776
1,l_164,322,92,2.5096044286
1,l_83,107,11,-9.7003238240
1,l_112,202,40,-0.6288305928
1,l_117,213,45,29.9208512318
1,l_75,101,3,16.2469332005
1,l_129,221,57,36.3868195189
1,l_110,202,38,2.2511618546
1,l_151,313,79,17.3208880881
1,l_165,322,93,4.1070875309
1,l_79,102,7,-0.4870389635
1,l_136,223,64,10.9702493006
1,l_100,122,28,1.8944579131
1,l_139,301,67,-2.9638274684
1,l_132,222,60,-0.9930900820
1,l_163,322,91,-6.9364644706
1,l_109,201,37,-20.3653231677
1,l_149,307,77,14.8448347333
1,l_134,222,62,2.7180524747
1,l_161,318,89,72.6130299889
1,l_102,122,30,-3.5527942133
1,l_82,107,10,9.7833161042
1,l_159,315,87,96.8171717181
1,l_92,115,20,4.3000310134
1,l_160,316,88,65.3397143437
1,l_162,321,90,31.2127512953
1,l_99,122,27,-1.5543314674
1,l_97,122,25,1.4408941155
1,l_88,115,16,1.7137981748
1,l_158,315,86,5.2868122763
1,l_90,115,18,1.4140292060
1,l_126,215,54,-15.6294558222
1,l_104,123,32,-86.9240199575
2,l_125,215,53,4.9165449528
2,l_171,323,99,10.5899132192
2,l_150,313,78,7.5375566813
2,l_127,216,55,56.8749015965
2,l_141,301,69,-31.1345285643
2,l_152,313,80,1.7312892469
2,l_144,302,72,-0.2666456894
2,l_111,202,39,4.4307142572
2,l_119,213,47,11.0203041326
2,l_121,215,49,0.6052561149
2,l_137,223,65,37.1074440458
2,l_87,114,15,9.6776555537
2,l_84,113,12,57.7490043039
2,l_133,222,61,5.6192631739
2,l_157,315,85,2.4449153917
2,l_94,116,22,-13.3535899997
2,l_167,322,95,9.0580148512
2,l_85,113,13,28.6086544958
2,l_145,302,73,-39.8796578224
2,l_131,222,59,3.0455660968
2,l_91,115,19,3.4343208887
2,l_73,101,1,3.4612750029
2,l_89,115,17,1.6406329734
2,l_123,215,51,5.2389319234
2,l_105,123,33,57.7733520740
2,l_166,322,94,-2.0793736913
2,l_78,102,6,12.6618976597
2,l_96,121,24,181.0460147322
2,l_168,322,96,4.8052589468
2,l_122,215,50,2.2275289328
2,l_128,218,56,78.5053303878
2,l_147,307,75,5.3344826888
2,l_113,202,41,-32.6573820716
2,l_93,115,21,20.2858302157
2,l_108,201,36,-6.0148055457
2,l_114,207,42,2.6397800050
2,l_116,207,44,1.2624170629
2,l_98,122,26,0.7958937591
2,l_103,123,31,-55.5877357964
2,l_106,201,34,2.5714524869
2,l_140,301,68,4.6323224947
2,l_107,201,35,3.5927729910
2,l_86,113,14,19.0130752773
2,l_76,101,4,31.9715090890
2,l_142,301,70,-12.6580119994
2,l_169,323,97,-17.7479554307
