--generation dispatch
bus id,unit id,pg(MW),qg(MVar)
207,43,15.5255162943,-15.4539706734
113,13,108.8527484342,-24.2062379034
218,56,312.6337888748,41.5167514251
307,75,2.7365576822,1.1353965710
202,38,11.4587377426,-0.9488136469
307,77,61.6374148086,20.5454724776
115,18,0.3445931392,1.6993746607
222,62,39.7912684857,3.8310046625
213,45,63.6875579502,-7.0005773009
102,8,49.3348077034,-12.4855599925
322,93,44.0406013704,4.4429447442
315,85,4.8266492721,2.1668339145
201,34,9.2363838676,-0.1513455201
115,16,6.9129942219,3.3357144966
115,20,1.6967467019,3.4973673884
102,6,20.2515610722,0.7943699232
102,7,49.3348305825,-31.5639843671
115,21,86.6500612399,-15.8795887073
313,78,3.9165100315,4.3304050989
307,76,10.1100436418,1.4984362867
118,23,372.2812606051,36.8220755279
123,33,180.6523663886,-65.3296409422
215,53,0.7459013817,1.0810605832
322,94,44.6248856727,5.4828155097
222,58,46.8770737090,6.4316229297
102,5,16.1012415091,1.2338909390
107,10,20.9892964285,-0.3506054930
223,64,102.6024299190,10.6682926301
315,82,2.0969413419,4.6700898632
301,67,9.9261107788,1.7074347964
302,71,15.2519269683,1.9948264175
107,11,21.5159637937,4.8124859525
213,46,105.4215875075,2.2660351462
223,65,102.6184292476,-19.1477658219
216,55,109.8371540277,48.4274061295
313,80,17.0694598733,26.4401780324
315,87,113.5690850868,65.8658849086
322,91,47.6303402758,1.0798523649
113,12,14.9247324496,36.3144799185
222,60,51.1524343776,-0.1927236368
122,30,57.2709867385,-3.9921453487
107,9,72.2506831917,17.7403854264
123,31,73.3633547987,-44.9700172550
115,17,3.9534943586,0.9002049111
122,26,53.8596129095,-1.1949324388
322,95,58.1782438121,-4.1801736286
323,98,103.3320636939,15.4887714790
313,79,126.7703628609,-24.8972454996
315,84,2.8564377851,5.6681329037
101,4,34.4441751744,-28.3050221475
314,81,0.0000000000,32.4059472913
113,14,45.1151502702,-0.8416873997
101,2,16.1939718647,3.5633544980
323,99,285.2762260157,91.7932149510
122,25,42.3927676960,4.8208884407
121,24,441.1719792632,42.6280815082
315,83,5.9791562171,2.1017095919
302,72,18.7590795390,-0.8041385587
215,49,4.6880446075,3.9166143072
122,29,60.9226927677,1.7913974379
214,48,0.0000000000,70.3027887313
316,88,115.4181470814,38.6528620822
215,50,9.6717052524,2.2600343488
215,51,5.1578908117,5.4941887986
222,63,36.6012035619,-2.0816910731
101,3,60.3720128000,-19.4283089972
323,97,103.3393173989,9.1976450932
301,68,20.7078169301,1.7007820331
207,42,0.5348396532,28.3582720398
222,61,46.0203221283,1.8069931244
322,92,38.2432430940,-0.1200099087
215,52,6.1848233102,4.3841541138
115,19,4.4618305153,2.5884105026
215,54,114.3606230718,49.5792635997
122,28,47.1400554551,1.1756999311
201,35,13.8121693759,2.2118522121
301,69,22.4165072478,-10.1667790059
302,74,12.6237926305,-29.4814303359
122,27,47.2401286176,11.0312546110
315,86,8.0094405269,3.8265096486
221,57,331.7185712467,33.3251637297
223,66,138.6137313805,50.1832120432
202,41,26.3491162687,-24.4753730394
318,89,307.4740765781,64.8553609213
116,22,51.5251638235,7.2564947111
321,90,300.5123104300,55.8656664150
201,36,15.4110299616,-30.8710547208
302,73,44.8260027893,-22.7328024650
301,70,15.6653465635,-24.3938100060
202,39,20.9339862980,3.0074958678
201,37,15.4109394872,-13.7332960910
202,40,28.8661439640,-9.8275564004
322,96,36.2154087987,0.7118992650
114,15,0.0000000000,100.6816234847
207,44,16.2805360875,23.6441821176
123,32,50.5251703699,-7.0312593923
213,47,41.9983112217,17.4805995361
101,1,12.9289559281,3.7271852233
222,59,37.0609830046,-1.4774733600
--end of generation dispatch
