--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_75,101,3,15.7467340144
1,l_89,115,17,3.4621402103
1,l_101,122,29,-16.5099639381
1,l_143,302,71,-4.8384452344
1,l_106,201,34,3.5636049901
1,l_111,202,39,3.1972108212
1,l_129,221,57,38.2175132194
1,l_167,322,95,3.6288427300
1,l_153,314,81,19.3136314026
1,l_169,323,97,-16.1418698351
1,l_107,201,35,2.8133881688
1,l_93,115,21,44.6779344340
1,l_98,122,26,-12.5016500833
1,l_130,222,58,1.8761346548
1,l_158,315,86,6.0844335886
1,l_160,316,88,72.2401996458
1,l_127,216,55,55.9181543730
1,l_95,118,23,140.5224399772
1,l_156,315,84,5.2126929973
1,l_110,202,38,1.6654999797
1,l_85,113,13,-11.7993191388
1,l_76,101,4,26.9400979675
1,l_152,313,80,7.9236468122
1,l_122,215,50,-0.2014382180
1,l_161,318,89,44.2319556961
1,l_79,102,7,3.7968265167
1,l_91,115,19,2.3141407869
1,l_133,222,61,5.1167157329
1,l_139,301,67,-1.3782257333
1,l_78,102,6,7.8835894425
1,l_119,213,47,29.5198430761
1,l_112,202,40,-23.6286950076
1,l_134,222,62,7.3978416932
1,l_74,101,2,6.3482537466
1,l_102,122,30,-13.8908518955
1,l_140,301,68,2.8237496677
1,l_99,122,27,-4.2531397816
1,l_105,123,33,-58.4104706792
1,l_135,222,63,8.3254035314
1,l_164,322,92,7.5859244962
1,l_97,122,25,0.1726271069
1,l_162,321,90,41.6816520693
1,l_84,113,12,-5.1481695304
1,l_170,323,98,-7.3423346484
1,l_118,213,46,-7.8097565790
1,l_141,301,69,-32.1373334878
1,l_90,115,18,2.0316670041
1,l_117,213,45,19.5986045241
1,l_87,114,15,-28.0406425457
1,l_144,302,72,-1.5046767993
1,l_100,122,28,-2.4531146948
1,l_126,215,54,-20.0726332466
1,l_132,222,60,4.8182118372
1,l_96,121,24,66.2044024256
1,l_77,102,5,3.4831661455
1,l_165,322,93,1.8964098950
1,l_115,207,43,23.3285507627
1,l_82,107,10,20.5724910034
1,l_114,207,42,3.3241947268
1,l_148,307,76,-1.6151622444
1,l_120,214,48,23.9779422788
1,l_104,123,32,0.4081423630
1,l_171,323,99,40.4544649121
1,l_125,215,53,2.3564053682
1,l_168,322,96,2.2517448927
1,l_124,215,52,-1.0094827964
1,l_151,313,79,-22.2138409909
1,l_131,222,59,0.8521377684
1,l_86,113,14,11.2185430417
1,l_154,315,82,5.3642244699
1,l_116,207,44,32.6144649256
1,l_155,315,83,5.0033451947
1,l_83,107,11,-3.0067556868
1,l_163,322,91,2.2579980671
1,l_150,313,78,34.0765728733
1,l_109,201,37,-24.3230181707
1,l_166,322,94,0.8089139565
1,l_136,223,64,-19.5859441151
1,l_73,101,1,8.3191398815
1,l_94,116,22,-24.6193553385
1,l_149,307,77,22.6925913221
1,l_147,307,75,8.3048067740
1,l_81,107,9,-0.1901189944
1,l_108,201,36,0.0535640851
1,l_92,115,20,4.0727813410
1,l_128,218,56,70.6116782520
1,l_142,301,70,-10.3428492937
1,l_80,102,8,-0.0271627556
1,l_159,315,87,60.5733558492
1,l_113,202,41,-11.1396346167
1,l_157,315,85,3.1502872384
1,l_103,123,31,-52.4155552756
1,l_88,115,16,4.0369606323
1,l_137,223,65,-18.3663594686
1,l_138,223,66,11.6064873519
1,l_145,302,73,-26.9661203284
1,l_123,215,51,1.2652038393
1,l_121,215,49,-2.2747416004
1,l_146,302,74,-17.5815023779
2,l_75,101,3,19.7518808390
2,l_89,115,17,3.4875562024
2,l_101,122,29,-16.5123621761
2,l_143,302,71,-4.8451333366
2,l_106,201,34,3.5614963801
2,l_111,202,39,3.1905536749
2,l_129,221,57,38.2501806262
2,l_167,322,95,3.6289574233
2,l_153,314,81,19.2992244017
2,l_169,323,97,-16.2757423677
2,l_107,201,35,2.8106150662
2,l_93,115,21,52.2305716261
2,l_98,122,26,-12.5040471414
2,l_130,222,58,1.8776816694
2,l_158,315,86,6.0844570692
2,l_160,316,88,72.2474798037
2,l_127,216,55,56.1277265751
2,l_95,118,23,140.4249069369
2,l_156,315,84,5.2127241318
2,l_110,202,38,1.6590334936
2,l_85,113,13,8.6074153834
2,l_76,101,4,31.7300914267
2,l_152,313,80,7.8807456848
2,l_122,215,50,-0.0990520442
2,l_161,318,89,44.2349746487
2,l_79,102,7,29.9272594932
2,l_91,115,19,2.3431264869
2,l_133,222,61,5.1177032616
2,l_139,301,67,-1.3858978963
2,l_78,102,6,11.9305940429
2,l_119,213,47,29.5827827919
2,l_112,202,40,-23.6378321660
2,l_134,222,62,7.3994605577
2,l_74,101,2,7.7881186849
2,l_102,122,30,-13.8932503870
2,l_140,301,68,2.8160061109
2,l_99,122,27,-4.2554278500
2,l_105,123,33,-53.1260592675
2,l_135,222,63,8.3268137584
2,l_164,322,92,7.5861700084
2,l_97,122,25,0.1704976904
2,l_162,321,90,41.6832179449
2,l_84,113,12,15.6754922754
2,l_170,323,98,-7.4235746634
2,l_118,213,46,-7.7463428548
2,l_141,301,69,-32.1452976710
2,l_90,115,18,2.0590163108
2,l_117,213,45,19.6588419044
2,l_87,114,15,1.4211044257
2,l_144,302,72,-1.5113287059
2,l_100,122,28,-2.4552863589
2,l_126,215,54,-19.9072700831
2,l_132,222,60,4.8189904725
2,l_96,121,24,66.2215327637
2,l_77,102,5,7.2879587287
2,l_165,322,93,1.8965541436
2,l_115,207,43,23.3103013803
2,l_82,107,10,29.9797209375
